B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
CJ0197,2024-02-01,Irrig.Method,I.Date.Gen,Date not between 1950-01-01 & 2023-12-01,FALSE,"",""
SA0007,Bangabandhu Sheikh Mujibur Rahman Agricultural University..Bangabandhu Sheikh Mujibur Rahman Agricultural University-B,Irrig.Method,Site.ID,A Site.ID used  does not match the Site tab,FALSE,"",""
SA0047,ICAR –Indian Agricultural Research Institute,Irrig.Method,Site.ID,A Site.ID used  does not match the Site tab,FALSE,"",""
AC0172,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
CJ0015,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
CJ0101,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
CJ0114,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
CJ0116,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
CJ0168,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
JO0008,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
JO0091,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
JO0092,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
JO0096,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
JO0097,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
JO0106,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
JO0135,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
JO0149,12D,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
JO0175,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
NM0063,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
NM0069,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
NM0091,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
NN0296,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
NN0413,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
NN0432,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
NN0511,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
SA0022,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
SA0023,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
SP0013,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
SP0017,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
SP0018,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
SP0035,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
SP0037,Base,Irrig.Method,I.Level.Name,Mismatch between practice name in description table and practice naming section.,FALSE,"",""
CJ0073,,Irrig.Method,I.Unit,Amount specified but unit is blank,FALSE,"",""
JO0008,,Irrig.Method,I.Unit,Amount specified but unit is blank,FALSE,"",""
NN0478,,Irrig.Method,I.Unit,Amount specified but unit is blank,FALSE,"",""
CJ0190,,Irrig.Method,I.Unit,Amount specified but unit is blank,FALSE,"",""
