B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
CJ0016,Rainfed,Irrig.Codes,I.Level.Name,Missing value in compulsory field I.Method.,FALSE,"",""
CJ0019,Rainfed,Irrig.Codes,I.Level.Name,Missing value in compulsory field I.Method.,FALSE,"",""
CJ0024,Embu,Irrig.Codes,I.Level.Name,Missing value in compulsory field I.Method.,FALSE,"",""
DM0025,Wheat/Maize/Safflower,Irrig.Codes,I.Level.Name,Missing value in compulsory field I.Method.,FALSE,"",""
NM0091,S4,Irrig.Codes,I.Level.Name,Missing value in compulsory field I.Method.,FALSE,"",""
NM0131,Drought stress,Irrig.Codes,I.Level.Name,Missing value in compulsory field I.Method.,FALSE,"",""
NN0296,Base,Irrig.Method,I.Level.Name,Mismatch in field value between parent and child tables.,FALSE,"",""
NN0507,Rainfed,Irrig.Codes,I.Level.Name,Missing value in compulsory field I.Method.,FALSE,"",""
SA0008,Sorghum,Irrig.Codes,I.Level.Name,Missing value in compulsory field I.Method.,FALSE,"",""
SA0046,"ICAR –Indian Agricultural Research Institute, Dehli",Irrig.Method,Site.ID,A Site.ID used  does not match the Site tab.,FALSE,"",""
SA0056,Wet,Irrig.Codes,I.Level.Name,Missing value in compulsory field I.Method.,FALSE,"",""
SA0058,IR_0,Irrig.Codes,I.Level.Name,Missing value in compulsory field I.Method.,FALSE,"",""
SP0010,Rainfed,Irrig.Codes,I.Level.Name,Missing value in compulsory field I.Method.,FALSE,"",""
