B.Code,filename,issue,issue_addressed,addressed_by_whom,notes
AC0066,V2.0.20 - AC0066.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0066,V2.0.20 - AC0066.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0071,V2.0.20 - AC0071.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0071,V2.0.20 - AC0071.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0074,V2.0.20 - AC0074.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0074,V2.0.20 - AC0074.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0076,V2.0.21 - AC0076.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0076,V2.0.21 - AC0076.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0086,V2.0.21 - AC0086.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0086,V2.0.21 - AC0086.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0087,V2.0.21 - AC0087.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0087,V2.0.21 - AC0087.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0128,V2.0.21 - AC0128.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
AC0128,V2.0.21 - AC0128.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
CJ0052,V2.0.21 - CJ0052.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
CJ0052,V2.0.21 - CJ0052.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
CJ0081,V2.0.21 - CJ0081.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
CJ0081,V2.0.21 - CJ0081.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
DM0006,V2.0.10 - DM0006.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
DM0006,V2.0.10 - DM0006.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
DM0021,V2.0.15 - DM0021.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
DM0021,V2.0.15 - DM0021.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
DM0026,V2.0.19 - DM0026.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
DM0026,V2.0.19 - DM0026.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0002,V2.0.8 - JO0002.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0002,V2.0.8 - JO0002.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0012,V2.0.9 - JO0012.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0012,V2.0.9 - JO0012.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0013,V2.0.10 - JO0013.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0013,V2.0.10 - JO0013.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0019,V2.0.13 - JO0019.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0021,V2.0.14 - JO0021.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0021,V2.0.14 - JO0021.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0022,V2.0.15 - JO0022.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0022,V2.0.15 - JO0022.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0034,V2.0.19 - JO0034.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0034,V2.0.19 - JO0034.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0036,V2.0.19 - JO0036.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0036,V2.0.19 - JO0036.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0041,V2.0.20 - JO0041.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0041,V2.0.20 - JO0041.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0042,V2.0.20 - JO0042.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0042,V2.0.20 - JO0042.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0044,V2.0.20 - JO0044.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0044,V2.0.20 - JO0044.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0049,V2.0.20 - JO0049.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0049,V2.0.20 - JO0049.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0052,V2.0.21 - JO0052.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0052,V2.0.21 - JO0052.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0053,V2.0.21 - JO0053.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0053,V2.0.21 - JO0053.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0054,V2.0.21 - JO0054.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0054,V2.0.21 - JO0054.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0055,V2.0.21 - JO0055.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0055,V2.0.21 - JO0055.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0061,V2.0.21 - JO0061.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0061,V2.0.21 - JO0061.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0063,V2.0.21 - JO0063.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0063,V2.0.21 - JO0063.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0064,V2.0.21 - JO0064.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0064,V2.0.21 - JO0064.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0066,V2.0.21 - JO0066.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0066,V2.0.21 - JO0066.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0067,V2.0.21 - JO0067.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0067,V2.0.21 - JO0067.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0068,V2.0.21 - JO0068.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0068,V2.0.21 - JO0068.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0069,V2.0.21 - JO0069.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0069,V2.0.21 - JO0069.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0072,V2.0.21 - JO0072.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0072,V2.0.21 - JO0072.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0075,V2.0.21 - JO0075.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0075,V2.0.21 - JO0075.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0077,V2.0.21 - JO0077.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
JO0077,V2.0.21 - JO0077.xlsm,Problem with Dates tab structure,TRUE,Alvaro,""
