B.Code,field,issue,value,table,parent_table,tabname,master_table,issue_addressed,addressed_by_whom,notes
AC0002,IN.Level.Name/T.Name,Compulsory Product field is blank.,Cowpea minor intercrop Unsprayed__Maize main intercrop Unsprayed/NA/Cowpea minor intercrop Sprayed__Maize main intercrop Sprayed/NA/Maize main intercrop Unsprayed__Okra minor intercrop Unsprayed/NA/Maize main intercrop Sprayed__Okra minor intercrop Sprayed/NA/Cowpea minor intercrop Unsprayed__Okra main intercrop Unsprayed/NA/Cowpea minor intercrop Sprayed__Okra main intercrop Sprayed/NA/Cowpea tricrop Unsprayed__Maize main intercrop Unsprayed__Okra tricrop Unsprayed/NA/Cowpea tricrop Sprayed__Maize main intercrop Sprayed__Okra tricrop Sprayed/NA,Data.Out,,,,FALSE,"",""
AC0006,IN.Level.Name/T.Name,Compulsory Product field is blank.,C int OP..C int SR..C int TR..C int OP 5T..C int SR 5T..C int TR 5T__M int OP..M int SR..M int TR..M int OP 5T..M int SR 5T..M int TR 5T/NA,Data.Out,,,,FALSE,"",""
AC0007,IN.Level.Name/T.Name,Compulsory Product field is blank.,Cowpea inter-row 0P__Maize intercrop 0P/NA/Cowpea intra-row 0P__Maize intercrop 0P/NA/Cowpea intra-hole 0P__Maize intercrop 0P/NA/Cowpea inter-row 40P__Maize intercrop 40P/NA/Cowpea intra-row 40P__Maize intercrop 40P/NA/Cowpea intra-hole 40P__Maize intercrop 40P/NA/Cowpea inter-row 80P__Maize intercrop 80P/NA/Cowpea intra-row 80P__Maize intercrop 80P/NA/Cowpea intra-hole 80P__Maize intercrop 80P/NA,Data.Out,,,,FALSE,"",""
AC0008,IN.Level.Name/T.Name,Compulsory Product field is blank.,Cowpea CA intercrop__Maize CA intercrop__Pigeon pea CA intercrop/NA,Data.Out,,,,FALSE,"",""
AC0010,IN.Level.Name/T.Name,Compulsory Product field is blank.,Cassava Ah__Maize-cassava/Ah IP/NA/Cassava Ar__Maize Ar/All IP/NA/Cowpea Ah__Maize Ah/Cowpea Soybean IP/NA/Cowpea Ar__Maize Ar/All IP/NA/Maize Ah/Cowpea Soybean IP__Soybean Ah/NA/Maize Ar/All IP__Soybean Ar/NA/Cassava Ah__Maize-cassava/Ah TP/NA/Cassava Ar__Maize Ar/All TP/NA/Cowpea Ah__Maize Ah/Cowpea Soybean TP/NA/Cowpea Ar__Maize Ar/All TP/NA/Maize Ah/Cowpea Soybean TP__Soybean Ah/NA/Maize Ar/All TP__Soybean Ar/NA,Data.Out,,,,FALSE,"",""
AC0012,IN.Level.Name/T.Name,Compulsory Product field is blank.,onion intercrop__tomato intercrop/NA/kale intercrop__tomato intercrop/NA/maize intercrop__tomato intercrop/NA,Data.Out,,,,FALSE,"",""
AC0016,IN.Level.Name/T.Name,Compulsory Product field is blank.,CPLM0W__Maize intercrop Abontem..Maize intercrop Omankwa..Maize intercrop Obatanpa/NA/CPLM1W__Maize intercrop Abontem..Maize intercrop Omankwa..Maize intercrop Obatanpa/NA/CPLM2W__Maize intercrop Abontem..Maize intercrop Omankwa..Maize intercrop Obatanpa/NA,Data.Out,,,,FALSE,"",""
AC0017,IN.Level.Name/T.Name,Compulsory Product field is blank.,Gn INM__Maize INM/NA,Data.Out,,,,FALSE,"",""
AC0023,IN.Level.Name/T.Name,Compulsory Product field is blank.,Coffee int__HAES 816 int/NA/Coffee int__HAES 344 int/NA/Coffee int__HAES 660 int/NA/Coffee int__IAC 9-20 int/NA/Coffee int__IAC 4-12B int/NA/Coffee int__IAC 4-20 int/NA,Data.Out,,,,FALSE,"",""
AC0028,IN.Level.Name/T.Name,Compulsory Product field is blank.,AF coffee__Rubber trees/NA,Data.Out,,,,FALSE,"",""
