B.Code,T.Name,IN.Level.Name,Time,Missing,R.Level.Name,table,issue,issue_addressed,addressed_by_whom,notes
CJ0017,ALB 121-Common Bean-mono-IF,NA,2018..2020,2020,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0017,BFS 10-Common Bean-mono-IF,NA,2018..2021,2021,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0017,ICA V10-Maize-mono-IF,NA,2018..2022,2022,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0017,ALB 121Common Bean-intercrop1: 1-IF,ALB 121Common Bean-intercrop1: 1-IF__ICA V10-Maize-intercrop 1:1-IF,2018..2023,2023,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0017,ICA V10-Maize-intercrop 1:1-IF,ALB 121Common Bean-intercrop1: 1-IF__ICA V10-Maize-intercrop 1:1-IF,2018..2024,2024,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0017,BFS 10-Common Bean-intercrop1: 1-IF,BFS 10-Common Bean-intercrop1: 1-IF__ICA V10-Maize-intercrop 1:1-IF,2018..2025,2025,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0017,ICA V10-Maize-intercrop 1:1-IF,BFS 10-Common Bean-intercrop1: 1-IF__ICA V10-Maize-intercrop 1:1-IF,2018..2026,2026,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0017,ALB 121Common Bean-intercrop 1:2-IF,ALB 121Common Bean-intercrop 1:2-IF__ICA V10-Maize-intercrop 2:1-IF,2018..2027,2027,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0017,ICA V10-Maize-intercrop 2:1-IF,ALB 121Common Bean-intercrop 1:2-IF__ICA V10-Maize-intercrop 2:1-IF,2018..2028,2028,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0017,BFS 10-Common Bean-intercrop 1:2-OF,BFS 10-Common Bean-intercrop 1:2-IF__ICA V10-Maize-intercrop 2:1-IF,2018..2029,2029,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0017,ICA V10-Maize-intercrop 2:1-IF,BFS 10-Common Bean-intercrop 1:2-IF__ICA V10-Maize-intercrop 2:1-IF,2018..2030,2030,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,D2,NA,2003..2004..2005..2006..2008,2008,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,D3,NA,2003..2004..2005..2006..2009,2009,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,D4,NA,2003..2004..2005..2006..2010,2010,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,D5,NA,2003..2004..2005..2006..2011,2011,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,Climatologic Water Balance_D1,NA,2003..2004..2005..2006..2012,2012,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,Climatologic Water Balance_D2,NA,2003..2004..2005..2006..2013,2013,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,Climatologic Water Balance_D3,NA,2003..2004..2005..2006..2014,2014,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,Climatologic Water Balance_D4,NA,2003..2004..2005..2006..2015,2015,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,Climatologic Water Balance_D5,NA,2003..2004..2005..2006..2016,2016,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,20 kPa_D1,NA,2003..2004..2005..2006..2017,2017,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,20 kPa_D2,NA,2003..2004..2005..2006..2018,2018,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,20 kPa_D3,NA,2003..2004..2005..2006..2019,2019,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,20 kPa_D4,NA,2003..2004..2005..2006..2020,2020,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,20 kPa_D5,NA,2003..2004..2005..2006..2021,2021,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,60 kPa_D1,NA,2003..2004..2005..2006..2022,2022,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,60 kPa_D2,NA,2003..2004..2005..2006..2023,2023,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,60 kPa_D3,NA,2003..2004..2005..2006..2024,2024,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,60 kPa_D4,NA,2003..2004..2005..2006..2025,2025,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0019,60 kPa_D5,NA,2003..2004..2005..2006..2026,2026,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0078,NT_MUCLHING,NA,1994..1995..1996,1994/1995/1996,NT_MUCLHING,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0078,MT_MUCLHING,NA,1994..1995..1996,1994/1995/1996,MT_MUCLHING,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0078,CT_MUCLHING,NA,1994..1995..1996,1994/1995/1996,CT_MUCLHING,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0078,NT_MECHANICAL,NA,1994..1995..1996,1994/1995/1996,NT_MECHANICAL,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0078,MT_MECHANICAL,NA,1994..1995..1996,1994/1995/1996,MT_MECHANICAL,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0078,CT_MECHANICAL,NA,1994..1995..1996,1994/1995/1996,CT_MECHANICAL,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0078,NT_CHEMICAL,NA,1994..1995..1996,1994/1995/1996,NT_CHEMICAL,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0078,MT_CHEMICAL,NA,1994..1995..1996,1994/1995/1996,MT_CHEMICAL,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0078,CT_CHEMICAL,NA,1994..1995..1996,1994/1995/1996,CT_CHEMICAL,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0082,NA,NA,,NA,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0104,Control/PRC 15/PRC 25/ARC 15/ARC 25,NA,2018,2018,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
HK0106,CT/CT-PLW/ZT/Manual,NA,1980-2S,1980-2S,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0013,Croton- 3/Croton-5/Croton-7/Cordia -3/Cordia-5/Cordia-7/Control,NA,,NA,NA,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
JO0031,NA,NA,2012- S1..2013-S2..2013-S3..2014- S4,2012- S1/2013-S3/2014- S4,MFM/MFS/MWM/MWS/MFM-R/MFS-R/MWM-R/MWS-R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
