tracking_file,n_B.Codes,n_B.Codes_pending,n_rows,nrow_pending
pH_other_errors.csv,76,76,76,76
treatment_duplicates.csv,180,64,180,64
wh_other_errors.csv,76,45,104,55
enterdata_other_errors.csv,43,43,53,53
weed_other_errors.csv,38,38,38,38
plant_debugging_errors.csv,33,27,33,27
fert_other_errors.csv,17,16,18,17
prod_other_errors.csv,41,16,47,17
var_practice_check.csv,15,15,38,38
plant_comparison_allowed_issue.csv,25,13,25,13
soil_errors.csv,13,13,20,20
time_year_errors.csv,13,13,28,28
treatment_other_errors.csv,32,11,33,11
chem_other_errors.csv,10,10,13,13
pub_code_errors.csv,9,9,9,9
rot_other_errors.csv,6,6,6,6
enterdata_time_errors.csv,5,5,9,9
time_other_errors.csv,5,5,5,5
other_other_errors.csv,48,4,48,4
intercropping_structure_errors.csv,3,3,3,3
out_other_errors.csv,3,3,3,3
rot_structure_errors.csv,3,3,3,3
site_missing_fields_errors.csv,4,3,5,3
dates_other_errors.csv,2,2,4,4
harvest_structure_errors.csv,2,2,4,4
other_structure_errors.csv,2,2,4,4
weed_structure_errors.csv,2,2,4,4
af_errors.csv,1,1,13,13
residues_other_errors.csv,3,1,4,1
till_errors.csv,1,1,1,1
time_climate_errors.csv,1,1,2,2
treatment_structure_errors.csv,2,1,2,1
dates_structure_errors.csv,2,0,4,0
out_structure_errors.csv,1,0,1,0
plant_method_value_errors.csv,7,0,10,0
plant_structure_errors.csv,1,0,1,0
rot_other_errors .csv,19,0,23,0
site_coordinate_errors.csv,4,0,4,0
site_other_errors.csv,2,0,2,0
