B.Code,value,table,field,issue,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
AC0046,Fertisoil/Cattle Manure,Fert.Comp,F.Type,"Amount is present, but unit is missing F.DM.",,,,FALSE,"",""
AC0046,Fertisoil/Cattle Manure,Fert.Comp,F.Type,"Amount is present, but unit is missing F.K.",,,,FALSE,"",""
AC0046,Fertisoil/Cattle Manure,Fert.Comp,F.Type,"Amount is present, but unit is missing F.OC.",,,,FALSE,"",""
AC0046,Fertisoil/Cattle Manure,Fert.Comp,F.Type,"Amount is present, but unit is missing F.TN.",,,,FALSE,"",""
AC0046,Fertisoil/Cattle Manure,Fert.Comp,F.Type,"Amount is present, but unit is missing F.TP.",,,,FALSE,"",""
AC0081,Cattle Manure,Fert.Comp,F.Type,"Amount is present, but unit is missing F.K.",,,,FALSE,"",""
AC0081,Cattle Manure,Fert.Comp,F.Type,"Amount is present, but unit is missing F.OC.",,,,FALSE,"",""
AC0123,20P ORG/40P ORG/60P ORG/80P ORG,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
AC0137,1:10LVB/1:10LVC/1:20LVB/1:20LVC/1:30LVB/1:30LVC,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,TRUE,""Jabesh,""
AC0137,1:10LVB/1:20LVB/1:30LVB/1:10LVC/1:20LVC/1:30LVC,Fert.Comp,F.Type,"Amount is present, but unit is missing F.K.",,,,TRUE,""Jabesh,""
AC0137,1:10LVB/1:20LVB/1:30LVB/1:10LVC/1:20LVC/1:30LVC,Fert.Comp,F.Type,"Amount is present, but unit is missing F.N.",,,,TRUE,""Jabesh,""
AC0137,1:10LVB/1:20LVB/1:30LVB/1:10LVC/1:20LVC/1:30LVC,Fert.Comp,F.Type,"Amount is present, but unit is missing F.P.",,,,TRUE,""Jabesh,""
AC0153,20BB 2003/20BB 2006/20BO 2003/20BO 2006/20BO 2007/20BO 2007.2/20BOCV 2004/20BOCV 2005/20M 2004/20M 2005/20M 2007/20PM/20SH/40BB 2003/40BB 2006/40BO 2003/40BO 2006/40BO 2007/40BO 2007.2/40BOCV 2004/40BOCV 2005/40M 2004/40M 2005/40M 2007/40PM/40SH/80BB 2003/80BB 2006/80BO 2003/80BO 2006/80BO 2007/80BO 2007.2/80BOCV 2004/80BOCV 2005/80M 2004/80M 2005/80M 2007/80PM/80SH/BO 2001 20/BO 2001 40/BO 2001 80/BO 2002 20/BO 2002 40/BO 2002 80/PM 2001 20/PM 2001 40/PM 2001 80/PM 2002 20/PM 2002 40/PM 2002 80/Radish 2001 20/Radish 2001 40/Radish 2001 80/Radish 2002 20/Radish 2002 40/Radish 2002 80,Fert.Method,F.Level.Name,Mismatch in field value between parent and child tables.,,,,TRUE,""Jabesh,""
AC0154,DS BO/DS Maize/PL BO/PL Maize/PS BO/PS Maize,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,TRUE,""Jabesh,""
CJ0002,,Fert.Out,F.I.Unit,Inorganic fertilizer unit missing,,,,TRUE,""Jabesh,""
CJ0002,"Institute of Agricultural Research (IAR), Zaria",Fert.Method,Site.ID,A Site.ID used  does not match the Site tab.,,,,TRUE,""Jabesh,""
CJ0020,biochar,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,TRUE,""Jabesh,""
CJ0022,Coffee/Coffee/Coffee/Coffee/Coffee/Coffee/macademia/macademia/macademia/macademia/macademia/macademia,Fert.Method,F.Level.Name,"Amount is present, but unit is missing F.Unit.",,,,TRUE,""Jabesh,""
CJ0039,Farm Yard Manure,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
CJ0062,N0_C40,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
CJ0063,Base,Fert.Method,F.Level.Name,"Amount is present, but unit is missing F.Unit.",,,,TRUE,""Jabesh,""
CJ0068,NPK,Fert.Method,F.Level.Name,"Amount is present, but unit is missing F.Unit.",,,,TRUE,""Jabesh,""
CJ0081,12CF Maize/16CF Maize/6CF Maize,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
CJ0082,,Fert.Out,F.I.Unit,Inorganic fertilizer unit missing,,,,TRUE,""Jabesh,""
CJ0104,ARC15/ARC25/PRC15/PRC25,Fert.Comp,F.Type,"Amount is present, but unit is missing F.K.",,,,TRUE,""Jabesh,"", Soybean straw needs to be accepted
CJ0104,ARC15/ARC25/PRC15/PRC25,Fert.Comp,F.Type,"Amount is present, but unit is missing F.N.",,,,TRUE,""Jabesh,"", Soybean straw needs to be accepted
CJ0104,ARC15/ARC25/PRC15/PRC25,Fert.Comp,F.Type,"Amount is present, but unit is missing F.OC.",,,,TRUE,""Jabesh,"", Soybean straw needs to be accepted
CJ0104,ARC15/ARC25/PRC15/PRC25,Fert.Comp,F.Type,"Amount is present, but unit is missing F.P.",,,,TRUE,""Jabesh,"", Soybean straw needs to be accepted
CJ0104,ARC15/ARC25/PRC15/PRC25,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,TRUE,""Jabesh,"", Soybean straw needs to be accepted
CJ0115,Mixed Compost/Cattle Farmyard Manure,Fert.Comp,F.Type,Duplicate value in unique field.,,,,FALSE,"",""
CJ0118,Mixed Compost,Fert.Comp,F.Type,"Amount is present, but unit is missing F.AN.",,,,TRUE,""Jabesh,""
CJ0118,Mixed Compost,Fert.Comp,F.Type,"Amount is present, but unit is missing F.OC.",,,,TRUE,""Jabesh,""
CJ0128,CC,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,TRUE,""Jabesh,"", Term needs to be accepted
CJ0133,136.2,Fert.Method,F.Level.Name,Mismatch in field value between parent and child tables.,,,,TRUE,""Jabesh,""
CJ0134,Cattle manure/Poultry manure,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
CJ0138,CP1/CP2/TP1/TP2,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,TRUE,""Jabesh,"",Term request need to be accepted
CJ0151,1/4 W+ 1/4C+1/4P+1/4B/B (13 kg)/C (13 kg)/P (13 kg)/W (13 kg)/½ C+ ½B/½ C+ ½P/½ P+½B/½ W+ ½C/½ W+½B/½ W+½P,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,TRUE,""Jabesh,"",Term request needs to be accepted
CJ0162,Mango tree,Fert.Comp,F.Type,"Amount is present, but unit is missing F.K.",,,,TRUE,""Jabesh,""
CJ0162,Mango tree,Fert.Comp,F.Type,"Amount is present, but unit is missing F.OC.",,,,TRUE,""Jabesh,""
CJ0162,Mango tree,Fert.Comp,F.Type,"Amount is present, but unit is missing F.P.",,,,TRUE,""Jabesh,""
CJ0162,Mango tree,Fert.Comp,F.Type,"Amount is present, but unit is missing F.TN.",,,,TRUE,""Jabesh,""
CJ0167,Poultry Manure,Fert.Comp,F.Type,"Amount is present, but unit is missing F.K.",,,,TRUE,""Jabesh,""
CJ0167,Poultry Manure,Fert.Comp,F.Type,"Amount is present, but unit is missing F.N.",,,,TRUE,""Jabesh,""
