value,B.Code,table,field,table_alt,field_alt,master_tab,C.Type,issue_addressed,addressed_by_whom,notes
                                                                               Bradyrhizobium spp,CJ0080,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
 nycosulfuron,CJ0021,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
"(6-chloro-n2–ethyl-n4-isopropyl-1,3,5-triazine-2,4-diamine)",JO0083,Chems.AI,C.Name.AI,,C.Name.2020,chems,Herbicide,FALSE,"",""
"(o,o-diethyl o-3,5,6-trichloropyridin-2-yl phosphorothioate)",JO0083,Chems.AI,C.Name.AI,,C.Name.2020,chems,Insecticide,FALSE,"",""
"1, 1'-dimethyl 4-4' bipyridilium ion",LM0075.1/LM0075.2/LM0075.3,Chems.AI,C.Name.AI,,C.Name.2020,chems,Herbicide,FALSE,"",""
"1,1’ dimethyl 4,4’ bipyridilium ion)",LM0078.1/LM0078.2,Chems.AI,C.Name.AI,,C.Name.2020,chems,Herbicide,FALSE,"",""
"2,4-D + Florasulman",JO0132,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
"2,4-D + Florasulman",JO0132,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
"3-[(2-chloro-5-thiazolyl)methyl] tetrahydro-5-methyl-n-nitro-4h-1,3,5-oxadiazin-4-imine",AC0023,Chems.AI,C.Name.AI,,C.Name.2020,chems,Fungicide,FALSE,"",""
4-dimethyl-2,CJ0166,Chems.AI,C.Name.AI,,C.Name.2020,chems,Herbicide,FALSE,"",""
6-dinitrobenzenamine,CJ0166,Chems.AI,C.Name.AI,,C.Name.2020,chems,Herbicide,FALSE,"",""
Abamectin,AC0168,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Abamectin,CJ0014,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Abamectin,NM0096,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Acephate,NN0465,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Agro-lambarcin,NM0005,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Altrazine,NM0059,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Ampligo,NM0002,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Applied to Soil,AC0023/AC0037,Chems.Out,C.App.Method,,,lookup_levels,,FALSE,"",""
Apron Star 42WS,NN0552,Chem.Out,C.Name,,C.Name.2020,chem,Insecticide,FALSE,"",""
Ascorbic Acid,SP0065,Chem.Out,C.Name,,C.Name.2020,chem,Other,FALSE,"",""
Ascorbic acid,JO0181,Chem.Out,C.Name,,C.Name.2020,chem,Antistress,FALSE,"",""
Ascorbic acid,JO0181,Chem.Out,C.Name,,C.Name.2020,chem,Antistress,FALSE,"",""
Atrazine,JO0083,Chem.Out,C.Name,,C.Name.2020,chem,Herbicide,FALSE,"",""
Azospirillum brasilense,CJ0020,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0063,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0085,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0085,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0085,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0085,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0085,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0085,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0087,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0087,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0101,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0102,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0106,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0117,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0117,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0117,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0117,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense,CJ0173,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Azospirillum brasilense,CJ0173,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Azospirillum brasilense,JO0087,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirillum brasilense Ab-V5,AC0115,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Azospirillum brasilense HM053,AC0115,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Azospirillum brasiliense,AC0141,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Azospirillum brasiliense,AC0141,Chem.Out,C.Name,,C.Name.2020,chem,Biofertilizer,FALSE,"",""
Azospirillum sp.,NM0132,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azospirilum brasilense,AC0145,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azotobacter,DM0020,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
Azotobacter chroococcum,SA0017,Chem.Out,C.Name,,C.Name.2020,chem,Inoculation - Seed,FALSE,"",""
