value,B.Code,table,field,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
160000,HK0306.1/HK0306.2,Plant.Out,Plant.Mechanization,Fert.Out,F.Mechanization,lookup_levels,FALSE,"",""
50,HK0306.1/HK0306.2,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
Hand planter,AF0002/LM0075.3/LM0108,Plant.Out,Plant.Method,,,lookup_levels,FALSE,"",""
Planter,NN0435,Plant.Out,Plant.Mechanization,Fert.Out,F.Mechanization,lookup_levels,FALSE,"",""
Tine planter,AF0003,Plant.Out,Plant.Method,,,lookup_levels,FALSE,"",""
Zero-tillage planter,AC0025,Plant.Out,Plant.Method,,,lookup_levels,FALSE,"",""
grains/m2,NN0428,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
hand-hoe  planting holes,JS0216,Plant.Out,Plant.Method,,,lookup_levels,FALSE,"",""
hills/ha,NM0093/NN0067/NN0070.1/NN0070,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
planter,NN0434,Plant.Out,Plant.Mechanization,Fert.Out,F.Mechanization,lookup_levels,FALSE,"",""
plants/m ,NM0068,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
plants/m3,CJ0017/CJ0078/NN0490,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
plants/m4,CJ0017/CJ0078/NN0490,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
plants/m5,CJ0017/NN0490,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
plants/m6,CJ0017/NN0490,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
plants/m7,NN0490,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
seeds/ha,NN0432/NM0046,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
seeds/ha ,NM0068,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
seeds/m,CJ0098,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
seeds/m ,NM0061/NM0062/NM0076,Plant.Out,Plant.Density.Unit,,,lookup_levels,FALSE,"",""
uu,NM0071,Plant.Out,Plant.Mechanization,Fert.Out,F.Mechanization,lookup_levels,FALSE,"",""
