value,B.Code,table,field,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
 Acacia abyssinica,CJ0007/CJ0007,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
 Acacia nilotica,CJ0007,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
 Cordia africana,CJ0007,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Albizia falcataria,HK0242,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Alfa alfa,JO0098,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Avena Straw,CJ0071,Res.Method,M.Material,,,residues,FALSE,"",""
Barley residue,JS0248/JS0248,Res.Method,M.Material,,,residues,FALSE,"",""
Barley straw,JO0152,Res.Method,M.Material,,,residues,FALSE,"",""
Biodegradable film,NN0526,Res.Method,M.Material,,,residues,FALSE,"",""
Chick pea residue,JS0248,Res.Method,M.Material,,,residues,FALSE,"",""
Chick pea straws,SA0047,Res.Method,M.Material,,,residues,FALSE,"",""
Chromolaena residues,LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008,Res.Method,M.Material,,,residues,FALSE,"",""
Cocoa pod husk,CJ0162/CJ0162/CJ0162/CJ0162,Res.Method,M.Material,,,residues,FALSE,"",""
Coffee husk,JO0067/JO0067/JO0067/NM0034/NM0034/NM0034,Res.Method,M.Material,,,residues,FALSE,"",""
Cotton mulch,NN0132,Res.Method,M.Material,,,residues,FALSE,"",""
Cotton residue,JS0035,Res.Method,M.Material,,,residues,FALSE,"",""
Crop Residue,AC0129,Res.Method,M.Material,Res.Method,Tree.Materials,lookup_levels,FALSE,"",""
Cympobogon spp. ,CJ0176/CJ0176/CJ0176/NM0094/NM0094,Res.Method,M.Material,,,residues,FALSE,"",""
"ElectroPlastic SA, MPP-P(Black)",NM0034,Res.Method,M.Material,,,residues,FALSE,"",""
Erythrina brucei,JO0094,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Ganba grass,JO0004/JO0004/JO0004/JO0004,Res.Method,M.Material,,,residues,FALSE,"",""
Groundnut residue,JS0035,Res.Method,M.Material,,,residues,FALSE,"",""
Lantana Camara,NM0081/NM0081,Res.Method,M.Material,,,residues,FALSE,"",""
MPP-P&B(balck/white),NM0034,Res.Method,M.Material,,,residues,FALSE,"",""
Maize Stubble,NM0049,Res.Method,M.Material,,,residues,FALSE,"",""
Medicago truncatula,NN0192,Res.Method,M.Material,,,residues,FALSE,"",""
Mg C/ha,LM0176.3/LM0189,Res.Method,M.Unit,,,lookup_levels,FALSE,"",""
Mg/ha,SP0033,Res.Method,M.Unit,,,lookup_levels,FALSE,"",""
Millet Stover,CJ0100/CJ0100/CJ0100/CJ0100/CJ0100/CJ0100,Res.Method,M.Material,,,residues,FALSE,"",""
Millet residue,CJ0171/CJ0171,Res.Method,M.Material,,,residues,FALSE,"",""
Miscanthidium violoceum,SP0003,Res.Method,M.Material,,,residues,FALSE,"",""
Mixed residues,CJ0176,Res.Method,M.Material,,,residues,FALSE,"",""
Mucuna,AC0077.3/AC0077.3,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Mung bean residues,SA0032,Res.Method,M.Material,,,residues,FALSE,"",""
Mustard,SA0046,Res.Method,M.Material,,,residues,FALSE,"",""
Pearl Millet,SP0033,Res.Method,M.Material,,,residues,FALSE,"",""
Peas residues,JO0152,Res.Method,M.Material,,,residues,FALSE,"",""
Pennisetum macrourum,CJ0186/CJ0186/CJ0186/CJ0186/CJ0186/CJ0186/CJ0186/CJ0186,Res.Method,M.Material,,,residues,FALSE,"",""
Phoenix dactylifera,JO0097/JO0097/JO0097/JO0097,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Polythene tubes,NN0049,Res.Method,M.Material,,,residues,FALSE,"",""
Rice Bran,CJ0162/CJ0162/CJ0162/CJ0162,Res.Method,M.Material,,,residues,FALSE,"",""
Sesbania cannabina,SA0005/SA0005/SA0051/SA0051/SA0051,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Soya Stover,NM0042,Res.Method,M.Material,,,residues,FALSE,"",""
Soybean Residue,NN0148,Res.Method,M.Material,,,residues,FALSE,"",""
Stones,AC0093/AC0093,Res.Method,M.Material,,,residues,FALSE,"",""
Sunhemp,SA0062/SA0062,Res.Method,M.Material,,,residues,FALSE,"",""
Sunn hemp,NM0052/NM0052,Res.Method,M.Material,,,residues,FALSE,"",""
Tithonia diversifolia,NM0081/NM0081,Res.Method,M.Material,,,residues,FALSE,"",""
