value,B.Code,table,field,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
"
Instituto Federal do Paraná (IFPR) - Campus Palmas",CJ0120,Site.Out,Site.ID,,,site_list,FALSE,"",""
" Tanzania Coffee Research Institute farm, Lyamungo",CJ0111,Site.Out,Site.ID,,,site_list,FALSE,"",""
(Center for Agricultural Sciences) of the Universidade Federal deRoraima,JO0062,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ARC,  Al Sharqia Governorate. Site A",NN0511,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ARC,  Al Sharqia Governorate. Site B",NN0511,Site.Out,Site.ID,,,site_list,FALSE,"",""
"AREX Training Centre farm, Domboshava",HK0306.1/HK0306.2/CJ0001,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ATVET College, Agarfa",CJ0183,Site.Out,Site.ID,,,site_list,FALSE,"",""
"AVTC farm, Otobi",NN0430,Site.Out,Site.ID,,,site_list,FALSE,"",""
Abii,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Abr,SP0043,Site.Out,Site.End.S1,Site.Out,Site.Seasons,lookup_levels,FALSE,"",""
Ado Ekiti Exp2,CJ0004,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Africa RISING technology park, Bougouni",JO0065,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Africa RISING technology park, Koutiala",JO0065,Site.Out,Site.ID,,,site_list,FALSE,"",""
Agricultural Research Institute of Paraná,NM0029,Site.Out,Site.ID,,,site_list,FALSE,"",""
Agricultural School of Jundiai,NM0083,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Agriculture Research Farm of Banaras Hindu University, Varanasi",SA0043,Site.Out,Site.ID,,,site_list,FALSE,"",""
Alemaya University Hirna Station - Ust,JS0279/NN0240,Site.Out,Site.ID,,,site_list,FALSE,"",""
Alemaya University Hirna Station -Pel,JS0279/NN0240,Site.Out,Site.ID,,,site_list,FALSE,"",""
Alemaya University Hirna Station B,JS0260/JS0278,Site.Out,Site.ID,,,site_list,FALSE,"",""
Areka Agricultural Research Centre,NM0070,Site.Out,Site.ID,,,site_list,FALSE,"",""
Arri,NN0463,Site.Out,Site.ID,,,site_list,FALSE,"",""
Ashaiman Irrigation Development Center,JO0106,Site.Out,Site.ID,,,site_list,FALSE,"",""
August,AC0072,Site.Out,Site.Start.S1,Site.Out,Site.Seasons,lookup_levels,FALSE,"",""
August,NN0482,Site.Out,Site.End.S1,Site.Out,Site.Seasons,lookup_levels,FALSE,"",""
Bako ARC,NM0127,Site.Out,Site.ID,,,site_list,FALSE,"",""
Bako Agricultural Research Center,CJ0007,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Balazo station, Desert Research Center, Experimental farm",NN0506,Site.Out,Site.ID,,,site_list,FALSE,"",""
Bangladesh,SA0007/SA0011/SA0014/SA0056/SA0060,Site.Out,Country,,,countries,FALSE,"",""
"Bangladesh Rice Research Institute, (BRRI) Gazipur",SA0056,Site.Out,Site.ID,,,site_list,FALSE,"",""
Berekum-station,NN0559.1,Site.Out,Site.ID,,,site_list,FALSE,"",""
Botucatu-ENT,CJ0097,Site.Out,Site.ID,,,site_list,FALSE,"",""
Botucatu-NNT,CJ0097,Site.Out,Site.ID,,,site_list,FALSE,"",""
Botucatu_B,JO0083,Site.Out,Site.ID,,,site_list,FALSE,"",""
Botucatu_C,JO0083,Site.Out,Site.ID,,,site_list,FALSE,"",""
Bule Agricultural Research Sub Center,NN0535,Site.Out,Site.ID,,,site_list,FALSE,"",""
Bulidi,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Bulindi,CJ0008,Site.Out,Site.ID,,,site_list,FALSE,"",""
"CIMMYT, El Batán",AC0021,Site.Out,Site.ID,,,site_list,FALSE,"",""
"CIMMYT, Harare",NN0516,Site.Out,Site.ID,,,site_list,FALSE,"",""
"CSIR, Manga",CJ0166,Site.Out,Site.ID,,,site_list,FALSE,"",""
CSIR-CRI-Aiyinasi Ellembelle,JO0146,Site.Out,Site.ID,,,site_list,FALSE,"",""
CSIR-CRI-Ehiamadwen Jomoro,JO0146,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Campus de Ciencias Agrarias’ of the Universidade Federal do Vale do Sao Francisco, Petrolina- Caatinga",JO0070,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Campus de Ciencias Agrarias’ of the Universidade Federal do Vale do Sao Francisco, Petrolina-Fallow",JO0070,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Central Laboratory for Agricultural Climate (CLAC), Agriculture Research Center (ARC), Dokki",JO0164,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Turrialba",AC0113,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Centro de Investigaciones Agricolas del Noroeste, CIANO",AC0116,Site.Out,Site.ID,,,site_list,FALSE,"",""
Chepkanga,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Chitedze ARS (LT CA Trial),JO0015.2/JO0005,Site.Out,Site.ID,,,site_list,FALSE,"",""
Cinzana ARS_clay,NN0003,Site.Out,Site.ID,,,site_list,FALSE,"",""
Cinzana ARS_loamy,NN0003,Site.Out,Site.ID,,,site_list,FALSE,"",""
Coffee Institute of Costa Rica (Icafé),DM0024,Site.Out,Site.ID,,,site_list,FALSE,"",""
Damongo-station,NN0559.1,Site.Out,Site.ID,,,site_list,FALSE,"",""
Dareda,NN0463,Site.Out,Site.ID,,,site_list,FALSE,"",""
Desert Research Center (D.R.C)-Agricultural Experiment Station,JO0097,Site.Out,Site.ID,,,site_list,FALSE,"",""
Domboshawa DCT,HK0294,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Domboshawa, ICRAF",HK0294,Site.Out,Site.ID,,,site_list,FALSE,"",""
"E3, Lamto Natural Reserve",AC0003,Site.Out,Site.ID,,,site_list,FALSE,"",""
"EMEPA, Lagoa Seca",NM0063,Site.Out,Site.ID,,,site_list,FALSE,"",""
Ebolowa,NM0024,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Embrapa
Agropecuária Oeste",AC0022,Site.Out,Site.ID,,,site_list,FALSE,"",""
Embrapa Cerrados,AC0088,Site.Out,Site.ID,,,site_list,FALSE,"",""
Embrapa Milho e Sorgo experimental station ,CJ0018,Site.Out,Site.ID,,,site_list,FALSE,"",""
Embu,NN0261,Site.Out,Site.ID,,,site_list,FALSE,"",""
Embu ,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Ex-Hacienda El Copal, Universidad de Guanajuato in Irapuato, Guanajuato",CJ0051,Site.Out,Site.ID,,,site_list,FALSE,"",""
