Tree.Latin.Name,N,master_table,issue,issue_addressed,addressed_by_whom,notes
Acacia tortilis,2,trees,More than one entry for same tree name,FALSE,"",""
Adansonia digitata,,trees,Needs n-fixing status adding,FALSE,"",""
Afzelia africana,,trees,Needs n-fixing status adding,FALSE,"",""
Alchornea cordifolia,,trees,Needs n-fixing status adding,FALSE,"",""
Argyrolobium uniflorum,,trees,Needs n-fixing status adding,FALSE,"",""
Atriplex nummularia,,trees,Needs n-fixing status adding,FALSE,"",""
Auxemma oncocalyx,,trees,Needs n-fixing status adding,FALSE,"",""
Azadirachta indica,,trees,Needs n-fixing status adding,FALSE,"",""
Bauhinia reticulata,,trees,Needs n-fixing status adding,FALSE,"",""
Bauhinia rufescens,,trees,Needs n-fixing status adding,FALSE,"",""
Berchemia discolor,,trees,Needs n-fixing status adding,FALSE,"",""
Brachystegia spiciformis,,trees,Needs n-fixing status adding,FALSE,"",""
Casuarina equisetifolia,,trees,Needs n-fixing status adding,FALSE,"",""
Casuarina glauca,,trees,Needs n-fixing status adding,FALSE,"",""
Catha edulis,,trees,Needs n-fixing status adding,FALSE,"",""
Cedrela odorata,,trees,Needs n-fixing status adding,FALSE,"",""
Cedrela serrata,,trees,Needs n-fixing status adding,FALSE,"",""
Centrosema pubescens,,trees,Needs n-fixing status adding,FALSE,"",""
Chromolaena odorata,,trees,Needs n-fixing status adding,FALSE,"",""
Cinnamomum cassia,,trees,Needs n-fixing status adding,FALSE,"",""
Combretum apiculatum,,trees,Needs n-fixing status adding,FALSE,"",""
Cordia africana,,trees,Needs n-fixing status adding,FALSE,"",""
Cordia africana,2,trees,More than one entry for same tree name,FALSE,"",""
Crotalaria agatiflora,,trees,Needs n-fixing status adding,FALSE,"",""
Crotalaria grahamiana,,trees,Needs n-fixing status adding,FALSE,"",""
Crotalaria juncea,,trees,Needs n-fixing status adding,FALSE,"",""
Crotalaria ochrolueca,,trees,Needs n-fixing status adding,FALSE,"",""
Crotalaria sp.,,trees,Needs n-fixing status adding,FALSE,"",""
Crotalaria trichotoma,,trees,Needs n-fixing status adding,FALSE,"",""
Croton macrostachyus,,trees,Needs n-fixing status adding,FALSE,"",""
Croton megalocarpus,,trees,Needs n-fixing status adding,FALSE,"",""
Cupressus lusitanica,,trees,Needs n-fixing status adding,FALSE,"",""
Cytisus proliferus,,trees,Needs n-fixing status adding,FALSE,"",""
Cytisus proliferus var. palmensis,,trees,Needs n-fixing status adding,FALSE,"",""
Dactyladenia barteri,,trees,Needs n-fixing status adding,FALSE,"",""
Dactyladenia barteri,2,trees,More than one entry for same tree name,FALSE,"",""
Desmodium discolor,,trees,Needs n-fixing status adding,FALSE,"",""
Desmodium distortum,,trees,Needs n-fixing status adding,FALSE,"",""
Desmodium intortum,,trees,Needs n-fixing status adding,FALSE,"",""
Desmodium uncinatum,,trees,Needs n-fixing status adding,FALSE,"",""
Dodonaea Viscosa,,trees,Needs n-fixing status adding,FALSE,"",""
Elaeis guineensis,,trees,Needs n-fixing status adding,FALSE,"",""
Entada abyssinica,,trees,Needs n-fixing status adding,FALSE,"",""
Erythrina abyssinica,,trees,Needs n-fixing status adding,FALSE,"",""
Erythrina poeppigiana,,trees,Needs n-fixing status adding,FALSE,"",""
Eucalyptus alba,,trees,Needs n-fixing status adding,FALSE,"",""
Eucalyptus camaldulensis,,trees,Needs n-fixing status adding,FALSE,"",""
Eucalyptus globulus,,trees,Needs n-fixing status adding,FALSE,"",""
Eucalyptus saligna,,trees,Needs n-fixing status adding,FALSE,"",""
Euclea racemosa subsp. schimperi,,trees,Needs n-fixing status adding,FALSE,"",""
Ficus laurifolia,,trees,Needs n-fixing status adding,FALSE,"",""
Ficus natalensis,,trees,Needs n-fixing status adding,FALSE,"",""
Ficus polita,,trees,Needs n-fixing status adding,FALSE,"",""
Ficus sur,,trees,Needs n-fixing status adding,FALSE,"",""
Flemingia macrophylla,,trees,Needs n-fixing status adding,FALSE,"",""
Flemingia macrophylla,2,trees,More than one entry for same tree name,FALSE,"",""
Flemingia sp.,,trees,Needs n-fixing status adding,FALSE,"",""
Gliricida sepium,,trees,Needs n-fixing status adding,FALSE,"",""
Gliricidia,,trees,Needs n-fixing status adding,FALSE,"",""
Gliricidia maculata,,trees,Needs n-fixing status adding,FALSE,"",""
Gliricidia sepium,,trees,Needs n-fixing status adding,FALSE,"",""
Glycine wightii,,trees,Needs n-fixing status adding,FALSE,"",""
Gmelina arborea,,trees,Needs n-fixing status adding,FALSE,"",""
Grevillea robusta,,trees,Needs n-fixing status adding,FALSE,"",""
Guiera senegalensis,,trees,Needs n-fixing status adding,FALSE,"",""
Harrisonia abyssinica,,trees,Needs n-fixing status adding,FALSE,"",""
Jatropha curcas,,trees,Needs n-fixing status adding,FALSE,"",""
Julbernardia globiflora,,trees,Needs n-fixing status adding,FALSE,"",""
Khaya senegalensis,,trees,Needs n-fixing status adding,FALSE,"",""
Lablab purpureus,,trees,Needs n-fixing status adding,FALSE,"",""
Leucaena diversifolia,,trees,Needs n-fixing status adding,FALSE,"",""
Leucaena leucocephala,,trees,Needs n-fixing status adding,FALSE,"",""
Leucaena leucocephala,2,trees,More than one entry for same tree name,FALSE,"",""
Leucaena pallida,,trees,Needs n-fixing status adding,FALSE,"",""
Leucaena trichandra,,trees,Needs n-fixing status adding,FALSE,"",""
Lippia javanica,,trees,Needs n-fixing status adding,FALSE,"",""
Macroptilium Atropurpureum,,trees,Needs n-fixing status adding,FALSE,"",""
Macrotyloma axillare,,trees,Needs n-fixing status adding,FALSE,"",""
Maesopsis eminii,,trees,Needs n-fixing status adding,FALSE,"",""
Mangifera indica,,trees,Needs n-fixing status adding,FALSE,"",""
Markhamia lutea,,trees,Needs n-fixing status adding,FALSE,"",""
Melia azedarach,,trees,Needs n-fixing status adding,FALSE,"",""
Melia volkensii,,trees,Needs n-fixing status adding,FALSE,"",""
Milicia excelsa,,trees,Needs n-fixing status adding,FALSE,"",""
Milletia ferruginea,,trees,Needs n-fixing status adding,FALSE,"",""
Millettia thonningii,,trees,Needs n-fixing status adding,FALSE,"",""
Moringa oleifera,,trees,Needs n-fixing status adding,FALSE,"",""
Moringa stenopetala,,trees,Needs n-fixing status adding,FALSE,"",""
Newbouldia laevis,,trees,Needs n-fixing status adding,FALSE,"",""
Olea europaea,,trees,Needs n-fixing status adding,FALSE,"",""
Opuntia ficus-indica,,trees,Needs n-fixing status adding,FALSE,"",""
Palm,,trees,Needs n-fixing status adding,FALSE,"",""
Parkia biglobosa,,trees,Needs n-fixing status adding,FALSE,"",""
Paulownia fortunei,,trees,Needs n-fixing status adding,FALSE,"",""
Pinus patula,,trees,Needs n-fixing status adding,FALSE,"",""
Pithecellobium dulce,,trees,Needs n-fixing status adding,FALSE,"",""
Plukenetia conophora,,trees,Needs n-fixing status adding,FALSE,"",""
Podocarpus falcatus,,trees,Needs n-fixing status adding,FALSE,"",""
Prosopis africana,,trees,Needs n-fixing status adding,FALSE,"",""
Prosopis juliflora,,trees,Needs n-fixing status adding,FALSE,"",""
Prunus africana,,trees,Needs n-fixing status adding,FALSE,"",""
Prunus persica,,trees,Needs n-fixing status adding,FALSE,"",""
Pterocarpus erinaceus,,trees,Needs n-fixing status adding,FALSE,"",""
Pterocarpus lucens,,trees,Needs n-fixing status adding,FALSE,"",""
Pterocarpus santalinoides,,trees,Needs n-fixing status adding,FALSE,"",""
Pueraria phaseoloides,,trees,Needs n-fixing status adding,FALSE,"",""
Quillaja saponaria,,trees,Needs n-fixing status adding,FALSE,"",""
Ricinodendron heudelotii,,trees,Needs n-fixing status adding,FALSE,"",""
Rosmarinus officinalis,,trees,Needs n-fixing status adding,FALSE,"",""
Schefflera abyssinica,,trees,Needs n-fixing status adding,FALSE,"",""
Senna didymobotrya,,trees,Needs n-fixing status adding,FALSE,"",""
