B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes,T.Practice
AC0016,"Cheyohi No. 2, NR..Tingoli, NR..Duko, NR..Tibali, NR/Samboligo, UER..Nyangua, UER..Gia, UER..Bonia, UER",PD.Out,Site.ID,A Site.ID used  does not match the Site tab.,TRUE,"Alvaro","",
CJ0002,"Institute of Agricultural Research (IAR), Zaria",PD.Out,Site.ID,A Site.ID used  does not match the Site tab.,TRUE,"Alvaro","",
CJ0009,"hunyani farm, Zvimba",PD.Out,Site.ID,A Site.ID used  does not match the Site tab.,TRUE,"Alvaro","",
CJ0022,31/09/2018,PD.Out,PD.Date.End,Non-numeric value in numeric field.,TRUE,"Alvaro","",
CJ0022,Coffee,PD.Out,PD.Level.Name,Only one of start and end date specified in the Dates tab.,TRUE,"Alvaro","",
CJ0108,Shewarobit..Ataye..Merhabete,PD.Out,Site.ID,A Site.ID used  does not match the Site tab.,TRUE,"Alvaro","",
CJ0157,2912-04-20,PD.Out,PD.Date.End,Date not between 1950-01-01 & 2023-12-01,TRUE,"Alvaro","",
JO0027,2025-05-31,PD.Out,PD.Date.End,Date not between 1950-01-01 & 2023-12-01,TRUE,"Alvaro","",
JO0027,2026-05-31,PD.Out,PD.Date.End,Date not between 1950-01-01 & 2023-12-01,TRUE,"Alvaro","",
JO0152,Friday.10July2005,PD.Out,PD.Date.End,Non-numeric value in numeric field.,TRUE,"Alvaro","",
JO0152,Friday.10July2007,PD.Out,PD.Date.End,Non-numeric value in numeric field.,TRUE,"Alvaro","",
JO0152,Friday.10July2008,PD.Out,PD.Date.End,Non-numeric value in numeric field.,TRUE,"Alvaro","",
JO0152,Friday.10July2009,PD.Out,PD.Date.End,Non-numeric value in numeric field.,TRUE,"Alvaro","",
JO0152,Friday.10July2010,PD.Out,PD.Date.End,Non-numeric value in numeric field.,TRUE,"Alvaro","",
JO0152,Friday.10July2013,PD.Out,PD.Date.End,Non-numeric value in numeric field.,TRUE,"Alvaro","",
JO0152,Tuesday.10August2008,PD.Out,PD.Date.End,Non-numeric value in numeric field.,TRUE,"Alvaro","",
JO0152,Tuesday.10August2009,PD.Out,PD.Date.End,Non-numeric value in numeric field.,TRUE,"Alvaro","",
JO0152,Wheat/Wheat/Wheat/Wheat/Teff/Teff/Barley/Barley,PD.Out,PD.Level.Name,Only one of start and end date specified in the Dates tab.,TRUE,"Alvaro","",
NM0096,Base,PD.Out,PD.Level.Name,"No date, DAP or DAE specfied for a practice in the Dates tab.",FALSE,"Alvaro","This is fine",
NM0096,Year,PD.Out,PD.Date.End,Non-numeric value in numeric field.,FALSE,"Alvaro","This is fine",
NM0096,Year,PD.Out,PD.Date.Start,Non-numeric value in numeric field.,FALSE,"Alvaro","This is fine",
NM0113,Base,PD.Out,PD.Level.Name,"No date, DAP or DAE specfied for a practice in the Dates tab.",FALSE,"Alvaro","This is fine",
NM0113,Year1,PD.Out,PD.Date.End,Non-numeric value in numeric field.,FALSE,"Alvaro","This is fine",
NM0113,Year1,PD.Out,PD.Date.Start,Non-numeric value in numeric field.,FALSE,"Alvaro","This is fine",
NM0125,Sd2,PD.Out,PD.Level.Name,Only one of start and end date specified in the Dates tab.,TRUE,"Alvaro","",
NM0125,Z,PD.Out,PD.Date.End,Non-numeric value in numeric field.,TRUE,"Alvaro","",
NN0049,Base/Base/Base,PD.Out,PD.Level.Name,"No date, DAP or DAE specfied for a practice in the Dates tab.",TRUE,"Alvaro","",
NN0162.2,1947-03-01,PD.Out,PD.Date.Start,Date not between 1950-01-01 & 2023-12-01,FALSE,"Alvaro","This is fine",
NN0162.2,1947-03-31,PD.Out,PD.Date.End,Date not between 1950-01-01 & 2023-12-01,FALSE,"Alvaro","This is fine",
NN0164,1947-03-01,PD.Out,PD.Date.Start,Date not between 1950-01-01 & 2023-12-01,FALSE,"Alvaro","This is fine",
NN0164,1947-03-31,PD.Out,PD.Date.End,Date not between 1950-01-01 & 2023-12-01,FALSE,"Alvaro","This is fine",
NN0187,"Tany sy Fampandrosoana (TAFA),",PD.Out,Site.ID,A Site.ID used  does not match the Site tab.,TRUE,"Alvaro","",
SA0046,"ICAR –Indian Agricultural Research Institute, Dehli",PD.Out,Site.ID,A Site.ID used  does not match the Site tab.,TRUE,"Alvaro","",
