B.Code,filename,issue,issue_addressed,addressed_by_whom
AC0003,V2.0.7 - AC0003.xlsm,"Problem with Plant.Out tab structure,corruption of excel file?",FALSE,
AC0013,V2.0.9 - AC0013.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
AC0032,V2.0.14 - AC0032.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
AC0044,V2.0.18 - AC0044.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
AC0047.1,V2.0.18 - AC0047.1.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
AC0047.2,V2.0.18 - AC0047.2.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
AC0051,V2.0.18 - AC0051.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
AC0053,V2.0.18 - AC0053.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
AC0054,V2.0.18 - AC0054.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
AC0077.2,V2.0.21 - AC0077.2.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
AC0082,V2.0.21 - AC0082.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
AC0091,V2.0.21 - AC0091.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
AC0136,V2.0.21 - AC0136.xlsm,"Problem with Plant.Out tab structure,corruption of excel file?",FALSE,
CJ0001,V2.0.13 - CJ0001.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
CJ0049,V2.0.20 - CJ0049.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
CJ0052,V2.0.21 - CJ0052.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
CJ0056,V2.0.21 - CJ0056.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
CJ0081,V2.0.21 - CJ0081.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
CJ0095,V2.0.21 - CJ0095.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
CJ0098,V2.0.21 - CJ0098.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
DM0006,V2.0.10 - DM0006.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
DM0021,V2.0.15 - DM0021.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
JO0012,V2.0.9 - JO0012.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
JO0013,V2.0.10 - JO0013.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
JO0034,V2.0.19 - JO0034.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
JO0036,V2.0.19 - JO0036.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
JO0052,V2.0.21 - JO0052.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
JO0053,V2.0.21 - JO0053.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
JO0054,V2.0.21 - JO0054.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
JO0055,V2.0.21 - JO0055.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
JO0066,V2.0.21 - JO0066.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
JO0068,V2.0.21 - JO0068.xlsm,"Problem with Plant.Out tab structure,P.Level.Name column may be missing in column H",FALSE,
