value,B.Code,table,field,issue,issue_addressed,addressed_by_whom,notes
Cereals/Finger millet,AC0029,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Cereals/Pearl millet,AC0029,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Legumes/Pigeon pea,AC0029/AC0004/AC0008,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Legumes/Common bean,AC0034,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
,AC0085/LM0168/HK0294/HK0111/JO0125/NN0534/HK0111/JO0022/NN0373/HK0161.2/NN0544/SP0003/HK0242/JO0072/AC0089/AC0035/JS0052/AC0089/JS0086/JS0433/DM0018/NN0310/JS0052/AC0127/NN0479/AC0141/NN0310/JO0036/AC0113/JO0013/AC0033/AC0074/JO0072/SP0022/AC0076/AC0042/JO0013/JO0072/NN0310/JS0433/LM0006/SA0017/SA0059.1/SA0060/JO0072/JO0072/NN0310/SP0022/AC0076/AC0087/AC0105/AC0110/AC0113/JO0069/AC0087/NN0437/AC0033/JO0027/JO0189/JS0199/JO0072/LM0006/HK0242/AC0041/JO0084/JO0110/JO0124/HK0202.1/HK0209/HK0242/HK0261/JS0433/LM0075.1/LM0075.2/LM0264/NN0241/NN0247/DM0008/HK0240/JS0204/AC0026/AC0127/AC0148/DM0013/JO0189/JO0183/AC0033/JS0204/LM0213/LM0276/LM0279/AC0076/SP0015/AC0125/AC0133/DM0024/SP0022/SP0022/AC0130/SP0022/JO0110/JS0234/CJ0028/HK0111/JO0081/NN0479/HK0157/HK0242/JS0006.1/JS0006.2/JS0052/JS0433/LM0061/LM0075.1/LM0075.2/LM0171/LM0173/LM0321/NN0248/NN0560/JO0020/NN0310/NN0310/NN0310/JS0086/NN0544/JO0072/AC0026/AC0035/JS0086/JO0072/NN0437/JO0072/JO0072/JO0072/CJ0028/HK0111/HK0161.2/SP0022/JO0072/HK0111/HK0157/LM0173/LM0321/LM0006/SA0005/SA0051/AC0052/NN0003/AC0041/HK0240/HK0242/HK0294/JO0189/NN0192/AC0116/AC0130/CJ0046/JO0183/JO0022/NN0261/CJ0116/AC0018/AC0041/JO0039/HK0240/JO0189/AC0105/AC0113/AC0087/JS0070/JO0022/AC0039/AC0066/AC0071/AC0086/AC0129/AC0033/AC0033/JO0072/AC0168,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Common vetch,AC0118/AC0126/AC0132/AC0147/AC0153/CJ0105,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Opuntia stricta,AC0157,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Fodders/Urochloa ruziziensis,AC0158/CJ0107,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Cover Crop/Sesbania sp.,AC0159,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
Cover Crop/Urochloa ruziziensis,AC0161,Prod.Out,P.Product.Subtype/P.Product,No match for product in master codes Product tab,FALSE,"",""
