value,B.Code,field,field_alt,table,master_tab,issue_addressed,addressed_by_whom,notes
 Agricultural Research,NN0489,B.Journal,,Pub.Out,journals,FALSE,"",""
0,NM0121.1/NM0121.2/NN0559.1/NN0559.2/NN0559.3/NN0559.4/SA0059.1/SA0059.2/SA0059.3,B.Journal,,Pub.Out,journals,FALSE,"",""
Acta Agriculturae Scandinavica Section B - Soil & Plant Science,SP0001,B.Journal,,Pub.Out,journals,FALSE,"",""
"Acta Scientiarum Polonorum, Hortorum Cultus",CJ0172,B.Journal,,Pub.Out,journals,FALSE,"",""
African Journal of Agricultural and Resource Economics,AC0044,B.Journal,,Pub.Out,journals,FALSE,"",""
Agonomy,NM0001,B.Journal,,Pub.Out,journals,FALSE,"",""
Agriculture  and Food Security,JO0178,B.Journal,,Pub.Out,journals,FALSE,"",""
"Agriculture, Ecosystems and Environment",NN0524,B.Journal,,Pub.Out,journals,FALSE,"",""
Agro-Ecosystems,JO0167,B.Journal,,Pub.Out,journals,FALSE,"",""
American Society of Agronomy,AC0004,B.Journal,,Pub.Out,journals,FALSE,"",""
Annals of Agricultural Science ,CJ0089/JO0144/NN0493,B.Journal,,Pub.Out,journals,FALSE,"",""
Bulletin of Insectology,JO0060,B.Journal,,Pub.Out,journals,FALSE,"",""
CIENCIA ergo-sum,NM0019,B.Journal,,Pub.Out,journals,FALSE,"",""
Canadian Entomologist,JO0054,B.Journal,,Pub.Out,journals,FALSE,"",""
Chiang Mai University Journal of Natural Sciences,CJ0160,B.Journal,,Pub.Out,journals,FALSE,"",""
Ciência Rural,NM0048,B.Journal,,Pub.Out,journals,FALSE,"",""
Ciência e Agrotecnologia,NM0056,B.Journal,,Pub.Out,journals,FALSE,"",""
"Die Bodenkultur :Journal of Land Management, Food and Environment",NN0192,B.Journal,,Pub.Out,journals,FALSE,"",""
Discover Sustainability,CJ0125,B.Journal,,Pub.Out,journals,FALSE,"",""
Discover Sustainability ,NN0528,B.Journal,,Pub.Out,journals,FALSE,"",""
Egyptian Journal of Agronomy,JO0097,B.Journal,,Pub.Out,journals,FALSE,"",""
Food Security ,JO0210,B.Journal,,Pub.Out,journals,FALSE,"",""
Frontiers in Agronomy,NM0126,B.Journal,,Pub.Out,journals,FALSE,"",""
Frontiers in Sustainable Food Systems,NN0421,B.Journal,,Pub.Out,journals,FALSE,"",""
"Improving the Profitability, Sustainability and Efficiency of Nutrients Through Site Specific Fertilizer Recommendations in West Africa Agro-Ecosystems",NN0514.1/NN0514.2,B.Journal,,Pub.Out,journals,FALSE,"",""
International Journal of Agronomy ,NN0416,B.Journal,,Pub.Out,journals,FALSE,"",""
International Journal of Bio-resource and Stress Management ,SA0017,B.Journal,,Pub.Out,journals,FALSE,"",""
International Journal of Research in Pharmaceutical Sciences,NM0132,B.Journal,,Pub.Out,journals,FALSE,"",""
Joiurnal of Agricultural Science,NN0026,B.Journal,,Pub.Out,journals,FALSE,"",""
Journal of Agricultural Sciences (Belgrade),CJ0149,B.Journal,,Pub.Out,journals,FALSE,"",""
Journal of Animal and Food Research,JO0002,B.Journal,,Pub.Out,journals,FALSE,"",""
Journal of Horticultural Research,CJ0204,B.Journal,,Pub.Out,journals,FALSE,"",""
Journal of Horticultural Sciences,NN0500,B.Journal,,Pub.Out,journals,FALSE,"",""
