B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0003,"Lablab rot, E2/C. odorata rot/Savanna grass rot/Lablab rot, E3",Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
AC0004,MaPpMaMa 0 fert/MaPpMaMa 40N/MaPpMaMa 40N 30P/MaPpMaMa 80N 30P/MaPpMaPp 0 fert/MaPpMaPp 40N/MaPpMaPp 40N 30P/MaPpMaPp 80N 30P/MaVeMaMa 0 fert/MaVeMaMa 40N/MaVeMaMa 40N 30P/MaVeMaMa 80N 30P/MaVeMaVe 0 fert/MaVeMaVe 40N/MaVeMaVe 40N 30P/MaVeMaVe 80N 30P,Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
AC0015,CT rot/CAP basins rot/CAP direct seeding rot,Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
AC0018,0.5F+GB0.5F+G/0.5F+TIB0.5F+TI/0.5F+TRB0.5F+TR/F+GBF+G/F+TIBF+TI/F+TRBF+TR/FBF/GBG/TBT,Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
AC0024,CTR-r/CTR+r/ZTR-r/ZTR+r,Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
AC0029,BF rot N0/PM-CS rot N0/PP rot N0/PP-FM rot N0/S rot N0/BF rot N1/PM-CS rot N1/PP rot N1/PP-FM rot N1/S rot N1/BF rot N2/PM-CS rot N2/PP rot N2/PP-FM rot N2/S rot N2/BF rot N3/PM-CS rot N3/PP rot N3/PP-FM rot N3/S rot N3/BF agg/PM-CS agg/PP agg/PP-FM agg/S agg,Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
AC0032,2008,Rot.Seq,Time,A Time used does not match the Time tab.,FALSE,"",""
AC0032,Legume-Maize,Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
AC0035,A. lebbeck Maize/L. leucocephala Maize/M. oleifera Maize/Pp Maize,Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
AC0036,IT96-724 agg/Natural Fallow agg/TGx 1448-2E agg/SAMSOY-2 agg/SAMPEA-7 agg/N0 agg/N30 agg/N60 agg/N90 agg,Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
AC0041,Bot Gliricidia/Mid Gliricidia/Up Gliricidia/Bot Sesbania/Mid Sesbania/Up Sesbania/Bot Tephrosia/Mid Tephrosia/Up Tephrosia,Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
AC0042,Crotalaria fallow -P/Crotalaria fallow +P/Tithonia fallow -P/Tithonia fallow +P,Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
AC0047.2,CT rot/NT rot/Ripping rot,Rot.Seq,R.Level.Name,Duplicate value in unique field.,FALSE,"",""
