B.Code,Country,ISO.3166.1.alpha.3,Site.LatD,Site.LonD,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0013,Burkina Faso,BFA,11.54139,3.43556,Boni,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
AC0065,Nigeria,NGA,4.95,9.46667,"Ikot Effanga, S2",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
AC0083,Malawi,MWI,14.21,34.1,"Linthipe, H/Linthipe, L",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
AC0083,Malawi,MWI,14.44,34.6,"Golomoti, M/Golomoti, L",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
AC0083,Malawi,MWI,14.63,34.6,"Kandeu, H/Kandeu, M/Kandeu, L",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
AC0083,Malawi,MWI,14.93,34.74,"Nsipe, H/Nsipe, M/Nsipe, L",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
CJ0050,Kenya,KEN,0.4458,34.0018,Busia,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
CJ0110,DRC,COG,-2.446474,28.8046,"Kabare, DRC",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
JO0034,Tanzania,TZA,-1.28849,36.72131,Hai,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
JO0060,DRC,COG,-2.335599,28.7817743,"INERA Mulungu, DRC",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NM0080,Zambia,ZMB,-17.81667,31.56667,Murewa Sandy H/Murewa Sandy O/Murewa Clayey H/Murewa Clayey O,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NM0080.1,Zambia,ZMB,-17.81667,31.56667,Murewa Sandy H/Murewa Sandy O/Murewa Clayey H/Murewa Clayey O,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0026,Niger,NER,11.8811,3.22214,Tara,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0261,Ghana,GHA,-7.36667,3.95,Ibadan,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0261,Kenya,KEN,-7.26667,34.73333,Impala,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0261,Nigeria,NGA,12.9,-12.85,Tamale,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0423,Uganda,UGA,0.46667,0.46653,"Makerere University ARI, Kabanyolo. 2018 site/Makerere University ARI, Kabanyolo. 2019 site/Makerere University ARI, Kabanyolo. 2018 site..Makerere University ARI, Kabanyolo. 2019 site",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0498,Benin,BEN,10.81694,4.11667,Ouri-Yori village,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0536,Uganda,UGA,36,33,Eastern Uganda,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0559.4,Ghana,GHA,-7.75,-0.96667,Atebubu-on-farm,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0559.4,Ghana,GHA,-7.7,-0.51667,Sene-on-farm,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0559.4,Ghana,GHA,-7.56667,-1.71667,Nkoranza-station/Nkoranza-on-farm,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0559.4,Ghana,GHA,-7.43333,-2.6,Berekum-station,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
NN0559.4,Ghana,GHA,-7.13333,-0.45,Krachi-on-farm,Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified.,FALSE,"",""
