B.Code,Site.ID,Site.Type,Country,Site.LatD,Site.LonD,Site.Lat.Unc,Site.Lon.Unc,Buffer.Manual,issue,issue_addressed,addressed_by_whom
AC0126,,,,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
CJ0014,Machanga HF,Researcher Managed & On-farm,Kenya,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
CJ0097,Botucatu-ENT,Researcher Managed & Research Facility,Brazil,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
CJ0097,Botucatu-NNT,Researcher Managed & Research Facility,Brazil,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
JO0077,Kumi-2010b,Researcher Managed & On-farm,Uganda,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
JO0101,Metema,Researcher Managed & Research Facility,Ethiopia,12.96667,36.2,,,,Compulsory information appears to be missing,TRUE,"Charity"
JO0101,Sanja,Researcher Managed & Research Facility,Ethiopia,13.33333,36.75,,,,Compulsory information appears to be missing,TRUE,"Charity"
JO0102,Guto Gida District,Researcher Managed & On-farm,Ethiopia,9.18333,37.15,,,,Compulsory information appears to be missing,TRUE,"Charity"
JO0155,Suhum Municipality-Con,Researcher Managed & On-farm,Ghana,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
JO0163,,,,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
NM0095,,,,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
NN0410,"NaCRRI, Namulonge.M",Researcher Managed & Research Facility,Uganda,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
NN0412,,,,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
NN0423,"Makerere University ARI, Kabanyolo. 2018 site",Researcher Managed & Research Facility,Uganda,0.46667,,0.46653,,500,Compulsory information appears to be missing,TRUE,"Charity"
NN0423,"Makerere University ARI, Kabanyolo. 2019 site",Researcher Managed & Research Facility,Uganda,0.46667,,0.46653,,500,Compulsory information appears to be missing,TRUE,"Charity"
NN0534,Aba Gerima,Farmer Interviews,Ethiopia,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
NN0534,Dibate,Farmer Interviews,Ethiopia,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
NN0534,Guder,Farmer Interviews,Ethiopia,,,,,,Compulsory information appears to be missing,TRUE,"Charity"
NN0547,Aba Gerima,Researcher Managed & On-farm,Ethiopia,11.66667,37.36667,,,,Compulsory information appears to be missing,TRUE,"Charity"
NN0547,Dibatie,Researcher Managed & On-farm,Ethiopia,10.45,36.25,,,,Compulsory information appears to be missing,TRUE,"Charity"
NN0547,Guder  ,Researcher Managed & On-farm,Ethiopia,11.56667,37.38333,,,,Compulsory information appears to be missing,TRUE,"Charity"
SP0047,,,,,,,,,Compulsory information appears to be missing,FALSE,"Charity"
