B.Code,value,table,field,issue,variable,Site.ID,filename,issue_addressed,addressed_by_whom,notes
AC0168,"ICRISAT Sahelian Centre, Sadore",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0002,"Institute of Agricultural Research (IAR), Zaria",Soil.Out,Site.ID,A Site.ID used  does not match the Site tab.,,,,FALSE,"",""
CJ0093,Sasiga district,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0125,"Agricultural Research Farm of the Faculty of Science and Technique, Niamey",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0168,"Authority Irrigation Site, Wushishi",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0168,"Irrigation Research Station, Kadawa",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0171,"ICRISAT, Sadore",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0175,Ankazomiriotra_S1,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0175,Ankazomiriotra_S2,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0187,Nassoulou village D,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0187,Nassoulou village_M,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0187,Poa village,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0187,Ramongo village,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
JO0047,Picos-Semi Arid Brazil,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
JO0073,"University of Nigeria, Nsukka",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
JO0118,"FUNAAB, Abeokuta",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
JO0210,Gashora,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
JO0210,Nyakiliba,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
NM0111,"FUT, Minna",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
NN0187,"Tany sy Fampandrosoana (TAFA),",Soil.Out,Site.ID,A Site.ID used  does not match the Site tab.,,,,FALSE,"",""
NN0512,University of Zimbabwe Farm,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
NN0512,Zengeza,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
SA0046,"ICAR –Indian Agricultural Research Institute, Dehli",Soil.Out,Site.ID,A Site.ID used  does not match the Site tab.,,,,FALSE,"",""
