B.Code,filename,issue,issue_addressed,addressed_by_whom
JO0017,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.13 - JO0017.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0009,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.13 - NM0009.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0013,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.13 - NM0013.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0014,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.14 - NM0014.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0015,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.15 - NM0015.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0016,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.15 - NM0016.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0018,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - NM0018.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0020,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - NM0020.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0052,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - NM0052.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0031,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - NM0031.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
CJ0098,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - CJ0098.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0022,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0022.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0023,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0023.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0024,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0024.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0028,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0028.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0032,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0032.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0033,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0033.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0034,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0034.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0035,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0035.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0036,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0036.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0037,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0037.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0038,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0038.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0039,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0039.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0040,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0040.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0041,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0041.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0043,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0043.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0044,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0044.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0045,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0045.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0046,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0046.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0047,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0047.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0048,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0048.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0053,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0053.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0056,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0056.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0057,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0057.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0059,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0059.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0060,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0060.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0061,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0061.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0063,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0063.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0064,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0064.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0066,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0066.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0067,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0067.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0069,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0069.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0070,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0070.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0071,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0071.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0072,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0072.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0073,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0073.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0075,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.21 - NM0075.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0001,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.6 - NM0001.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0002,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.7 - NM0002.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
NM0004,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.7 - NM0004.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
JO0009,C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.9 - JO0009.xlsm,"Problem with structure of Soil.Out tab, first col has incorrect name or no unit colnames present",FALSE,""
