value,B.Code,table,field,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom
Angady,NM0101,Till.Out,T.Method,,,lookup_levels,FALSE,""
Animal Plough,JS0041,Till.Out,T.Method,,,lookup_levels,FALSE,""
Berken plow,AC0048,Till.Out,T.Method,,,lookup_levels,FALSE,""
Bullock plough,NN0261,Till.Out,T.Method,,,lookup_levels,FALSE,""
Chisel Ploughed,CJ0155,Till.Out,T.Method,,,lookup_levels,FALSE,""
Cultivator,JS0035,Till.Out,T.Method,,,lookup_levels,FALSE,""
Cultivator in ponded water,SA0033,Till.Out,T.Method,,,lookup_levels,FALSE,""
Disc Harrow,SP0034,Till.Out,Till.Other,,,lookup_levels,FALSE,""
Disc coulter,SA0046/SA0047,Till.Out,T.Method,,,lookup_levels,FALSE,""
Duck foot cultivator,SA0025,Till.Out,T.Method,,,lookup_levels,FALSE,""
Huard Plough,AC0034,Till.Out,T.Method,,,lookup_levels,FALSE,""
Huard plough,JO0160,Till.Out,T.Method,,,lookup_levels,FALSE,""
Leveled,SA0005/SA0051,Till.Out,T.Method,,,lookup_levels,FALSE,""
Levelling,SA0022/SA0023,Till.Out,T.Method,,,lookup_levels,FALSE,""
Magoye ripper,NN0558,Till.Out,T.Method,,,lookup_levels,FALSE,""
Maresha Plough,NN0469/NN0556,Till.Out,T.Method,,,lookup_levels,FALSE,""
Maresha Sub-soiler,NN0469,Till.Out,T.Method,,,lookup_levels,FALSE,""
Maresha plough,JS0248,Till.Out,T.Method,,,lookup_levels,FALSE,""
Maresha plow,AC0048,Till.Out,T.Method,,,lookup_levels,FALSE,""
Oxen plough,NN0261,Till.Out,T.Method,,,lookup_levels,FALSE,""
Puddled,SA0005/SA0024/SA0051,Till.Out,T.Method,,,lookup_levels,FALSE,""
Puddled plots,SA0040,Till.Out,T.Method,,,lookup_levels,FALSE,""
Ratovator,JO0014,Till.Out,T.Method,,,lookup_levels,FALSE,""
Ripper + sweeper,AC0025,Till.Out,T.Method,,,lookup_levels,FALSE,""
Rotavator,LM0075.1/LM0075.2,Till.Out,T.Method,,,lookup_levels,FALSE,""
Seedbed tiller,AC0092,Till.Out,T.Method,,,lookup_levels,FALSE,""
Spade,NN0538/SA0004/SA0012,Till.Out,T.Method,,,lookup_levels,FALSE,""
Spike tooth Harrow,AC0024,Till.Out,T.Method,,,lookup_levels,FALSE,""
Tied Ridges,NN0483,Till.Out,Till.Other,,,lookup_levels,FALSE,""
Tine cultivator,CJ0195,Till.Out,T.Method,,,lookup_levels,FALSE,""
Tractor ,NN0261,Till.Out,T.Method,,,lookup_levels,FALSE,""
Traditional Plough,NN0481,Till.Out,T.Method,,,lookup_levels,FALSE,""
Trencher,NN0475,Till.Out,T.Method,,,lookup_levels,FALSE,""
Two-way offset disc,NN0553,Till.Out,T.Method,,,lookup_levels,FALSE,""
V-Blade,LM0119/NN0168,Till.Out,T.Method,,,lookup_levels,FALSE,""
V-Blade sweep Plough,AF0001,Till.Out,T.Method,,,lookup_levels,FALSE,""
V-blade cutting,NN0553,Till.Out,T.Method,,,lookup_levels,FALSE,""
angady,JO0026,Till.Out,T.Method,,,lookup_levels,FALSE,""
duck-foot sweep cultivator,SA0019/SA0050,Till.Out,T.Method,,,lookup_levels,FALSE,""
