B.Code,era_code2,filename,N,code_issue,issue_addressed,addressed_by_whom,notes
HK0044,HK0044.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - HK0044.1.xlsm,2,TRUE,FALSE,"",""
HK0044,HK0044.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - HK0044.2.xlsm,2,TRUE,FALSE,"",""
HK0066,HK0066.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - HK0066.1.xlsm,2,TRUE,FALSE,"",""
HK0066,HK0066.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - HK0066.2.xlsm,2,TRUE,FALSE,"",""
HK0102,HK0102.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - HK0102.1.xlsm,2,TRUE,FALSE,"",""
HK0102,HK0102.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - HK0102.2.xlsm,2,TRUE,FALSE,"",""
JS0094,JS0094.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0094.1.xlsm,2,TRUE,FALSE,"",""
JS0094,JS0094.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0094.2.xlsm,2,TRUE,FALSE,"",""
JS0201,JS0201.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0201.1.xlsm,2,TRUE,FALSE,"",""
JS0201,JS0201.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0201.2.xlsm,2,TRUE,FALSE,"",""
JS0210,JS0210.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0210.1.xlsm,2,TRUE,FALSE,"",""
JS0210,JS0210.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0210.2.xlsm,2,TRUE,FALSE,"",""
JS0215,JS0215.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0215.1.xlsm,2,TRUE,FALSE,"",""
JS0215,JS0215.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0215.2.xlsm,2,TRUE,FALSE,"",""
JS0269,JS0269.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0269.1.xlsm,2,TRUE,FALSE,"",""
JS0269,JS0269.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0269.2 .xlsm,2,TRUE,FALSE,"",""
JS0289,JS0289.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0289.1.xlsm,2,TRUE,FALSE,"",""
JS0289,JS0289.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - JS0289.2.xlsm,2,TRUE,FALSE,"",""
LM0113,LM0113.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - LM0113.1.xlsm,2,TRUE,FALSE,"",""
LM0113,LM0113.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - LM0113.2.xlsm,2,TRUE,FALSE,"",""
LM0117,LM0117.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - LM0117.1.xlsm,3,TRUE,FALSE,"",""
LM0117,LM0117.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - LM0117.2.xlsm,3,TRUE,FALSE,"",""
LM0117,LM0117.3,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - LM0117.3.xlsm,3,TRUE,FALSE,"",""
LM0136,LM0136.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - LM0136.1.xlsm,2,TRUE,FALSE,"",""
LM0136,LM0136.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - LM0136.2.xlsm,2,TRUE,FALSE,"",""
LM0151,LM0151.1,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - LM0151.1.xlsm,2,TRUE,FALSE,"",""
LM0151,LM0151.2,C:/rprojects/common_data/era/data/data_entry/skinny_cow_2022/excel_files/V1.06.3 - LM0151.2.xlsm,2,TRUE,FALSE,"",""
