B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0041,"row =  75 , station = 90",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
AC0083,"row =  75 , station = 90",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
AC0167,"row =  6.25 , station = 45",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
CJ0020,Maize/Common Bean,Plant.Method,P.Level.Name,Duplicate value in unique field.,TRUE,Jabesh,
CJ0020,Maize/Common Bean,Plant.Out,P.Level.Name,Duplicate value in unique field.,TRUE,Jabesh,
CJ0037,"row =  75 , station = 100",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
CJ0037,"row =  75 , station = 133",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
CJ0037,"row =  75 , station = 80",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
CJ0037,"row =  75 , station = 90",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
CJ0116,Legume,Plant.Out,P.Level.Name,Duplicate value in unique field.,TRUE,Jabesh,
CJ0125,"row =  75 , station = 80",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
DM0008,"row =  90 , station = 150",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
DM0018,"row =  20 , station = 30",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
HK0002,"row =  75 , station = 80",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
HK0306.1,plants/ha,Plant.Method,Plant.Density,Non-numeric value in numeric field.,TRUE,Jabesh,
HK0306.2,plants/ha,Plant.Method,Plant.Density,Non-numeric value in numeric field.,TRUE,Jabesh,
JO0026,"row =  30 , station = 40",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,Ill-described in the text. It is likely correct.
JO0164,"row =  40 , station = 50",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
JS0041,"row =  40 , station = 80",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
JS0052,"row =  100 , station = 500",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
JS0204,"row =  200 , station = 300",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
JS0216,sorghum,Plant.Method,P.Level.Name,Duplicate value in unique field.,TRUE,Jabesh,
JS0411,"row =  250 , station = 300",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
LM0168,"row =  200 , station = 300",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
LM0171,"row =  200 , station = 300",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
LM0173,"row =  40 , station = 50",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
LM0213,"row =  30 , station = 100",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
LM0276,"row =  30 , station = 100",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
LM0279,"row =  30 , station = 100",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
NM0120,"row =  200 , station = 300",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,,
NN0090,"row =  300 , station = 600",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
NN0466,"row =  30 , station = 50",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,This correct
NN0479,"row =  25 , station = 50",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,Stated this way in the paper
NN0537,"row =  45 , station = 50",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Jabesh,
SP0020,"row =  400 , station = 600",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,Ill-described in the text. It is likely correct.
