animal,breed
Cattle,Ankole
Cattle,Ethiopian Boran
Cattle,Kamba
Cattle,Lobi
Cattle,Red Fulani
Cattle,N'Dama
Cattle,Gudali
Cattle,Mursi
Cattle,White Fulani
Cattle,Nganda
Cattle,Improved Boran
Cattle,Turkana
Cattle,Orma Boran
Cattle,Brown Atlas
Cattle,Tuli
Cattle,Nguni
Cattle,Mashona
Cattle,Fogera
Cattle,Sheko
Cattle,Africander
Cattle,Kuri
Cattle,Lagune
Cattle,Sanga
Cattle,Somali Boran
Cattle,Sahiwal
Cattle,Somba
Cattle,Borgou
Cattle,Butana
Cattle,Mere
Cattle,Arsi
Cattle,Murle
Cattle,Karamajong
Cattle,Bagara
Cattle,Barka
Cattle,Saidi
Cattle,Baladi
Cattle,Ghana sanga
Cattle,Basuto
Cattle,Beteku
Cattle,Biu
Cattle,Mateba
Cattle,Rana
Cattle,Pedi
Cattle,Barotse
Cattle,Anuak
Cattle,Bashi
Cattle,Ogaden Zebu
Cattle,Nandi Zebu
Cattle,Singida White
Cattle,Duruma
Cattle,Hammer
Cattle,Giriama
Cattle,Mkalama Dun
Cattle,Ambo
Cattle,Madagascar Zebu
Cattle,Lugware
Cattle,Kyoga
Cattle,Zanzibar Zebu
Cattle,Gasara
Cattle,Pare
Cattle,Mongalla
Cattle,Serere
Cattle,Jem-Jem
Cattle,Taita/Taveta
Cattle,Kyoga
Cattle,Jijiga
Cattle,Azaouak
Cattle,Maure
Cattle,Gobra
Cattle,Shuwa
Cattle,Fellata (Bororo)
Cattle,Sokoto
Cattle,Sukuma
Cattle,Bovines of Tete
Cattle,Horro
Cattle,Arado
Cattle,Jiddu or Tuni
Cattle,Tarentaise
Cattle,Logone
Cattle,Doayo
Cattle,Bakosi
Cattle,Logone
Cattle,Baoule
Cattle,Bakweri
Cattle,Damietta
Cattle,Toposa
Cattle,Barra do Cuanzo
Cattle,Aweil Dinka
Cattle,Raya-Azebo
Cattle,Wakwa
Cattle,Ovambo
Cattle,Landim
Cattle,Bahima
Cattle,Caprivi Sanga
Cattle,Tswana
Cattle,Djakore
Cattle,Okavango
Cattle,Aliab Dinka
Cattle,Danakil
Cattle,Bale
Cattle,Afar
Goat,West African Dwarf
Goat,Nigerian Dwarf goat
Goat,Djallonké
Goat,Fouta Jallon
Goat,Grassland Dwarf
Goat,Chèvre Naine
Goat,Chèvre Naine des Savanes
Goat,Forest Goat
Goat,Pygmy
Goat,Saanen goat
Goat,Somali goat
Goat,Toggenburger
Goat,Alpine goat
Goat,Anglo-Nubian goat
Goat,Boer goat
Goat,Kalahari Red
Goat,Saanen goat
Goat,Angora goat
Goat,Anglo-Nubian goat
Goat,British Alpine
Goat,Zaghawa
Goat,Nubian
Goat,Sudanese Hill Goat
Goat,Burundian goat
Goat,Mubende Goats
Goat,Galla Goats
Goat,D'man
Goat,Sidaoun
Goat,Mahali
Goat,Damascus
Goat,Morcia Granada
Goat,Ossimi
Goat,Draa goat
Goat,Arbi
Goat,Kirdimi
Goat,Kasai goat
Sheep,Simien
Sheep,Washera
Sheep,Gumuz
Sheep,Horro
Sheep,Arsi
Sheep,Bonga
Sheep,Afar BHS
Sheep,Small East Africa (ram ewe)
Sheep,Blackhead Persian
Sheep,Red Maasai
Sheep,Dorper
Sheep,Corriedale
Sheep,Hampshire Down
Sheep,Romney Marsh
Sheep,Merino
Sheep,Gogo
Sheep,Afrikaner
Sheep,Afrino
Sheep,Dohne merino
Sheep,Meatmaster
Sheep,Somali
Sheep,Balami
Sheep,Uda
Sheep,West African Dwarf
Sheep,Yankasa
Sheep,Cameroon Dwarf
Sheep,Djallonké
Sheep,Sahelien
Sheep,Macina
Sheep,Maure Black Maure
Sheep,Fulani
Sheep,Toronke
Sheep,Mossi
Sheep,Baffour-Awuah
Sheep,Bali-bali
Sheep,Ladoum
Sheep,Vogan
Sheep,Rahmani
Sheep,Delta
Sheep,Ossimi
Sheep,Barki
Sheep,Saidi
Sheep,Sarda
Sheep,Sardi
Sheep,American Tunis
Sheep,Tunisian Barbarin
Sheep,Noir de Thibar
Sheep,Algerian Arab
Sheep,Terguia-Sidaou
Sheep,Barbary
Sheep,Touareg
Sheep,Karakul
Sheep,Mondombes
Sheep,Angola Long-legged Zunu
Sheep,Van Rooy
Sheep,Damara
Sheep,Tswana
Sheep,Wiltiper
Sheep,Dane Zaila
Sheep,Dongola
Sheep,Ingessana
Sheep,Gaddi
