title,doi,url,eISSN,keywords,abstract,Notes
"Comparative Study of Intake, Apparent Digestibility and Energy and Nitrogen Uses in Sahelian and Majorera Dairy Goats Fed Hay of Vigna unguiculata",https://doi.org/10.3390/ani10050861,,, metabolism; digestibility; energy; nitrogen; breed; goat; Vigna unguiculata; variety 58/74,"This study aimed to compare digestive and metabolic characteristics in Sahelian (S) and Majorera (M) goat breeds. Six lactating females from each breed, with an average weight 27.0 ± 1.93 and 23.7 ± 1.27 kg, respectively, were used. Cowpea hay, variety 58/74, was offered as sole feed ingredient, at a rate of 2 kg of fresh matter per animal per day. The animals were placed in metabolic cages and a digestibility test was conducted according to an adaptation period of 15 days and a collection period of 7 days. The daily chemical components offered and refused and recovered faeces, urine and milk were measured in order to assess energy and nitrogen utilization. The M and S goats had similar levels of dry matter (DM) intake as well as nutrient digestibility. On a metabolic weight basis, dry matter intake, gross energy intake, metabolizable and energy intake, digestible energy and energy lost as methane production were significantly higher (p < 0.01) in M than in S goats. Urinary energy excretion was similar (p = 0.9) between breeds, while faecal energy output was higher in M than in S goats. The milk energy output from the M goats was higher than that the S goats (p < 0.05). However, metabolizable to net energy conversion efficiency (klm) was not affected by breed (p = 0.37), while N intake, milk N yield and faecal N losses, relative to metabolic weight, were significantly higher (p < 0.05) in M than in S goats. Similarly, the percentage of dietary N intake excreted in urine (UNIN) was higher in S than in M breeds. The breed factor had no effect on N retained, N digestibility, urinary N and N use efficiency. In conclusion, the M and S goats were similar in terms of energy and nitrogen use efficiency, despite higher daily milk production and DM consumption in the M goat. This suggests that the M breed is possibly more dependent on a dense nutrition diet than the S breed but requires less maintenance nitrogen.",
Development of feeding systems and strategies of supplementation to enhance rumen fermentation and ruminant production in the tropics,https://doi.org/10.1186/2049-1891-4-32,,,Feed resources;Feeding system;Methane;Plant secondary compounds;Ruminants,"The availability of local feed resources in various seasons can contribute as essential sources of carbohydrate and protein which significantly impact rumen fermentation and the subsequent productivity of the ruminant. Recent developments, based on enriching protein in cassava chips, have yielded yeast fermented cassava chip protein (YEFECAP) providing up to 47.5% crude protein (CP), which can be used to replace soybean meal. The use of fodder trees has been developed through the process of pelleting; Leucaena leucocephala leaf pellets (LLP), mulberry leaf pellets (MUP) and mangosteen peel and/or garlic pellets, can be used as good sources of protein to supplement ruminant feeding. Apart from producing volatile fatty acids and microbial proteins, greenhouse gases such as methane are also produced in the rumen. Several methods have been used to reduce rumen methane. However, among many approaches, nutritional manipulation using feed formulation and feeding management, especially the use of plant extracts or plants containing secondary compounds (condensed tannins and saponins) and plant oils, has been reported. This approach could help todecrease rumen protozoa and methanogens and thus mitigate the production of methane. At present, more research concerning this burning issue - the role of livestock in global warming - warrants undertaking further research with regard to economic viability and practical feasibility.",
Dry Matter Intake and Milk Yield of Lactating West African Dwarf Ewes Fed RES-Based Diets,https://doi.org/10.24940/theijst/2020/v8/i3/ST1912-006,,,"Rumen epithelial scrapings, groundnut cake, replacement, diet, lactation","Twelve WAD ewes weighing 18.50±4.00kg were blocked by weight into three groups of four animals each in a randomized complete block design. They were kept in individual pens and fed formulated diets as supplement to a basal grass (Panicum maximum), together with fresh water ad-libitum daily. All experimental ewes were given prostaglandin F2Î± for synchronization of oestrus and served with herd ram as soon as signs of heat were detected. Milk samples were collected on days 1 – 5 (colostrums) and from week 2 to week 13. Milk samples were collected and stored without preservative in a freezing cabinet until required for analyses. Parameters measured and recorded were: Dry matter intake, Intake performance, Weight changes, Milk yield, Estimated weekly yield and milk yield per stage of lactation.

Treatment effects on DMI (g/BWkg0.75/day) in late lactation (88.77, 90.58 and 99.10 for ewes on treatment A, B and C respectively) were significant (p<0.05). Mean milk yield (kg) for the entire lactation period of 13 weeks (29.60±1.70, 34.50±4.70 and 41.60±10.90 for ewes on treatment A, B and C respectively) did not show a significant treatment effect. Colostrums were characterized by higher values in their contents of milk protein, energy and butter fat than mature milk. There were positive correlations (p<0.05) between total solids with milk energy (r=0.82, 0.95 and 0.88 for diets A, B and C respectively) and milk proteins with butterfat (r=0.44, 0.67 and 0.63 for diets A, B and C respectively) for ewes fed all diets.Variations observed for the efficiency of energy utilization for milk production (%) (20.88±0.46, 19.01±1.92 and 23.51±4.98) and efficiency of protein utilization for milk production (%) (17.48±0.27, 17.77±2.08 and 19.82±4.70) for animals on treatments A, B and C, were not significant.

RES incorporation in the diets of sheep supported pregnancy and lactation without any obvious adverse effect. Therefore, RES could suitably replace such expensive conventional feedstuff like GNC in the diets of WAd sheep and its use as livestock feedstuff will reduce health hazard and stench associated with it as an environmental pollutant.",
"Effect of dietary nitrate on enteric methane emissions, production performance and rumen fermentation of dairy cows grazing kikuyu-dominant pasture during summer",https://doi.org/10.1016/j.anifeedsci.2018.08.005,,,Electron receptor;Kikuyu;Methane mitigation;SF6,"Dietary nitrate supplementation is an effective methane (CH4) mitigation strategy in total mixed ration based diets fed to ruminants. To date, limited information is available on the effect of dietary nitrate on CH4 production from grazing dairy cows. Fifty-four multiparous Jersey cows were subjected to a randomised complete block design (blocked according to milk yield, days in milk and parity) to evaluate the effect of three dietary nitrate levels on enteric CH4 emissions and cow production performance. Additionally, six rumen-cannulated cows in a replicated 3 × 3 Latin square design were used in a rumen study. Dietary treatments consisted of concentrate fed at 5.4 kg of DM/cow per day containing one of three levels of dietary nitrate: 0 g (control), 11 g (low nitrate), and 23 g of nitrate/kg of dry matter (DM; high nitrate). Cows grazed late-summer pasture containing approximately 3 g of nitrate/kg of DM. Concentrates were formulated to be isonitrogenous, by substituting urea, and isoenergetic. Cows were gradually adapted to concentrates over a 3-wk period before the onset of a 57-d experimental period. Enteric CH4 emissions and total dry matter intake (DMI) from 11 cows per treatment were measured during one 6-d measurement period using the sulphur hexafluoride tracer gas technique. Individual pasture DMI was determined using TiO2 and indigestible neutral detergent fibre (NDF). Milk yield decreased by approximately 12% when feeding the high nitrate diet compared with the control and low nitrate diets. Although total DMI was unaffected by treatment, concentrate DMI decreased linearly (5.5–3.7 kg/d) while pasture DMI increased linearly (9.1–11.4 kg/d) with increasing dietary nitrate addition. Methane production (313–280 g/d), CH4 yield (21.8–18.7 g/kg of DMI) and CH4 energy per gross energy intake (6.9–5.9%) tended to decrease linearly with increasing dietary nitrate addition. Diurnal ruminal pH of the high nitrate group was greater, for selective periods after concentrate feeding, than the control and low nitrate groups. Spot sample ruminal pH (6.2–6.3) tended to increase while total volatile fatty acid (VFA) concentration (99.9–104 mM/L) increased quadratically with increasing dietary nitrate addition. Individual VFA concentrations were unaffected by treatment. Rate of NDF disappearance (2.4–2.8%/h) after 18 h of ruminal incubation tended to increase quadratically with increasing dietary nitrate addition. Dietary nitrate fed to grazing dairy cows tended to decrease CH4 emissions while improving the fibrolytic environment of the rumen. However, when feeding high levels of dietary nitrate a decrease in milk yield could be expected due to a decrease in concentrate DMI.
",
"Effect of dried Sesbania sesban leaves supplementation on milk yield, feed intake, and digestibility of Holstein Friesian X Zebu (Arado) crossbred dairy cows",https://doi.org/10.1007/s11250-018-1779-0 ,,,Digestibility;Milk yield;Nutrient intake;Sesbania sesban,"This experiment was conducted to investigate effect of dried Sesbania sesban leaves supplementation on milk yield, feed intake and digestibility of Holstein Frisian X Zebu (Arado) crossbred dairy cows. Twelve cows at midlactation (155.83 ± 4.49 days of lactation), second parity, and 442.21 ± 3.40 kg average live body weight were randomly assigned to one of four dietary treatments according to a randomized complete block design. Cows were blocked according to their daily milk yield into three blocks of four animals each. Cows were fed a basal diet (control) or a basal diet supplemented with 1.25 kg/day dried Sesbania sesban leaves, 2 kg/day dried Sesbania sesban leaves and 2.75 kg/day dried Sesbania sesban leaves on a dry matter basis for 8 weeks. Total dry matter intake, nutrient intake, milk yield, dry matter digestibility, and nutrient digestibility showed significant variation among treatments. Cows supplemented with the highest level of Sesbania sesban (2.75 kg/day) had higher total dry matter and nutrient intake. Similarly, cows supplemented with 2 and 2.75 kg/day had higher milk yield than the nonsupplemented cows (up to 11.3 and 16.2%, respectively). Digestibility was lower for the nonsupplemented cows compared to cows supplemented with 2 and 2.75 kg/day dried Sesbania sesban leaves but statistically similar to the cows supplemented with 1.25 kg/day dried Sesbania sesban leaves. Supplementation with 2.75 kg/day Sesbania sesban resulted in higher organic matter digestibility (OMD) compared to the control. Crude protein digestibility (CPD), neutral detergent fiber digestibility (NDFD), and acid detergent fiber digestibility (ADFD) were significantly affected by Sesbania sesban supplementation. The nonsupplemented cows had lower CPD, NDFD, and ADFD. These results indicate that dried Sesbania sesban leaves supplementation to dairy increases total DM intake, digestibility, and milk yield.",
Effect of pelleting crop residues on feed intake and digestibility in Djallonke sheep in North-sudanian zone of Burkina Faso,https://doi.org/10.30574/gscarr.2023.16.3.0353,,,Crop residues; Dual purpose sorghum; Dual purpose cowpea; Pellets; Sheep,"The effect of pelleting fodder on voluntary feed intake and digestibility in sheep was tested with sorghum straw and cowpea haulm in two forms (chopped and granulated). Twenty-four (24) sheep, of 18 to 24 months old, Djallonké breed were divided into 4 groups of 6 sheep following a random complete block device with four (04) treatments as follows: R1= 50% chopped sorghum straw + 50% chopped cowpea haulms, R2 = Granulated feed 1 (50% sorghum straw + 50% cowpea haulms), R3 = 50% chopped sorghum straw + 50% maize bran and R4 = Granulated feed 2 (50% chopped sorghum straw + 50% maize bran). Six (6) sheep per group underwent the intake trial, then consecutively five (5) sheep per group were retained and housed in digestibility cages for the digestibility test.
The voluntary intake of dry matter varied from 417.5 g/d for ration 3 to 600.5 g/d for ration 2. In terms of nutrient intake, ration 1 (75. 26g) records the highest intake of crude protein, followed by ration 2 (70.15g). There is no difference in voluntary intake within rations with forage chopped (R1 and R3) and pellet rations (R2 and R4). The digestibilities of DM and OM are lower with R2, followed by R4; on the other hand, R1 and R3 showed the best levels of digestibility. The crude protein digestibility value is higher for R1 than for the others. The grounding and pelleting of forage did not improve the intake and digestibility of the rations. Additional studies are needed, especially on the size of ground feed, in order to better elucidate the nutritional value of pelleted fodder.",
"Effect of seasonality of feed resources on dairy cattle production in coastal lowlands of Kenya (Doctoral dissertation, University of Nairobi)",NA,http://hdl.handle.net/11295/90790,,NA," In the Coastal Lowlands of Kenya, small-scale integrated crop-livestock system is the dominant form of agricultural production. Feed quantity and quality are inadequate and rarely meets the nutrient demands of lactating cows especially, in the dry seasons. The objective of this study was to determine the effect of seasonality on availability and quality of feed resources on dairy cattle productivity in Coastal Lowlands of Kenya. A cross-sectional survey was conducted in Kwale and Kilifi counties on a random sample of 415 dairy cattle farms followed by a longitudinal survey on a purposive sample of 32 farms from the cross-sectional sample over a period of 12 months. Data from the cross-sectional survey was analyzed for descriptive statistics. Two-Step cluster analysis was used to classify small-scale farmers using variables selected apriori and identified four distinct clusters. The validity and stability of the 4-clusters solution was tested by splitting the sample into two sub-samples according to counties and cluster analyzed separately using the variables selected apriori. Discriminant analysis was done using demographic and socio-economic variables not previously considered in the cluster procedure in order to ascertain the profile of each cluster. The mean herd size was 3.9 of which 30.7% were lactating cows. The mean milk yield/cow/day was 5.7 litres with 44% of farms producing < 5 litres/cow/day. The mean land size was 5.3 acres with 68.4% of households’ having < 6 acres. For the whole sample, 30.4, 28.8, 20.6 and 20.2% of the households were classified into clusters 1, 2, 3 and 4 respectively. Each cluster had unique characteristics which would help define research and development policy priorities based on resource base, opportunities and constraints. xviii The mean CP and NDF of pasture grasses ranged from 84.1 - 97.1 and 603.8 - 724.8 g/kg DM respectively. Leucaena leucocephala had the highest CP of 270.8 g/kg DM. Asystacia gangetica and Commelina benghalensis had a CP content of 131.8 and 162.7 g/kg DM respectively. Napier grass had a CP of 86.4 g/kg DM. Maize stover and green maize forage had CP of 72.2 and 112.8 g/kg DM respectively. The mean CP of maize germ and maize bran was 104.4 and 129.3 g/kg DM with 33.5% and 24.6% utilization respectively. A. gangetica, C. benghalensis, L. leucocephala and maize forage had higher in vitro DM digestibility (IVDMD) (> 50%) compared to maize stover, pastures grasses and napier grass. Pastures grasses IVDMD ranged from 40.3 - 44.7%. In situ rumen DM and CP disappearances were measured at 0, 6, 12, 24, 36, 48 and 72 hours of incubation using mobile nylon bag technique. The CP disappearance ranged from 16.81 - 23.54%, 9.91 -17.96%, 20.02%, 9.56%, 13.95% and 20.99% at zero time and 50.64 - 58.47%, 39.11 - 49.46%, 45.78%, 33.49%, 40.25% and 55.22% at 48 hours for weeds, pasture grasses napier grass, maize stover, green maize forage and L. leucocephala respectively. The potential degradability of DM ranged from 60.22 - 72.99% for weeds, 45.52 - 65.8% for pastures, 54.73% for maize stover, 82.24% for green maize forage, 64.16% for napier grass to 74.44% for L. leucocephala. Effective degradability (ED) of DM and CP decreased with increase in outflow rates of 2, 5 and 8% and differed significantly (P < 0.05) between roughages. The ED of DM ranged from 18.68 - 30.13% and 35.48 - 49.23% at outflow rates of k=8 and k=2 for P. maximum and L. leucocephala respectively. At the same outflow rates, the ED of CP ranged from 20.6 - 29.2% and 36.6 - 51.2% for the two. xix Pastures grasses occupied 56.4% (414.5 ha) of land and contributed 55.2% of feed resource. Maize occupied 63.5% of cultivated land and yielded 430.1 mt DM/year of maize stover while napier grass occupied 29.3% and contributed 15.1% of basal feed resource. The estimated annual on-farm feed production and animal requirements was 3,865 and 5,004 mt DM respectively. The annual on-farm feed DM production met cattle requirements during April-June season only. The mean animal live weight change (MLWC) ranged from 168 to 268 g/day for season III (January-March) and season IV (April - June) respectively. The average milk production (AMP) ranged from 4.7 - 5.6 litres/cow/day for season III and season I respectively. Pooling all available feed resources for 12 months through appropriate storage and carry-over between seasons decreased MLWC from 268 to 257 g/day in season IV but increased from 264 to 274, 261 to 278 and 168 to 187 g/day in seasons I, II and III respectively. The AMP followed the same trend as MLWC, decreasing in season IV and increasing in seasons I, II and III. This showed that dairy cattle obtained enough nutrients only in season IV. In conclusion, the crop-livestock production systems in study area were classified into four distinct clusters with distinct production characteristics. Productivity was low within all the clusters and was attributed to poor quality cows and inadequate forage whose availability was seasonal. The available forages were of moderate quality with average to high rumen degradability. There was a deficit in DM availability during the dry season which could be remedied through conserving excess feed during the wet season. These results could be used to develop an integrated forage production and livestock nutrition management plan to provide sufficient year-round feed supply based on animal requirements and supplementation strategies. xx",Thesis
"Effects of dietary supplementation with different concentration of molasses on growth performance, blood metabolites and rumen fermentation indices of Nubian goats",https://doi.org/10.1186/s12917-020-02636-5,,,Blood metabolites;Goat kids; Growth performance;Molasses;Rumen fermentation,"Molasses is a potential energy supplement; extensively used to improve growth performance, milk and meat characteristics in goats at relatively low concentrations of 5–40% of the diet. Few data are available concerning feeding molasses to goat kids; therefore, the current study aimed to investigate the effects of dietary supplementation with higher concentrations of molasses on growth performance, blood metabolites and rumen fermentation indices. Twenty male Nubian goat kids (4–6 months old; 9–10 kg BW) were randomly assigned to 4 groups receiving different concentration of molasses: 0% (M-0), 30% (M-30), 40% (M-40) and 45% (M-45) for 5 weeks. Feed (DFI) and water intake (DWI) were measured daily, while the blood and rumen liquor samples were collected weekly.",
Effects of feeding Lantana camara leaf hay on animal performance and health in small east Africa goat breeds,http://dx.doi.org/10.56369/tsaes.3769,,,digestibility; Lantana camara leaf meal; protein supplement; allantoin,"Background: Lantana camara is listed as one of the worst invasive species worldwide and is considered poisonous to livestock. However, in invaded Zimbabwean rangelands, voluntary intake by domestic livestock especially goats of this shrub is common, yet, little is understood about the effect of this browse on animal performance. Objectives: To assess the effects of feeding graded levels of  L. camara (LC) leafy hay on the performance, digestibility, nitrogen balance and microbial protein synthesis in Small East Africa Goat Breeds. Methodology: Eighteen, six to ten months old castrated goats with a mean± (SD) weight of 13.6±4.9 kg were randomly assigned to the six treatment diets in a completely randomised design. Each goat was housed separately in a metabolism cage for the entire experimental period of 21 days.  Lantana camara  leaf hay was incorporated in goat feed as a protein source at 5%, 10%, 15%, 20%, and 25% inclusion levels.  Commercially bought, goat feed was used as the sixth and control treatment diet. Veld hay was used as a basal diet and water were offered ad-libitum. Results: The average daily dry matter intake was above the minimum recommended of 3% of the animal’s metabolic body weight (kg0.75). Goats fed on 10%LC consumed significantly lower quantities of hay than 5%LC but were not significantly different from goat feed (GF), 15%LC, 20%LC and 25%LC. Apparent digestibility coefficient values ranged from 62% to 71%. Higher nitrogen intakes was observed with diets that were highly palatable such as commercial goat feed and 5% L. camara. Higher microbial protein supply was observed in groups fed diets with high levels of L. camara. Implications: The use of invasive L. camara biomass as a source of goat feed at 5% inclusion is a promising method to control its spread in while addressing the nitrogen deficiencies experienced by livestock that subsist on poor quality feeds in invaded rangelands. Conclusion: Supplementing goats with L. camara leafy hay improves dry matter feed intake and degradability. Contrary to expectations, no negative effects were observed with L. camara leafy meal inclusion in goats diets at 5 to 25 percent inclusion level.",
Effects of moringa and bamboo leaves on groundnut hay utilization by West African Dwarf goats,NA,http://www.lrrd.org/lrrd22/1/asao22012.htm,,"Digestibility, intake, mineral composition, nitrogen balance, nutrients, substitution","The intake, nitrogen utilization, and in vivo nutrient digestibility of Moringa (MOR) and bamboo (BAM) leaves in equal combinations respectively with groundnut hay (50MOR:50GNH; 50BAM:50GNH), with a sole groundnut hay diet (100GNH) as the reference diet, were monitored in 18 West African Dwarf (WAD) goats (9 male and 9 female) with a mean body weight of 9.4 ±0.8 kg, using a randomized complete block design.
No significant (P>0.05) differences were observed in total DM intake values which ranged from  291 to 315 and 316g DM/animal/day, corresponding to 54.6, 59.6 and 59.6 g/kg0.75  for the animals on 100GNH, 50BAM:50GNH and 50MOR:50GNH, respectively. BAM leaf substitution however sinificantly (P<0.05) decreased DM digestibility while a marginal increase was observed with MOR substitution. Both substitutions were observed to significantly (P<0.05) increase CP intake from 39.3 to 44.4 and 56.8 g/d for BAM and MOR substitutions, respectively. MOR substitution significantly (P<0.05) increased diet CP digestibility from 49.9 to 60.2% while BAM substitution marginally increased it to 51.7%. NDF intake was significantly decreased from 131 to 114g/d with MOR leaf substitution while BAM substitution significantly (P<0.05) increased it to 178g/d. A significant (P<0.05) increase in ADF intake was observed with BAM substitution while MOR substitution led to a marginal decrease. A significant (P<0.05) increase in total digestible nutrients was significantly increased from 50.4% to 52.2% with MOR leaf substitution of GNH but a significant (P<0.05) decrease to 46.8% was observed with BAM leaf substitution. All the animals had a positive nitrogen balance with values ranging from 0.71 to 1.50 g/d, which did not differ significantly. Nitrogen retention values as percentages of nitrogen intakes were however significantly (P<0.05) higher for 50MOR:50GNH and 50BAM:50GNH relative to 100GNH. 
The results of this study have shown that GNH as a sole diet can meet the maintenance requirements of WAD goats for nitrogen. However, feeding it along with MOR leaves in the same ratio will significantly improve nitrogen intake and retention, as well as total digestible nutrients. BAM substitution in its own case can only marginally improve nitrogen intake, even though it will exert a significantly positive impact on nitrogen retention. However, it will significantly decrease the total digestible nutrients.",
