B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0017,pit,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
AC0036,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
AC0089,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
AC0093,basin,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
AC0108,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
AC0138,LT,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
,Planting Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
AC0170,Zai pits,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
CJ0029,PB,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
CJ0077,RT,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,I transferred to a new excel
CJ0088,TR,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
CJ0093,S,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
CJ0096,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
CJ0116,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
CJ0166,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
CJ0187,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
CJ0188,120n_60pk,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
CJ0188,60n,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
CJ0188,B,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
DM0004,Grass strips,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
DM0025,CT,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
HK0161.2,Zaria,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
HK0209,Maize,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
HK0261,Maize,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
HK0268,TR,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
JO0007,TR,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
JO0015.2,CA- Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
JO0015.2,Conv-Ridges and Furrows,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
JO0021,Coffee-Ridge-Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
JO0025,PPB,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
JO0048,RFMB,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
JO0048,RFMG,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
JO0048,RFMT,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,
