B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
BO1054,Cotton Seed Cake; Poultry Litter; Rice Offal; Maize Offal; Salt --- Palm Kernel Cake; Cotton Seed Cake; Poultry Litter; Rice Offal; Maize Offal; Salt --- Cotton Seed Cake; Poultry Litter; Rice Offal; Maize Offal; Salt; Digitaria smutsii||Drying --- Palm Kernel Cake; Cotton Seed Cake; Poultry Litter; Rice Offal; Maize Offal; Salt;Digitaria smutsii||Drying,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1056,Sulphur;Bone||Grinding;Salt;Minerals and Vitamins Premix;Wheat Offal;Rice Husk;Palm Kernel Cake;Balanite eagyptiaca leaf||Grinding --- Sulphur;Bone||Grinding;Salt;Minerals and Vitamins Premix;Cassava Peel; Drying;Groundnut Haulm||Ensilation,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1058,Maize Offal;Mango Seed Kernel; Chopping;Hammer Milling; Drying --- Rice Straw;Maize Offal;Mango Seed Kernel||Chopping||Hammer Milling||Drying,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1062,Maize;Maize Offal;Soybean Cake;Groundnut Cake;Moringa oleifera Leaf||Hammer Milling||Drying;Fish||Grinding;Salt;Limestone;Bone||Grinding;Lysine;Methionine;Minerals and Vitamins Premix;Enzyme --- Maize;Maize Offal;Soybean Cake;Groundnut Cake;Fish||Grinding;Salt;Limestone;Bone||Grinding;Lysine;Methionine;Minerals and Vitamins Premix;Enzyme,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1073,Guinea Grass;Wheat Offal;Brewers Grain||Drying;Calcium Phosphate;Salt;Vitamins;Sorghum Straw||Crushing||Fermentation||Drying;Groundnut Hull||Crushing||Drying --- Guinea Grass;Wheat Offal;Brewers Grain||Drying;Calcium Phosphate;Salt;Vitamins;Sorghum Straw||Crushing||Fermentation||Drying;Groundnut Hull||Crushing||Drying;Garcinia kola seed||Chopping;Milling||Drying,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1081,Natural Pasture||Chopping||Drying;Wheat Bran;Brewers Grain||Fresh,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1082,Noug Cake;Wheat Bran;Wheat Middling;Salt --- Wheat Straw||Chopping;Noug Cake;Wheat Bran;Wheat Middling;Salt --- Wheat Straw||Chopping||Effective Microbes;Noug Cake;Wheat Bran;Wheat Middling;Salt,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1083,Bamboo Leaves||Chopping; Urea-Molasses treatment||Ensilation||Drying;Concentrate,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1084,Cotton Seed Cake;Soybean||Grinding;Distillers Grains||Drying;Corn||yellow;Wheat Bran;Rice Bran;Molasses;Limestone;Salt --- Cotton Seed Cake;Corn|yellow;Wheat Bran;Rice Bran;Molasses;Protected Fat;Limestone;Salt --- Soybean||Grinding;Corn||yellow;Wheat Bran;Rice Bran;Molasses;Limestone;Salt --- Distillers Grains||Drying;Corn||yellow;Wheat Bran;Rice Bran;Molasses;Limestone;Salt --- Cotton Seed Cake;Soybean||Grinding;Distillers Grains||Drying;Corn||yellow;Wheat Bran;Rice Bran;Molasses;Limestone;Salt;Berseem Clover||Drying;Rice Straw --- Cotton Seed Cake;Corn||yellow;Wheat Bran;Rice Bran;Molasses;Protected Fat;Limestone;Salt;Berseem Clover||Drying;Rice Straw --- Soybean||Grinding;Corn||yellow;Wheat Bran;Rice Bran;Molasses;Limestone;Salt;Berseem Clover||Drying;Rice Straw --- Distillers Grains||Drying;Corn||yellow;Wheat Bran;Rice Bran;Molasses;Limestone;Salt;Berseem Clover||Drying;Rice Straw --- Cotton Seed Cake;Corn||yellow;Wheat Bran;Rice Bran;Molasses;Protected Fat;Limestone;Salt,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1089,Rice Straw||Chopping||Drying||NERICA 3;Molasses;Arthrospir platensis||Grinding --- Rice Straw||Chopping; Drying||NERICA 3;Molasses;Arthrospir platensis||Grinding,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1090,Wheat Straw||Chopping;Noug Cake;Rice Bran --- Wheat Straw||Chopping;Noug Cake;Lentil screening;Rice Bran --- Wheat Straw||Chopping;Lentil screening;Rice Bran,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1091,Wheat Bran;Corn||yellow;Soybean||Grinding;Limestone;Salt;Minerals and Vitamins Mix --- Soybean Straw||Drying;Wheat Bran;Corn||yellow;Soybean||Grinding;Limestone;Salt;Minerals and Vitamins Mix --- Soybean Straw||Urea+molasses treatment||Drying;Wheat Bran;Corn||yellow;Soybean||Grinding;Limestone;Salt;Minerals and Vitamins Mix --- Soybean Straw||Urea+molasses+baker's yeast treated||Drying;Wheat Bran;Corn||yellow;Soybean||Grinding;Limestone;Salt;Minerals and Vitamins Mix,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
EM1092,Tridax procumbens;Maize;Soybean||Grinding;Wheat Offal;Palm Kernel Cake;Minerals and Vitamins Premix;Methionine;L-Lysine;Salt;Dicalcium Phosphate --- Tridax procumbens;Jackfruit seed||Milling; Drying;Soybean||Grinding;Wheat Offal;Palm Kernel Cake;Minerals and Vitamins Premix;Methionine;L-Lysine;Salt;Dicalcium Phosphate --- Tridax procumbens;Jackfruit seed||Milling||Fermentation||Drying||Plain water fermented;Soybean||Grinding;Wheat Offal;Palm Kernel Cake;Minerals and Vitamins Premix;Methionine;L-Lysine;Salt;Dicalcium Phosphate --- Tridax procumbens;Jackfruit seed||Milling||Fermentation||Drying||maize-cob ash fermeted;Soybean||Grinding;Wheat Offal;Palm Kernel Cake;Minerals and Vitamins Premix;Methionine;L-Lysine;Salt;Dicalcium Phosphate --- Tridax procumbens;Jackfruit seed||Milling; Fermentation||Drying||Rumen digesta filtrate fermented;Soybean||Grinding;Wheat Offal;Palm Kernel Cake;Minerals and Vitamins Premix;Methionine;L-Lysine;Salt;Dicalcium Phosphate,Data.Out (Enter Data),ED.Intake.Item,No entire diets reported and grouped intake items of 3 or more values. Check to see if group is entire diet.,FALSE,"",""
