B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
0, Ensilation --- concentrate --- Corn,Data.Out (EnterData),ED.Intake.Item (multiple items split by ---),No match to Ingredients tab D.Item x Processes (D.ItemxProcess),FALSE,"",""
BO1001,Rice Straw||Chopping||Urea Treatmeant||Ensilation,Data.Out (EnterData),ED.Intake.Item (multiple items split by ---),No match to Ingredients tab D.Item x Processes (D.ItemxProcess),FALSE,"",""
BO1008, Pennisetum glaucum --- Antriplex nummularia --- Concentrate feed nixture,Animal.Diet.Comp (Nutrition),D.Item (multiple items shown by ---),No match to Ingredients tab D.Item x Processes (D.ItemxProcess),FALSE,"",""
BO1008,Concentrate feed nixture,Data.Out (EnterData),ED.Intake.Item (multiple items split by ---),No match to Ingredients tab D.Item x Processes (D.ItemxProcess),FALSE,"",""
BO1011, Limestone ---  Maize Yellow ---  Molasses ---  Rice Bran ---  Salt ---  Urea ---  Wheat Bran --- Acacia saligna||Chopping||Drying --- Barley Grain||Sprouted --- Barley Straw||Drying,Animal.Diet.Comp (Nutrition),D.Item (multiple items shown by ---),No match to Ingredients tab D.Item x Processes (D.ItemxProcess),FALSE,"",""
BO1012,Concentrate Mix --- Leucaena leucocephala Leaves|| Chopping|| Drying --- Unspecified Grass|| Chopping|| Drying,Data.Out (EnterData),ED.Intake.Item (multiple items split by ---),No match to Ingredients tab D.Item x Processes (D.ItemxProcess),FALSE,"",""
BO1013, Maize ---  Noug Cake,Animal.Diet.Comp (Nutrition),D.Item (multiple items shown by ---),No match to Ingredients tab D.Item x Processes (D.ItemxProcess),FALSE,"",""
BO1014,Atriplex halimus --- Atriplex nummularia --- Berseem Straw|| Chopping|| Drying,Data.Out (EnterData),ED.Intake.Item (multiple items split by ---),No match to Ingredients tab D.Item x Processes (D.ItemxProcess),FALSE,"",""
BO1015,Concentrate Feed Mixture --- Sesbania sesban Seed|| Roasting,Data.Out (EnterData),ED.Intake.Item (multiple items split by ---),No match to Ingredients tab D.Item x Processes (D.ItemxProcess),FALSE,"",""
BO1017,B-T1,Data.Out (EnterData),ED.Intake.Item (multiple items split by ---),No match to Ingredients tab D.Item x Processes (D.ItemxProcess),FALSE,"",""
