D.ItemxProcess,D.Item.Root.Comp.Proc_Major,B.Code,table,issue,issue_addressed,addressed_by_whom,notes
Avatec,Avatec,JO1076,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Bamboo Leaves||Chopping||Urea Treatment||Molasses Treatment||Ensilation||Drying,Bamboo Leaves Dried Ensiled Urea Treatment||Urea Treated,EM1083,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Bambusa bambos||Chopping,Bambusa bambos,JO1090,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Bambusa tulda||Chopping,Bambusa tulda,JO1090,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Black Cumin Seed Cake||Crushing||Drying,Black Cumin Cake Crushed Dried,BO1032,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Calibrin-Z,Calibrin-Z,EM1101,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",Chemical ?
Cassava Peel||Crushing||Chopping,Cassava Peel Crushed,JO1087,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Cassava Peel||Crushing||Chopping||Fresh,Cassava Peel Crushed,JO1087,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Cassava Peel||Crushing||Chopping||Urea Treatment||Fresh,Cassava Peel Crushed|| Urea Treatment,JO1087,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Cassava Peel||Ensilation||Wilting||Drying,Cassava Peel Ensiled Wilted||Dried,EM1086,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Cassava Peel||Urea Treatment,Cassava Peel Urea Treatment,JO1087,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Cassava Peel||Wilting||Drying,Cassava Peel Wilted||Dried,EM1086,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
