value,B.Code,table,field,issue,issue_addressed,addressed_by_whom,notes
Urea Treatmeant,BO1001,Animal.Diet.Comp,D.Process.Chem,No match for this value in AOM process cols,TRUE,NJ,
crushed with a specially designed machine,BO1003,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Full fat soybean meal,BO1005,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
"Limestone flour, salt, di-calcium phosphate, sodium bicarbonate, and vitamin pre-mix",BO1005,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Common salt,BO1006,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
sodium chloride,BO1008,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
yellow corn,BO1008/BO1006,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Commercial protein supplement,BO1010,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
ground using a hammer mill fitted with a 30 mm sieve,BO1010,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
"ground using a hammer mill fitted with a 30 mm sieve, Unspecified",BO1010,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
A. saligna prunnings used as sprouting media for barley grains,BO1011,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,FALSE,NJ,Not in the gdrive
Sprouted barley grains on Acacia saligna prunnings,BO1011,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,FALSE,NJ,Not in the gdrive
Sprouted barley grains on barley straw,BO1011,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,FALSE,NJ,Not in the gdrive
sprouting media for barley grains,BO1011,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,FALSE,NJ,Not in the gdrive
Teff straw (Unspecified Eragrostis spp.),BO1013,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Infected with Haemonchus contortus,BO1016,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Sprayed on the Calliandra forage,BO1016,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
The air-dried Calliandra material used in this study was composed of secondary leaflets in the pinnae. (air-dried),BO1016,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
The leaves were air dried in batches to about 10% moisture before passing through a 10 mm hammer mill,BO1019,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
"Air dried for five to six days under shade by spreading on plastic sheets, crushed and woody parts were removed.",BO1024,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Dried under shed and crushed with hands,BO1025,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
crushed/ground by the local grain miller,BO1025,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
"massaba variety, harvested at 50% flowering stage",BO1025,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
sun-dried to 85% dry matter,BO1026,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
hay,BO1026/JO1073,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Effective micro-organism (EM-1),BO1027,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Trichodermaviride (Tv),BO1027,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
+,BO1028,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Nigella sativa seed meal was prepared following the mechanical cold pressing extraction of oil from crushed ripe seeds. It was sun-dried and crushed.,BO1032,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Yellow corn,BO1032/BO1029,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
"Massaba variety, 50% flowering stage",BO1036,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Table Salt,BO1038,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
pleurotus tuber –regium,BO1038,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Inoculated,BO1038/BO1053/BO1056,Animal.Diet.Comp,D.Process.Bio,No match for this value in AOM process cols,TRUE,NJ,
sourced before reaching the flowering stage,BO1039,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Yellow,BO1040/BO1041/BO1085/EM1005/EM1054/EM1075/JO1000/JO1056/JO1057/JO1070/JO1076/JO1082/JO1086/JO1089/JO1093/JO1098,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Pasture,BO1041,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Maxiwol,BO1041/JO1057,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,FALSE,NJ,Information can stay here
Pressed,BO1044/JO1087,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,TRUE,NJ,
Trichoderma viride,BO1047,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,FALSE,NJ,Information can stay here
effective microorganism,BO1047,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,FALSE,NJ,Information can stay here
cellulase,BO1049,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,FALSE,NJ,Information can stay here
cellulase and fybrolytic,BO1049,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,FALSE,NJ,Information can stay here
fybrolytic,BO1049,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,FALSE,NJ,Information can stay here
Penicillium oxalicum,BO1052,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
harvested after the ear is well-dented but before the leaves turn brown and dry,BO1053,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
"harvested after the ear is well-dented but before the leaves turn brown and dry, inoculated with MID/1",BO1053,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Cellulomonas cellulasea bacteria,BO1058,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
var. Cochinchinensis,BO1061,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
"var. Cochinchinensis, protein isolate",BO1061,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
Viscozyme® L,BO1062,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Orstom G23 variety,BO1064,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
harvested at booting stage,BO1064,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
harvested at the leaf maturity stage,BO1064,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
cv. Piatã,BO1069,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
(CIAT 36087) Mulato II grasses,BO1070,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Chloris gayana,BO1072,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
"TMS011368, TMS011412 and TMS1371 varieties",BO1083,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
harvested after eight weeks of re-growth at a height of 1m,BO1084,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
harvested at 50% blooming stage,BO1084,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Boloso-I,BO1086,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,This information can be kept
"Sewinet variety, harvested at 50% flowering",BO1087,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
"harvested at 50% flowering, treated with molasses",BO1087,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
harvested at 50% flowering,BO1097,Animal.Diet.Comp,D.Process.Other,No match for this value in AOM process cols,TRUE,NJ,
Pounding,BO1099,Animal.Diet.Comp,D.Process.Mech,No match for this value in AOM process cols,TRUE,NJ,
