B.Code,value,issue_addressed,addressed_by_whom,notes
AC0022,Answer -No- is present in chemicals comparison row.,FALSE,"",""
AC0034,Answer -No- is present in planting comparison row. Answer -No- is present in chemicals comparison row.,FALSE,"",""
AC0044,Answer -No- is present in other practice comparison row.,FALSE,"",""
AC0045,"",FALSE,"",""
AC0056,Answer -No- is present in planting date comparison row.,FALSE,"",""
AC0076,Answer -No- is present in other practice comparison row.,FALSE,"",""
AC0092,"",FALSE,"",""
AC0118,"",FALSE,"",""
AC0121,"",FALSE,"",""
AC0141,"",FALSE,"",""
AC0144,Answer -No- is present in chemicals comparison row.,FALSE,"",""
AC0175,"",FALSE,"",""
CJ0027,"",FALSE,"",""
CJ0046,"",FALSE,"",""
CJ0075,Answer -No- is present in weeding comparison row.,FALSE,"",""
CJ0130,"",FALSE,"",""
HK0161.1,"",FALSE,"",""
HK0240,"",FALSE,"",""
JO0024,Answer -No- is present in weeding comparison row.,FALSE,"",""
JO0077,"",FALSE,"",""
JO0139,"",FALSE,"",""
JO0150,"",FALSE,"",""
JS0216,"",FALSE,"",""
NM0057,"",FALSE,"",""
NM0110,Answer -No- is present in other practice comparison row.,FALSE,"",""
NM0120,"",FALSE,"",""
NN0192,"",FALSE,"",""
NN0278,Answer -No- is present in chemicals comparison row. Answer -No- is present in weeding comparison row.,FALSE,"",""
NN0426,"",FALSE,"",""
NN0435,Answer -No- is present in chemicals comparison row.,FALSE,"",""
NN0519,"",FALSE,"",""
NN0561,Answer -No- is present in weeding comparison row.,FALSE,"",""
SA0059.2,"",FALSE,"",""
