B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0091,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
AC0118,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
AC0121,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
AC0141,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
AC0144,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
AC0175,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
CJ0027,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
CJ0046,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
CJ0130,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
HK0161.1,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
HK0225,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
HK0240,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
JO0077,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
JO0139,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
JO0150,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
JS0216,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
NM0057,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
NM0120,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
NN0192,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
NN0426,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
NN0435,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
NN0502,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
NN0519,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
SA0059.2,"",,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
AC0045,Answer -No- is present in chemicals comparison row.,,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
AC0044,Answer -No- is present in other practice comparison row.,,,Comparison logic does not find any comparisons for this paper.,FALSE,"",""
