B.Code,table,field,value,issue,issue_addressed,addressed_by_whom,notes
JO0072,AF.Tree,AF.Level.Name,Milletia ferruginea,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Ehretia cymosa,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Olea welwitschii,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Albizia gummifera,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Schefflera abyssinica,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Croton macrostachyus,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Ficus vasta,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Pouteria adolfi-friedericii,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Phoenix reclinata,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Dracaena steudneri,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Prunus africana,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Vepris dainellii,Trees number is present without unit.,FALSE,"",""
JO0072,AF.Tree,AF.Level.Name,Cordia africana,Trees number is present without unit.,FALSE,"",""
