B.Code,value,table,field,issue,parent_table,tabname,master_table,IN.Level.Name,R.Level.Name,P.Product,Out.Code.Joined,issue_addressed,addressed_by_whom,notes
AC0002,Land Equivalent Ratio..NA,Data.Out,Out.Code.Joined,Outcome derived from T vs C (e.g. LER) does not have comparison specified.,,,,,,,,FALSE,"",""
AC0003,2004.1/2003.2/2009/2010/2009/2010,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
AC0020,HC-F0...HC-F0 Ben...HC-F0 An...HC-F0 Ben2,Data.Out,T.Name,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
AC0020,HC-F0...HC-F0 Ben...HC-F0 An...HC-F0 Ben2***HM-F0...HM-F0 Ben...HM-F0 An...HM-F0 Ben2,Data.Out,IN.Level.Name/T.Name,Compulsory Product field is blank.,,,,,,,,FALSE,"",""
AC0025,PB33%/PB66%/PB100%,Rot.Out vs MT.Out,R.Level.Name,Mismatch in residue management between time seq and treatments tab (often treatments tab indicates residue management but time seq tab states Unspecified?).,,,,,,,,FALSE,"",""
AC0030.1,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
AC0030.2,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
AC0036,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
AC0065,Ikom White Lm0 N0..Ikom White Lm1 N0/Ikom White Lm0 N0..Oba98 Lm0 N0/Ikom White Lm0 N0..Oba98 Lm0 N0..Ikom White Lm1 N0..Oba98 Lm1 N0/Ikom White Lm1 N0..Oba98 Lm1 N0/Oba98 Lm0 N0..Oba98 Lm1 N0,Data.Out,ED.Comparison1,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
AC0074,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
AC0077.2,8 t/ha Res,Data.Out,R.Level.Name,"Time sequence does not contain a rotation code, if the treatment name suggests a rotation should be present then check, could be raw data or ingestion issue.",,,,,,,,FALSE,"",""
AC0087,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
AC0088,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
AC0100,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
AC0105,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
AC0108,0N 0P K0..0N 0P K+..0N 0P K++..0N P+ K0..0N P+ K+..0N P+ K++..0N P++ K0..0N P++ K+..0N P++ K++/0N 0P K0..0N 0P K+..0N 0P K++..N+ 0P K0..N+ 0P K+..N+ 0P K++..N++ 0P K0..N++ 0P K+..N++ 0P K++/0N 0P K0..0N P+ K0..0N P++ K0..N+ 0P K0..N+ P+ K0..N+ P++ K0..N++ 0P K0..N++ P+ K0..N++ P++ K0,Data.Out,ED.Comparison1,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
AC0108,Lp K+/Ss K+/BF K+/Ac K++/Aj K++/Al K++/Lp K++/Ss K++/BF K++,Data.Out,R.Level.Name,"Time sequence does not contain a rotation code, if the treatment name suggests a rotation should be present then check, could be raw data or ingestion issue.",,,,,,,,FALSE,"",""
AC0110,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
AC0114,DS-MC Maize,Data.Out,T.Name,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
AC0114,NA,Data.Out,IN.Level.Name/T.Name,Compulsory Product field is blank.,,,,,,,,FALSE,"",""
AC0116,0 Nitrogen Incorp..0 Nitrogen Burned,Data.Out,ED.Comparison1,Mismatch in field value between parent and child tables.,MT.Out,,,,,,,FALSE,"",""
AC0119,2015dry,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
AC0121,2009.2,Data.Out,Time,"Cannot estimate season length, probably due to incomplete sequence or error in sequence in Time.Out tab.",,,,,,,,FALSE,"",""
AC0122,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
AC0125,,Data.Out,T.Reps/Int.Reps/R.Reps,No replicates recorded.,,,,,,,,FALSE,"",""
