B.Code,T.Name,IN.Level.Name,Time,Missing,R.Level.Name,table,issue,issue_addressed,addressed_by_whom,notes
AF0002,No-till + Removed + F,NA,1979-1980,1979-1980,NT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + F,NA,1981-1,1981-1,NT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + F,NA,1981-2,1981-2,NT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + F,NA,1982-1,1982-1,NT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + F,NA,1983-1,1983-1,NT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + F,NA,1984-1,1984-1,NT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + F,NA,1984-2,1984-2,NT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + F,NA,1985-1,1985-1,NT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + F,NA,1986-1,1986-1,NT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + F,NA,1986-2,1986-2,NT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert,NA,1979-1980,1979-1980,NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert,NA,1981-1,1981-1,NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert,NA,1981-2,1981-2,NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert,NA,1982-1,1982-1,NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert,NA,1983-1,1983-1,NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert,NA,1984-1,1984-1,NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert,NA,1984-2,1984-2,NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert,NA,1985-1,1985-1,NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert,NA,1986-1,1986-1,NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert,NA,1986-2,1986-2,NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1979-1..1979-2,1979-1/1979-2,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1980-1..1980-2,1980-1/1980-2,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1980-2,1980-2,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1981-1,1981-1,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1981-1..1981-2,1981-1/1981-2,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1981-2,1981-2,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1982-1,1982-1,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1982-1..1982-2,1982-1/1982-2,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1983-1,1983-1,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1983-1..1983-2,1983-1/1983-2,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1984-1,1984-1,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1984-1..1984-2,1984-1/1984-2,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1985-1,1985-1,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1985-1..1985-2,1985-1/1985-2,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1986-1,1986-1,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Removed + no Fert..No-till + Returned + no Fert..No-till + Removed + F..No-till + Returned + F,NA,1986-1..1986-2,1986-1/1986-2,NT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + F,NA,1979-1980,1979-1980,NT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + F,NA,1981-1,1981-1,NT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + F,NA,1981-2,1981-2,NT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + F,NA,1982-1,1982-1,NT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + F,NA,1983-1,1983-1,NT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + F,NA,1984-1,1984-1,NT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + F,NA,1984-2,1984-2,NT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + F,NA,1985-1,1985-1,NT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + F,NA,1986-1,1986-1,NT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + F,NA,1986-2,1986-2,NT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + no Fert,NA,1979-1980,1979-1980,NT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + no Fert,NA,1981-1,1981-1,NT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + no Fert,NA,1981-2,1981-2,NT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + no Fert,NA,1982-1,1982-1,NT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + no Fert,NA,1983-1,1983-1,NT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + no Fert,NA,1984-1,1984-1,NT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + no Fert,NA,1984-2,1984-2,NT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + no Fert,NA,1985-1,1985-1,NT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + no Fert,NA,1986-1,1986-1,NT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,No-till + Returned + no Fert,NA,1986-2,1986-2,NT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + F,NA,1979-1980,1979-1980,CT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + F,NA,1981-1,1981-1,CT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + F,NA,1981-2,1981-2,CT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + F,NA,1982-1,1982-1,CT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + F,NA,1983-1,1983-1,CT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + F,NA,1984-1,1984-1,CT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + F,NA,1984-2,1984-2,CT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + F,NA,1985-1,1985-1,CT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + F,NA,1986-1,1986-1,CT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + F,NA,1986-2,1986-2,CT + F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert,NA,1979-1980,1979-1980,CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert,NA,1981-1,1981-1,CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert,NA,1981-2,1981-2,CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert,NA,1982-1,1982-1,CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert,NA,1983-1,1983-1,CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert,NA,1984-1,1984-1,CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert,NA,1984-2,1984-2,CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert,NA,1985-1,1985-1,CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert,NA,1986-1,1986-1,CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert,NA,1986-2,1986-2,CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1980-1..1980-2,1980-1/1980-2,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1980-2,1980-2,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1981-1,1981-1,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1981-1..1981-2,1981-1/1981-2,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1981-2,1981-2,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1982-1,1982-1,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1982-1..1982-2,1982-1/1982-2,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1983-1,1983-1,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1983-1..1983-2,1983-1/1983-2,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1984-1,1984-1,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1984-1..1984-2,1984-1/1984-2,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1985-1,1985-1,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1985-1..1985-2,1985-1/1985-2,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1986-1,1986-1,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Removed + no Fert..Plow-till + Returned + no Fert..Plow-till + Removed + F..Plow-till + Returned + F,NA,1986-1..1986-2,1986-1/1986-2,CT agg,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + F,NA,1979-1980,1979-1980,CT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + F,NA,1981-1,1981-1,CT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + F,NA,1981-2,1981-2,CT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + F,NA,1982-1,1982-1,CT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + F,NA,1983-1,1983-1,CT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + F,NA,1984-1,1984-1,CT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + F,NA,1984-2,1984-2,CT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + F,NA,1985-1,1985-1,CT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + F,NA,1986-1,1986-1,CT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + F,NA,1986-2,1986-2,CT +R +F,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + no Fert,NA,1979-1980,1979-1980,CT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + no Fert,NA,1981-1,1981-1,CT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + no Fert,NA,1981-2,1981-2,CT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + no Fert,NA,1982-1,1982-1,CT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + no Fert,NA,1983-1,1983-1,CT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + no Fert,NA,1984-1,1984-1,CT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + no Fert,NA,1984-2,1984-2,CT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + no Fert,NA,1985-1,1985-1,CT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + no Fert,NA,1986-1,1986-1,CT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
AF0002,Plow-till + Returned + no Fert,NA,1986-2,1986-2,CT + R,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0090,CTM/NA,NA,2012 W ,2012 W ,M-C-CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0090,CTMM/NA,MZ-I-CTMM__V-CTMM,2012 W ,2012 W ,MM-C-CT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0090,NTM/NA,NA,2012 W ,2012 W ,M-C-NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0090,NTMM/NA,MZ-I-NTMM__V-NTMM,2012 W ,2012 W ,MM-C-NT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0090,RTM/NA,NA,2012 W ,2012 W ,M-C-RT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0090,RTMM/NA,MZ-I-RTMM__V-RTMM,2012 W ,2012 W ,MM-C-RT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,120N:ENT,NA,2008..2009,2008/2009,120N:ENT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,120N:ENT+N,NA,2008..2009,2008/2009,120N:ENT+N,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,120N:NNT,NA,2008..2009,2008/2009,120N:NNT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,120N:NNT+N,NA,2008..2009,2008/2009,120N:NNT+N,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,30N:ENT,NA,2008..2009,2008/2009,30N:ENT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,30N:ENT+N,NA,2008..2009,2008/2009,30N:ENT+N,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,30N:ENT+N..60N:ENT+N..120N:ENT+N,NA,2008..2009,2008/2009,30N:ENT+N..60N:ENT+N..120N:ENT+N,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,30N:ENT..60N:ENT..120N:ENT,NA,2008..2009,2008/2009,30N:ENT..60N:ENT..120N:ENT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,30N:NNT,NA,2008..2009,2008/2009,30N:NNT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,30N:NNT+N,NA,2008..2009,2008/2009,30N:NNT+N,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,30N:NNT+N..60N:NNT+N..120N:NNT+N,NA,2008..2009,2008/2009,30N:NNT+N..60N:NNT+N..120N:NNT+N,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,30N:NNT..60N:NNT..120N:NNT,NA,2008..2009,2008/2009,30N:NNT..60N:NNT..120N:NNT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,60N:ENT,NA,2008..2009,2008/2009,60N:ENT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,60N:ENT+N,NA,2008..2009,2008/2009,60N:ENT+N,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,60N:NNT,NA,2008..2009,2008/2009,60N:NNT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,60N:NNT+N,NA,2008..2009,2008/2009,60N:NNT+N,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,ENT,NA,2008..2009,2008/2009,ENT,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
CJ0097,ENT+N,NA,2008..2009,2008/2009,ENT+N,Data.Out,Time in treatments tab does not match Time tab,FALSE,"",""
