tracking_file,n_B.Codes,n_B.Codes_pending,n_rows,nrow_pending
enterdata_other_errors.csv,180,180,224,224
site_other_errors.csv,149,147,152,150
soil_errors.csv,76,76,85,85
treatment_duplicates.csv,91,67,91,67
pH_other_errors.csv,59,59,59,59
wh_other_errors.csv,76,49,104,59
intercrop_other_errors.csv,47,47,81,81
treatment_other_errors.csv,47,47,50,50
other_other_errors.csv,80,40,80,40
weed_other_errors.csv,37,37,37,37
fert_other_errors.csv,34,34,37,37
rot_other_errors.csv,20,20,21,21
plant_comparison_allowed_issue.csv,18,16,18,16
var_other_errors.csv,14,14,15,15
time_other_errors.csv,13,13,14,14
time_year_errors.csv,13,13,29,29
enterdata_time_errors.csv,12,12,773,773
dates_other_errors.csv,9,9,12,12
harvest_structure_errors.csv,9,9,12,12
other_structure_errors.csv,9,9,12,12
weed_structure_errors.csv,9,9,12,12
intercropping_structure_errors.csv,6,6,6,6
plant_debugging_errors.csv,4,4,4,4
prod_other_errors.csv,4,4,4,4
residues_other_errors.csv,6,4,8,5
site_missing_fields_errors.csv,4,3,5,3
out_other_errors.csv,2,2,2,2
pub_code_errors.csv,2,2,3,3
till_errors.csv,2,2,2,2
irrig_other_errors.csv,1,1,1,1
time_climate_errors.csv,1,1,2,2
time_order_check.csv,1,1,1,1
wh_structure_errors.csv,1,1,1,1
plant_method_value_errors.csv,6,0,9,0
plant_structure_errors.csv,1,0,1,0
site_coordinate_errors.csv,3,0,3,0
