B.Code,value,table,field,issue,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
AC0039,Inorganic-Unspecified: A1,Fert.Method,F.Category-F.Type:F.Level.Name,"Use of Unspecified as fertilizer type name. We need to check that this truly should have been unspecfied (i.e. we know nothing about the fertilizer applied at all) or if unspecified N, P or K could have been used.",,,,FALSE,NJ,"No error, fert unknown- Survey paper"
AC0039,Unspecified-Unspecified: A1,Fert.Method,F.Category-F.Type:F.Level.Name,"Use of Unspecified as fertilizer type name. We need to check that this truly should have been unspecfied (i.e. we know nothing about the fertilizer applied at all) or if unspecified N, P or K could have been used.",,,,FALSE,NJ,"No error, fert unknown- Survey paper"
AC0120,10CSS/10TSS,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",?
AC0137,1:10LVB/1:10LVC/1:20LVB/1:20LVC/1:30LVB/1:30LVC,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
AC0139,Cattle slurry/Pig litter/Pig slurry,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",In the master sheet- F.Type.New
AC0143,Inorganic-Unspecified: High,Fert.Method,F.Category-F.Type:F.Level.Name,"Use of Unspecified as fertilizer type name. We need to check that this truly should have been unspecfied (i.e. we know nothing about the fertilizer applied at all) or if unspecified N, P or K could have been used.",,,,FALSE,"",Unspecified
AC0154,DS BO/DS Maize/PL BO/PL Maize/PS BO/PS Maize,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",?
CJ0103,Swine wastewater,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,NJ,In the master sheet- F.Type.New
CJ0104,Soybean straw,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
CJ0138,TP1/TP2,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
CJ0151,1/4 W+ 1/4C+1/4P+1/4B/½ C+ ½B/½ C+ ½P/½ P+½B/½ W+ ½C/½ W+½B/½ W+½P,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
CJ0173,Rabbit manure,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,NJ,""
CJ0181,Cocoa pod husk/palm kernel cake,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,NJ,""
DM0004,Inorganic-Unspecified: Inorganic fert/Inorganic + Manure,Fert.Method,F.Category-F.Type:F.Level.Name,"Use of Unspecified as fertilizer type name. We need to check that this truly should have been unspecfied (i.e. we know nothing about the fertilizer applied at all) or if unspecified N, P or K could have been used.",,,,FALSE,NJ,Unspecified: survery paper
HK0240,Unspecified-Unspecified: fert,Fert.Method,F.Category-F.Type:F.Level.Name,"Use of Unspecified as fertilizer type name. We need to check that this truly should have been unspecfied (i.e. we know nothing about the fertilizer applied at all) or if unspecified N, P or K could have been used.",,,,FALSE,NJ,Unspecified- Survey
JO0052,Black soldier fly frass,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,NJ,""
JO0077,,Fert.Out,F.I.Unit,Inorganic fertilizer unit missing,,,,FALSE,"",""
JO0114,15K/45K/60K/75K/90K/105K/10S/20S/30S/40S/50S/BN-92/BP-39/BK-66/BS-30/BZn-5/BBn-1,Fert.Method,F.Level.Name,"Name is not used in Fert.Method table and fert method table is not blank, could indicate an error.",,,,FALSE,"",""
JO0147,AL-B_2015/AL-B_2016/Brewery waste/Gateway_2015,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
JO0166,fNP-18_nNPK,Fert.Method,F.Level.Name,"Name is not used in Fert.Method table and fert method table is not blank, could indicate an error.",,,,FALSE,"",""
JS0070,Friday.May31.1963/Sunday.May31.1964/Monday.May31.1965/Tuesday.May31.1966/Wednesday.May31.1967/Friday.May31.1968/Saturday.May31.1969/Sunday.May31.1970/Monday.May31.1971/Wednesday.May31.1972/Thursday.May31.1973/Friday.May31.1974/Saturday.May31.1975/Monday.May31.1976/Tuesday.May31.1977/Wednesday.May31.1978/Thursday.May31.1979/Saturday.May31.1980/Sunday.May31.1981/Monday.May31.1982,Fert.Method,F.Date.End,Non-numeric value in numeric field.,,,,FALSE,"",""
JS0070,Monday.April1.1963/Wednesday.April1.1964/Thursday.April1.1965/Friday.April1.1966/Saturday.April1.1967/Monday.April1.1968/Tuesday.April1.1969/Wednesday.April1.1970/Thursday.April1.1971/Saturday.April1.1972/Sunday.April1.1973/Monday.April1.1974/Tuesday.April1.1975/Thursday.April1.1976/Friday.April1.1977/Saturday.April1.1978/Sunday.April1.1979/Tuesday.April1.1980/Wednesday.April1.1981/Thursday.April1.1982,Fert.Method,F.Date.Start,Non-numeric value in numeric field.,,,,FALSE,"",""
JS0070,N0P0K1/N0P0K1 272/N0P0K2/N0P0K2 272/N0P1 272K0/N0P1 272K1 272/N0P1 272K2 272/N0P1K0/N0P1K1/N0P1K2/N0P2 272K0/N0P2 272K1 272/N0P2 272K2 272/N0P2K0/N0P2K1/N0P2K2/N1P0K0/N1P0K1/N1P0K1 272/N1P0K2/N1P0K2 272/N1P1 272K0/N1P1 272K1 272/N1P1 272K2 272/N1P1K0/N1P1K1/N1P1K2/N1P2 272K0/N1P2 272K1 272/N1P2 272K2 272/N1P2K0/N1P2K1/N1P2K2/N2P0K0/N2P0K1/N2P0K1 272/N2P0K2/N2P0K2 272/N2P1 272K0/N2P1 272K1 272/N2P1 272K2 272/N2P1K0/N2P1K1/N2P1K2/N2P2 272K0/N2P2 272K1 272/N2P2 272K2 272/N2P2K0/N2P2K1/N2P2K2,Fert.Method,F.Level.Name,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
NM0031,OBD-Plus/market & abattoir wastes,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",""
NM0061,Inorganic-Unspecified: Corn/Corn 30/Corn 60/Corn 90,Fert.Method,F.Category-F.Type:F.Level.Name,"Use of Unspecified as fertilizer type name. We need to check that this truly should have been unspecfied (i.e. we know nothing about the fertilizer applied at all) or if unspecified N, P or K could have been used.",,,,FALSE,NJ,Unspecified
NM0062,Inorganic-Unspecified: Base,Fert.Method,F.Category-F.Type:F.Level.Name,"Use of Unspecified as fertilizer type name. We need to check that this truly should have been unspecfied (i.e. we know nothing about the fertilizer applied at all) or if unspecified N, P or K could have been used.",,,,FALSE,NJ,Unspecified
NN0041,0-Placed,Fert.Method,F.Level.Name,"Name is not used in Fert.Method table and fert method table is not blank, could indicate an error.",,,,FALSE,"",""
NN0423,M manure/S manure/T manure/V manure,Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",?
NN0467,Fertisol (4-3-3),Fert.Comp,F.Type,Mismatch in field value between parent and child tables.,,,,FALSE,"",?
