value,B.Code,table,field,table_alt,field_alt,master_tab,issue,issue_addressed,addressed_by_whom,notes
Acidulated,NN0023,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
As cover,AC0026,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Ash-Maize cob,CJ0204,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Biochar-Mango tree,CJ0162,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Biochar-sakoa,NN0551,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Biosolid-Banana Waste,CJ0151,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Biosolid-Cattle Manure,CJ0151,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Biosolid-Sewage Sludge,AC0120/NM0064,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Biosolid-Water melon peels,CJ0151,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Biosolid-paw-paw peels,CJ0151,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Broadcast,NN0434/NN0455,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Calcinated,CJ0187,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
"Compost-65% poultry manure, 35% maize straw",AC0165,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Compost-85% Sorghum residue + 25% Cattle Manure,JS0035,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Compost-Coffee husks compost,NM0078,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Compost-NPK,CJ0061,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Compost-Plant & animal based (unspecified),NN0548,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Compost-Plant-based (unspecified),NN0548,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Compost-Sewage Sludge,SP0018/AC0120,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Compost-market & abattoir wastes,NM0031,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Deep placement,NM0124,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Dollop,CJ0055/NN0457,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Granular,AC0072/JO0050/AC0110,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Hill application,NM0084,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Hill placement,LM0194,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Inorganic-BG4-reactive phosphate rock,CJ0119,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Boric Acid,NM0071,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Ca (Unspecified),NM0015,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-CaCO3,CJ0187,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Calcium Monophosphate,SP0065,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Cattle Manure,CJ0151,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Chicken Manure,AC0116,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Compund C,NM0086,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Controlled Released Urea,SP0041,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-DAP,SA0025,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-K2CO3,CJ0187,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-K2S04,JO0162,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Liquid fertilizer,CJ0129,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Magnesium Oxide,DM0024,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Magnesium Sulphate,NM0071,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Magnesium Suplhate,NM0071,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Magnesium sulfate,NN0467,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Nitrochalk,LM0097,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-PK 20:20,JS0411,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Sukphuric Acid,CJ0187,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Sulphuric Acid,CJ0187,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Super grow,NM0074,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-TSP,JO0162,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Triple superphosphate,JO0134/JO0136,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Zinc Sulphate,NM0071,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Zinc oxide,DM0006,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-Zinc sulfate,NN0467,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-mono calcium phosphate,CJ0104,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Inorganic-sulfate of ammonium,NM0003,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Kg/ha,NN0533,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
Lateral Furrow,AC0158,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Manure-Dairy liquid manure,NN0429,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Manure-Livestock manure,NN0551,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Manure-Poultry Litter Lot 1,AC0147,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Manure-Poultry Litter Lot 2,AC0147,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Manure-Poultry Litter Lot 3,AC0147,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Manure-Poutry Farmyard Manure,NN0410,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Manure-Unspecified,AC0039,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Manure-Unspecified Manure y1,NM0101,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Manure-Unspecified Manure y2,NM0101,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Manure-Unspecified Manure y3,NM0101,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Manure-Unspecified Manure y4,NM0101,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Manure-Urine,NN0049,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Mg C/ha,LM0176.3/LM0189,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
MicroNutrient-Calcium (Unspecified),AC0075,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
MicroNutrient-Nickel,JO0061,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
MicroNutrient-Suphur,NN0533,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
MicroNutrient-Zinc,NN0533,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
NBPT (urea inhibitor),CJ0071,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Organic_Other-252Root Vegetables (MRV),NM0100,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Organic_Other-Ascorbic acid,NN0523,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Organic_Other-Charcoal,JO0098,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Organic_Other-Coffee husk,JO0061,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
"Organic_Other-Mavuno Peas, Beans and",NM0100,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Organic_Other-New Mavuno blend,NM0100,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Organic_Other-Unspecified,AC0039/DM0018,Fert.Method,F.Category-F.Type,,F.Type_New,fert,,FALSE,"",""
Other,JO0070,Fert.Method,F.Fate,Res.Method,M.Fate,lookup_levels,,FALSE,"",""
Point placed,AC0004,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Polymer coated,CJ0071,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Ridge Applied,NM0028,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Root dipping,AC0172,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Spot application,CJ0146,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Spraying,CJ0129,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Strip application,NM0084,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Surface-banded,AC0024,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Top dressing,AC0014/AC0015/AC0017/AC0018/AC0020/AC0022/JO0016.1/JO0016.2/AC0030.2/NM0016/AC0005,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Unspecified,JO0104,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Water Diluted,NM0084/NN0484,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
g/bunch,NN0551,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
g/m,AC0023/JO0021,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
kg,NM0071,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
kg/m,AC0023,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
kg/m3,CJ0103,Fert.Comp,F.K.Unit,Soil.Out,Soil.K.Unit,lookup_levels,,FALSE,"",""
kg/m3,CJ0103,Fert.Comp,F.N.Unit,Soil.Out,Soil.N.Unit,lookup_levels,,FALSE,"",""
kg/m3,CJ0103,Fert.Comp,F.P.Unit,Soil.Out,Soil.N.Unit,lookup_levels,,FALSE,"",""
l/plant,JO0021,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
mM,JO0199,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
mg/dm3,NN0429/NM0067,Fert.Comp,F.K.Unit,Soil.Out,Soil.K.Unit,lookup_levels,,FALSE,"",""
ml/plant,NM0019,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
ppm,CJ0165,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
ppm/feddan,NM0132,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
spot application,NN0463,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
