value,B.Code,table,field,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
Biomass Carbon,NN0148,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
Cmol/kg,AC0058,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
D,JO0194,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
ETA/ha,NN0411,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
ETH/ha,JO0104,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
Evenness index,JO0053,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
Kg/feddan,NM0132,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
Kg/ha/mm,JO0188,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
Kg/m3,SP0017,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
MXN/ha,AC0025/AC0134/AC0135/AC0138/DM0025,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
MZN/ha,CJ0058,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
Macrofauna group No.,NN0561,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
N of species macrofauna,AC0129,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
N of species tree/shrub,AC0129,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
N soil macrofauna/0.0156 m3 of soil,NM0014,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
N species,AC0099,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
N/200g soil,AC0082,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
N/A,JO0014/JO0083/SA0014,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
N/kg soil,AC0105,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
N/m2,AC0084,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
N/plant,AC0012,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
NA,AC0017/CJ0011/NN0421/NN0423/NN0430/CJ0026/AC0043/AC0055/AC0060/CJ0030/CJ0037/NN0445/CJ0047/AC0135/CJ0058/JO0055/JO0090/NM0032/CJ0105/CJ0115/CJ0124/CJ0125/CJ0138/CJ0140/CJ0154/CJ0159/CJ0163/SP0046/CJ0199/DM0025/HK0240/NN0559.3/SA0028/SA0062/NN0412/NN0427/AC0002/AC0007/CJ0004/AC0010/NN0420,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
NGN/NGN,CJ0122,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
Richness (S),NN0561,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
Shannon index,AC0152,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
Shannon's entropy,AC0057,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
Shannon–Wiener index,NN0544,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
cmole/kg,NM0040,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
g g/N,JO0166,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
g/ka,SP0040/SA0061,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
h/ha,AC0044/AC0069,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
mg C / ha,NN0296,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
mg/ha,JO0075/CJ0103/SP0038,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
mm/kg feddan,JO0121,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
ms/cm,CJ0081,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
n/a,JO0035/NM0028,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
new colonies Atta cephalotes/ha,AC0076,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
number,JO0017,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
per USD,AC0075,Out.Out,Out.Unit,,Out.Unit.Correct,unit_harmonization,FALSE,"",""
