value,B.Code,table,field,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
Alfa alfa,JO0098,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Avena Straw,CJ0071,Res.Method,M.Material,,,residues,FALSE,"",""
Barley residue,JS0248/JS0248,Res.Method,M.Material,,,residues,FALSE,"",""
Biodegradable film,NN0526,Res.Method,M.Material,,,residues,FALSE,"",""
Bread grass,JO0214,Res.Method,M.Material,,,residues,FALSE,"",""
Chick pea residue,JS0248,Res.Method,M.Material,,,residues,FALSE,"",""
Chick pea straws,SA0047,Res.Method,M.Material,,,residues,FALSE,"",""
Chromolaena residues,LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008/LM0008,Res.Method,M.Material,,,residues,FALSE,"",""
Cocoa pod husk,CJ0162/CJ0162/CJ0162/CJ0162,Res.Method,M.Material,,,residues,FALSE,"",""
Coffee husk,JO0067/JO0067/JO0067/NM0034/NM0034/NM0034,Res.Method,M.Material,,,residues,FALSE,"",""
Cotton mulch,NN0132,Res.Method,M.Material,,,residues,FALSE,"",""
Cotton residue,JS0035,Res.Method,M.Material,,,residues,FALSE,"",""
Crotalaria residues,NN0417/NN0417,Res.Method,M.Material,,,residues,FALSE,"",""
"ElectroPlastic SA, MPP-P(Black)",NM0034,Res.Method,M.Material,,,residues,FALSE,"",""
Ganba grass,JO0004/JO0004/JO0004/JO0004,Res.Method,M.Material,,,residues,FALSE,"",""
Gliricida sepium,AC0127/AC0127/AC0127/AC0127/JO0084/HK0258.2,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Gliricidia,NM0066/NM0066/NM0066/NM0066,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Groundnut residue,JS0035,Res.Method,M.Material,,,residues,FALSE,"",""
Lablab purpureus,JO0088/JO0088/JO0088/JO0088,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Lantana Camara,NM0081/NM0081,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
MPP-P&B(balck/white),NM0034,Res.Method,M.Material,,,residues,FALSE,"",""
Maize Stubble,JO0213,Res.Method,M.Material,,,residues,FALSE,"",""
Mg/ha,SP0033,Res.Method,M.Unit,,,lookup_levels,FALSE,"",""
Millet Stover,CJ0100/CJ0100/CJ0100/CJ0100/CJ0100/CJ0100,Res.Method,M.Material,,,residues,FALSE,"",""
Millet residue,CJ0171/CJ0171,Res.Method,M.Material,,,residues,FALSE,"",""
Miscanthidium violoceum,SP0003,Res.Method,M.Material,,,residues,FALSE,"",""
Mucuna,AC0077.3/AC0077.3,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Mung bean residues,SA0032,Res.Method,M.Material,,,residues,FALSE,"",""
Mustard,SA0046,Res.Method,M.Material,,,residues,FALSE,"",""
Pearl Millet,SP0033,Res.Method,M.Material,,,residues,FALSE,"",""
Pennisetum macrourum,CJ0186/CJ0186/CJ0186/CJ0186/CJ0186/CJ0186/CJ0186/CJ0186,Res.Method,M.Material,,,residues,FALSE,"",""
Phoenix dactylifera,JO0097/JO0097/JO0097/JO0097,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
Piliostigma reticulatum,JS0319/JS0319/JS0319/JS0319/JS0319/JS0319/JS0319/JS0319/JS0319,Res.Method,M.Material,,,residues,FALSE,"",""
Polythene tubes,NN0049,Res.Method,M.Material,,,residues,FALSE,"",""
Rice Bran,CJ0162/CJ0162/CJ0162/CJ0162,Res.Method,M.Material,,,residues,FALSE,"",""
Soya Stover,NM0042,Res.Method,M.Material,,,residues,FALSE,"",""
Soybean Residue,NN0148,Res.Method,M.Material,,,residues,FALSE,"",""
Stones,AC0093/AC0093,Res.Method,M.Material,,,residues,FALSE,"",""
Sunhemp,SA0062/SA0062,Res.Method,M.Material,,,residues,FALSE,"",""
Sunn hemp,NM0052/NM0052,Res.Method,M.Material,,,residues,FALSE,"",""
Vetch  residues,JS0274.1/JS0274.2,Res.Method,M.Material,,,residues,FALSE,"",""
Vicia villosa,SP0019/SP0019/SP0019/SP0019/SP0019/SP0019,Res.Method,M.Material,,,residues,FALSE,"",""
Wheat Stubble,JO0213,Res.Method,M.Material,,,residues,FALSE,"",""
Wheat stuble,JO0213,Res.Method,M.Material,,,residues,FALSE,"",""
Yam residues,JO0217/JO0217,Res.Method,M.Material,,,residues,FALSE,"",""
coconut fiber,JO0070/JO0070/JO0070,Res.Method,M.Material,,,residues,FALSE,"",""
green ipil-ipil leaves,SA0007,Res.Method,M.Material,,,residues,FALSE,"",""
kg/m3,AC0149/CJ0100/CJ0162/SP0042,Res.Comp,M.AP.Unit,Soil.Out,Soil.N.Unit,lookup_levels,FALSE,"",""
kg/m3,AC0149/CJ0100/CJ0162/SP0042,Res.Comp,M.P.Unit,Soil.Out,Soil.N.Unit,lookup_levels,FALSE,"",""
kg/m3,CJ0100/CJ0162/SP0042,Res.Comp,M.N.Unit,Soil.Out,Soil.N.Unit,lookup_levels,FALSE,"",""
l/m2,NM0034,Res.Method,M.Unit,,,lookup_levels,FALSE,"",""
lantana camara,JO0093,Res.Method,M.Tree,,Tree.Latin.Name,trees,FALSE,"",""
lentil,JO0153,Res.Method,M.Material,,,residues,FALSE,"",""
oat,JO0074,Res.Method,M.Material,,,residues,FALSE,"",""
t/ha,CJ0100/CJ0162/SP0042,Res.Comp,M.AN.Unit,Soil.Out,Soil.N.Unit,lookup_levels,FALSE,"",""
t/ha,CJ0100/CJ0162/SP0042,Res.Comp,M.TN.Unit,Soil.Out,Soil.N.Unit,lookup_levels,FALSE,"",""
vetch,JO0074,Res.Method,M.Material,,,residues,FALSE,"",""
