B.Code,value,table,field,issue,parent_table,issue_addressed,addressed_by_whom,notes
AC0007,Cowpea inter-row 0P..Cowpea inter-row 40P..Cowpea inter-row 80P/Cowpea intra-hole 0P..Cowpea intra-hole 40P..Cowpea intra-hole 80P/Cowpea intra-row 0P..Cowpea intra-row 40P..Cowpea intra-row 80P,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
AC0007,Maize intercrop 0P..Maize intercrop 40P..Maize intercrop 80P,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
AC0016,Maize intercrop Abontem..Maize intercrop Omankwa..Maize intercrop Obatanpa,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
AC0020,HC-F0 2cycle..HC-F0 2cycle An/HC-F0..HC-F0 Ben..HC-F0 An..HC-F0 Ben2/HC-FC 2cycle..HC-FC 2cycle An/HC-FM 2cycle..HC-FM 2cycle An/HC-FM..HC-FM An/HM-FC..HM-FC Ben..HM-FC An..HM-FC Ben2/LC-F0..LC-F0 An,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
AC0020,HC-F0...HC-F0 Ben...HC-F0 An...HC-F0 Ben2,Int.Out,IN.Level.Name,Component(s) of aggregated treatment name used in intercropping tab do not match a value in the treatments tab.,MT.Out,FALSE,"",""
AC0020,HC-FC..HC-FC An/HM-F0 2cycle..HM-F0 2cycle Ben..HM-F0 2cycle An..HM-F0 2cycle Ben2/HM-F0..HM-F0 Ben..HM-F0 An..HM-F0 Ben2/HM-FC 2cycle..HM-FC 2cycle Ben..HM-FC 2cycle An..HM-FC 2cycle Ben2/HM-FM 2cycle..HM-FM 2cycle Ben..HM-FM 2cycle An..HM-FM 2cycle Ben2/HM-FM..HM-FM Ben..HM-FM An..HM-FM Ben2/LM-F0 2cycle..LM-F0 2cycle Ben..LM-F0 2cycle An..LM-F0 2cycle Ben2/LM-F0..LM-F0 Ben..LM-F0 An..LM-F0 Ben2/LM-FC 2cycle..LM-FC 2cycle Ben..LM-FC 2cycle An..LM-FC 2cycle Ben2/LM-FM 2cycle..LM-FM 2cycle Ben..LM-FM 2cycle An..LM-FM 2cycle Ben2,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
AC0033,F. albida..C. africana..V. seyal..V. xanthophloea..G. robusta,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
AC0057,Conv legume..Trad legume,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
AC0057,Conv maize int..Trad maize int,Int.Out,IN.Comp1,Non-match btw intercropping and make treatment for name in IN.Comp1 column.,MT.Out,FALSE,"",""
AC0062,Cowpea int low..Cowpea int high,Int.Out,IN.Comp2,Non-match btw intercropping and make treatment for name in IN.Comp2 column.,MT.Out,FALSE,"",""
