B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0171,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
AC0173,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
CJ0022,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
CJ0100,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
CJ0103,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
CJ0110,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
DM0011,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
DM0013,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
DM0016,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
DM0018,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
DM0020,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0002,CAL_2_49/CAL_3_49/CAL_4_49/DOL_2_49/DOL_3_49/DOL_4_49,pH.Method,pH.Level.Name,Mismatch in field value between parent and child tables.,FALSE,"",""
JO0094,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0095,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0098,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0103,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0104,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0106,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0110,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0120,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0121,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0124,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0126,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0127,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0128,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0130,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0131,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0132,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0179,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0185,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0186,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
JO0196,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NM0085,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NM0096,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NM0100,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NM0104,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NM0110,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NM0114,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NM0115,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NM0119,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NM0122,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NM0123,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NM0124,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0477,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0480,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0481,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0486,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0488,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0489,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0496,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0501,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0522,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0523,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0526,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0531,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
NN0534,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
SP0039,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
SP0042,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
SP0065,Liming or Calcium Addition,pH.Method,pH.Prac,Junk data value accidently left in master template?,FALSE,"",""
