B.Code,value,table,field,issue,tabname,issue_addressed,addressed_by_whom,notes
AC0003,"E3, Lamto Natural Reserve",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0012,"KALRO, Njoro",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0021,"CIMMYT, El Batán",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0022,"Embrapa
Agropecuária Oeste",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0031,"Joint Aid Management Life (JAM-Life), Vilankulo",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0033,"JKUAT, Thika, Cambisol/JKUAT, Thika, Vertisol",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0039,75,Site.Out,Site.Slope.Perc,Extreme values detected in field (outside range: 0-50),,TRUE,Charity,The paper presents that slope value
AC0043,Fenotselam Research Center,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0080,Chitedze ARS,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0087,Verde Vigor S.A. coffee farm,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0088,Embrapa Cerrados,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0092,"Escola Superior de Agricultura Luiz de Queiroz, University of Sao Paulo",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0096,"Universidade Estadual do Centro-Oeste, Guarapuava",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0113,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Turrialba",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0116,"Centro de Investigaciones Agricolas del Noroeste, CIANO",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0119,"Rafael Fernandes Experimental Farm of the Federal Rural Semiarid University (UFERSA), Mossoro",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0148,"Rafael Fernandes Experimental Farm of the Federal Rural Semiarid University (UFERSA), Mossoro",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0156,"Escola Superior de Agricultura Luiz de Queiroz, University of Sao Paulo",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0162,"Research Farm, Federal Rural University of Pernambuco, Garanhuns",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AC0163,"Teaching, Research, and Extension (Selviria) Sao Pablo state University",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AF0003,Tygerhoek research farm,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AF0007.3,"IITA, Ibadan-3",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AF0007.4,"IITA, Ibadan-4",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
AF0007.5,"IITA, Ibadan-5",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0002,"Institute of Agricultural Research (IAR), Zaria",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0003,"Syferkuil Experimental Farm, Limpopo University",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0004,Ado Ekiti Exp2,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0007,Bako Agricultural Research Center,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
