B.Code,value,table,field,issue,variable,Site.ID,filename,issue_addressed,addressed_by_whom,notes
,"FUT, Minna",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
AC0043,Fenotselam Research Center,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
AC0158,"Sao Desiderio, Bahia",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
AC0168,"ICRISAT Sahelian Centre, Sadore",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
AF0007.4,"IITA, Ibadan-4",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
AF0007.5,"IITA, Ibadan-5",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0003,"Syferkuil Experimental Farm, Limpopo University",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0004,Soil.TN,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
CJ0007,Bako Agricultural Research Center,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0010,Fountainhill Estate farm,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0018,Embrapa Milho e Sorgo experimental station ,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0021,"Universidade Federal de Sergipe, Campus Rural",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0028,"IITA, Ibadan",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0062,"IDESSA, Institut des Savanes",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0075,Gimbichu District/Gudeya-Billa District ,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0077,Chembe,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0093,Sasiga district,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0096,"FUT, Akure",Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0097,Soil.SOM,Soil.Out,variable,"Amount is present, but unit is missing for value.",,,,FALSE,"",""
CJ0119,Ponta Grossa,Soil.Out,Site.ID,Missing value in compulsory field value.,,,,FALSE,"",""
CJ0125,"Agricultural Research Farm of the Faculty of Science and Technique, Niamey",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0168,"Authority Irrigation Site, Wushishi",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0168,"Irrigation Research Station, Kadawa",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0171,"ICRISAT, Sadore",Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0175,Ankazomiriotra_S1,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0175,Ankazomiriotra_S2,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
CJ0187,Nassoulou village D,Soil.Out,Site.ID,Check for multiple instance of same depth for same site,,,,FALSE,"",""
