B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0003,"Ivory Coast: 2003, E3, 1 - First/2003, E3, 2 - Second",Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0010,Cameroon: 2002L - Short/2002S - Long/2003L - Short/2003S - Long,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0029,Brazil: 2004cover - 2003-2004/2004 - 2003-2004/2005cover - 2004-2005/2005 - 2004-2005,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0034,Uganda: 2019A - 2019 1st season/2019B - 2019 2nd season,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0042,Kenya: 1997L - Long rains/2000s - Short rains/1997s - Short rains/2001L - Long rains/1998L - Long rains/2001s - Short rains/1998s - Short rains/2002L - Long rains/1999L - Long rains/2002s - Short rains/1999s - Short rains/2003L - Long rains/2000L - Long rains/2003s - Short rains,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0052,Benin: 2005A - Main/2005B - Minor,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0054,Togo: 1972A - 1st/1972B - 2nd/1973A - 1st/1973B - 2nd/1974A - 1st/1974B - 2nd/1975A - 1st/1975B - 2nd/1976A - 1st/1976B - 2nd/1977A - 1st/1977B - 2nd/1978A - 1st/1978B - 2nd/1979A - 1st/1979B - 2nd/1980A - 1st/1980B - 2nd/1981A - 1st/1981B - 2nd/1982A - 1st/1982B - 2nd/1983A - 1st/1983B - 2nd/1984A - 1st/1984B - 2nd/1985A - 1st/1985B - 2nd/1986A - 1st/1986B - 2nd/1987A - 1st/1987B - 2nd/1988A - 1st/1988B - 2nd/1989A - 1st/1989B - 2nd/1990A - 1st/1990B - 2nd/1991A - 1st/1991B - 2nd,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0057,Kenya: 2015A - NA/2015B - NA,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0067,Ethiopia: 2019dry - NA/2019rains - NA,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0074,Uganda: Wet - Wet/Early dry - Early dry/Late dry - Late dry,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0079,Kenya: 2014LR - 2014LR/2014SR - 2014SR,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0084,Benin: 1999A - NA/1999B - NA,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0107,Mauritius: 2017A - 1st cycle/2017B - 2nd cycle,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0121,Mexico: 2009R - rainy/2009D - dry/2011R - rainy/2011D - dry,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
AC0124,Uganda: 2010A - Long rains/2010B - Short rains,Time.Out,Time-Time.Season,"Check that the time sequence has been entered in ascending temporal order, if not reorder it.",FALSE,"",""
