B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0021,"CIMMYT, El Batán",Times.Clim,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0035,year1/year2/year1or2/year2or3,Time.Out,Time.Start.Year & Time.End.Year,"Character values for year start or end. Please convert unknown years to 9999.1, 9999.2, etc. conveying the ascending temporal sequence.",FALSE,"",""
AC0065,year1/year1 or year2,Time.Out,Time.Start.Year & Time.End.Year,"Character values for year start or end. Please convert unknown years to 9999.1, 9999.2, etc. conveying the ascending temporal sequence.",FALSE,"",""
AC0082,El Batán Experimental Estation of CIMMYT,Times.Clim,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0119,"Rafael Fernandes Experimental Farm of the Federal Rural Semiarid University (UFERSA), Mossoro",Times.Clim,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0161,Experimental Area of the University of Jatai,Times.Clim,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
CJ0003,2016/2017,Times.Clim,Time,"Duplicate rows exist in table for cols Site.ID, Time, B.Code.",FALSE,"",""
CJ0015,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, in Jaboticabal, São Paulo, Brazil",Times.Clim,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
CJ0081,Year 1/Year 2/Year 3/Year 1 or 2/Year 2 or 3/Year 3 or 4,Time.Out,Time.Start.Year & Time.End.Year,"Character values for year start or end. Please convert unknown years to 9999.1, 9999.2, etc. conveying the ascending temporal sequence.",FALSE,"",""
CJ0084,"Universidade do Oeste Paulista (Campus II experimental area), Presidente Prudente",Times.Clim,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
CJ0126,B N1..B N2..B N3..B N4..B N5..B N6..B N7..B N8..B N9/BS W1..BS W2..BS W3..BS W4..BS W5..BS W6..BS W7..BS W8..BS W9,Times.Clim,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
CJ0138,Year 1,Time.Out,Time.Start.Year & Time.End.Year,"Character values for year start or end. Please convert unknown years to 9999.1, 9999.2, etc. conveying the ascending temporal sequence.",FALSE,"",""
CJ0141,YEAR 1/YEAR 2,Time.Out,Time.Start.Year & Time.End.Year,"Character values for year start or end. Please convert unknown years to 9999.1, 9999.2, etc. conveying the ascending temporal sequence.",FALSE,"",""
CJ0184,Year 1,Time.Out,Time.Start.Year & Time.End.Year,"Character values for year start or end. Please convert unknown years to 9999.1, 9999.2, etc. conveying the ascending temporal sequence.",FALSE,"",""
DM0028,"Universidade Federal Rural do Semi-Árido, Mossoró-RN-Farm Fazenda Experimental",Times.Clim,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
JO0002,Year 1,Time.Out,Time.Start.Year & Time.End.Year,"Character values for year start or end. Please convert unknown years to 9999.1, 9999.2, etc. conveying the ascending temporal sequence.",FALSE,"",""
