B.Code,value,table,field,issue,parent_table,issue_addressed,addressed_by_whom,notes
AC0020,HC-F0..HC-F0 Ben..HC-F0 An..HC-F0 Ben2,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
AC0033,Vachellia Xanthophloea,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
AC0034,NT/SM/DT/CT,MT.Out,T.Name,Variety practice + crop selected does not merge with Var.Out tab.,,FALSE,"",""
AC0108,Acacia crassicarpa/Acacia leptocarpa/Benth/Leucaena pallida/SM/Senna siamea,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
AF0007.2,DS/TP/TP-2,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
CJ0003,Intercrop lab lab/intercrop maize/sole lab lab/sole maize,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
CJ0008,S50–25–0..S100–25–0..S150–25–0..S50–25–30..S100–25–30..S150–25–30/S50–37.5–0..S100–37.5–0..S150–37.5–0..S50–37.5–30..S100–37.5–30..S150–37.5–30/50–25–0..100–25–0..150–25–0..50–25–30..100–25–30..150–25–30/50–37.5–0..100–37.5–0..150–37.5–0..50–37.5–30..100–37.5–30..150–37.5–30,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
CJ0037,maize,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
CJ0120,Sow-No P_Soybean..suf-No P_Soybean,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
CJ0161,20p..FB-2018_20p..FB-2035_20p..FB-Murdoch_20p/30p..FB-3018_30p..FB-3035_30p..FB-Murdoch_30p/40p..FB-4018_40p..FB-4035_40p..FB-Murdoch_40p,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
HK0157,WITH TREE C/WITH TREE M/WITHOUT TREE C/WITHOUT TREE M,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
HK0202.1,GM,MT.Out,AF.Level.Name,Non-match for name in AF.Level.Name column.,AF.Out,FALSE,"",""
HK0274,GRS 15 M 0 F...GRS 15 M 150 F..GRS 15 M 300 F,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
JO0002,25% Ab Min Til Dol-49..25% Ab Trad Til Dol-49..25% Ab Min Til Cal-49..25% Ab Trad Til Cal -49,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
JO0002,CAL_2_49/CAL_3_49/CAL_4_49/DOL_2_49/DOL_3_49/DOL_4_49,MT.Out,pH.Level.Name,Non-match for name in pH.Level.Name column.,pH.Out,FALSE,"",""
JO0003,SR+0N+0W..SR+0N+LW..SR+0N+HW/SR+30N+0W..SR+30N+ LW..SR+30N+ HW/SR+60N+0W..SR+60N+ LW..SR+60N+ HW/SR+90N+0W..SR+90N+ LW..SR+90N+ HW/BA+0N+0W..BA+0N+LW..BA+0N+HW..C2+0N+0W..C2+0N+LW..C2+0N+HW..SR+0N+0W..SR+0N+LW..SR+0N+HW..ACR+0N+0W..ACR+0N+LW..ACR+0N+HW/BA+30N+30W..BA+30N+LW..BA+30N+HW..C2+30N+30W..C2+30N+LW..C2+30N+HW..SR+30N+30W..SR+30N+LW..SR+30N+HW..ACR+30N+30W..ACR+30N+LW..ACR+30N+HW/BA+60N+60W..BA+60N+LW..BA+60N+HW..C2+60N+60W..C2+60N+LW..C2+60N+HW..SR+60N+60W..SR+60N+LW..SR+60N+HW..ACR+60N+60W..ACR+60N+LW..ACR+60N+HW/BA+90N+90W..BA+90N+LW..BA+90N+HW..C2+90N+90W..C2+90N+LW..C2+90N+HW..SR+90N+90W..SR+90N+LW..SR+90N+HW..ACR+90N+90W..ACR+90N+LW..ACR+90N+HW,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
JO0004,3WKS+0..3WKS+2..3WKS+4..3WKS+6..3WKS+8..5WKS+0..5WKS+2..5WKS+4..5WKS+6..5WKS+8..7WKS+0..7WKS+2..7WKS+4..7WKS+6..7WKS+8..9WKS+0..9WKS+2..9WKS+4..9WKS+6..9WKS+8,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
JO0072,Millettia ferruginea/Olea welwitshii/Pouteria adolfi-friederici,MT.Out,AF.Level.Name,Non-match for name in AF.Level.Name column.,AF.Out,FALSE,"",""
JO0076,CP-CM-0_MONO..CP-CM-31_MONO..CP-CM-62_MONO,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
JO0100,NTNG (V)..NTG (V,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
JO0105,E1-PLANTING/E2-PLANTING,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
JO0111,N-Fert-40/N-Fert-80N,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
JO0114,0N,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
JO0122,GEB-Br/GEB-Rp/HUL-Br/HUL-Rp,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
JO0166,fCT_nCT..fP_nCT..fNK-17_nCT..fNPK_Nct,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,,FALSE,"",""
JO0212,Common bean/Maize/Maize int/U. ruziziensis Int,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
JO0213,Maize/Wheat,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
JO0214,Grass/Maize,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
JO0216,CB/PP/RICE,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
