B.Code,table,field,value,issue,issue_addressed,addressed_by_whom,notes
CJ0142,Var.Out,V.Product - V.Var,Okra - Unspecified local,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
CJ0185,Var.Out,V.Product - V.Var,Sorghum - TIEBILE,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
JO0065,Var.Out,V.Product - V.Var,Sorghum - Tieble,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
JO0122,Var.Out,V.Product - V.Var,Fava Bean - Local Variety,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
JO0144,Var.Out,V.Product - V.Var,Yam - Pona,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
JO0188,Var.Out,V.Product - V.Var,Wheat - DUMA,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
NM0024,Var.Out,V.Product - V.Var,Maize - CMS 8501,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
NM0033,Var.Out,V.Product - V.Var,Maize - Criolla,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
NM0120,Var.Out,V.Product - V.Var,Banana Sweet - Dwarf Cavendish,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
NM0131,Var.Out,V.Product - V.Var,Maize - Local check-E,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
NM0131,Var.Out,V.Product - V.Var,Maize - Local check-I,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
NN0416,Var.Out,V.Product - V.Var,Hibiscus - Local,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
NN0428,Var.Out,V.Product - V.Var,Pigeon Pea - Unspecified local,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
NN0464,Var.Out,V.Product - V.Var,Coffee - Bourbon,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
SP0007,Var.Out,V.Product - V.Var,Maize - Criollo Bolita,"Type is local, but not unimproved, possible error (but could be correct).",FALSE,"",""
