B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0017,FP/CARP,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS allowed, check comparisons field is correct (many conservation ag experiments where this is ok).",FALSE,"",""
AC0025,tillage,Weed.Out,W.Level.Name,"One weeding practice exists and comparison is NOT allowed, please check that the comparisons field is correctly assigned.",FALSE,"",""
AC0099,twice/four/clean,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS allowed, check comparisons field is correct (many conservation ag experiments where this is ok).",FALSE,"",""
AC0113,OM/OI/CM,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS allowed, check comparisons field is correct (many conservation ag experiments where this is ok).",FALSE,"",""
AC0127,NT/CT,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS allowed, check comparisons field is correct (many conservation ag experiments where this is ok).",FALSE,"",""
AC0140,CT/RT and NT,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
AC0169,CA/CT,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
CJ0026,CONVENTIONAL/CA,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
CJ0027,CA/CP,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS allowed, check comparisons field is correct (many conservation ag experiments where this is ok).",FALSE,"",""
CJ0045,Hand hoe/Glyphosate,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS allowed, check comparisons field is correct (many conservation ag experiments where this is ok).",FALSE,"",""
CJ0046,LW/HW,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS allowed, check comparisons field is correct (many conservation ag experiments where this is ok).",FALSE,"",""
CJ0064,d15/d0,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
CJ0075,CP/NT,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
CJ0131,2016/2017-1,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
CJ0141,RR-CT/RR-MT/RC-CT-R/RC-MT-R/R0-CT-R/R0-MT-R/RO-CT-O/RO-MT-O,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS allowed, check comparisons field is correct (many conservation ag experiments where this is ok).",FALSE,"",""
CJ0188,FP/B/60n/120n_60pk,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS allowed, check comparisons field is correct (many conservation ag experiments where this is ok).",FALSE,"",""
HK0157,maize/cowpea,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
HK0313,CP/HRS,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
JO0014,50 DWACE/WF,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
JO0024,NT/CAR/CRT,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
JO0079,Epamig/DAG,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
JO0107,TS-DS-Weed/DMC,Weed.Out,W.Level.Name,">1 weeding practices exist and comparison IS NOT allowed, check comparisons field is correct.",FALSE,"",""
