B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0021,"CIMMYT, El Batán",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0024,El Batán Experimental Estation of CIMMYT,PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0031,"Joint Aid Management Life (JAM-Life), Vilankulo",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0082,El Batán Experimental Estation of CIMMYT,PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0119,"Rafael Fernandes Experimental Farm of the Federal Rural Semiarid University (UFERSA), Mossoro",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0121,El Batán Experimental Estation of CIMMYT,PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0145,"Experimental Area of the Universidade Federal de Santa Catarina (UFSC), Curitibanos campus",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0149,El Batán Experimental Estation of CIMMYT,PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0155,"Experimental Area of the Universidade Federal de Santa Catarina (UFSC), Curitibanos campus",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
AC0161,Experimental Area of the University of Jatai,PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
CJ0015,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, in Jaboticabal, São Paulo, Brazil",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
CJ0071,"Experimental Area of the Universidade Federal de Santa Catarina (UFSC), Curitibanos campus",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
CJ0084,"Universidade do Oeste Paulista (Campus II experimental area), Presidente Prudente",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
CJ0087,"Teaching, Research and Extension Farm of the Faculty of Engineering, São Paulo State University (UNESP), Ilha Solteira Campus, São Paulo",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
CJ0090,Experimental field of Embrapa Hortaliças,PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
CJ0104,"The experimental farm of the Faculty of Agriculture at Moshtohor, Benha University",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
DM0023,El Batán Experimental Estation of CIMMYT,PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
DM0028,"Universidade Federal Rural do Semi-Árido, Mossoró-RN-Farm Fazenda Experimental",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
JO0004,University of Calabar Teaching & Research Farm,PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"",""
