B.Code,Project,accepted,B.DOI
AC0001,ACDC,FALSE,""
AC0002,ACDC,TRUE,10.3390/agriengineering3020025
AC0003,ACDC,TRUE,10.1007/s10113-019-01511-w
AC0004,ACDC,FALSE,""
AC0005,ACDC,FALSE,""
AC0006,ACDC,FALSE,""
AC0007,ACDC,TRUE,10.1071/EA05274
AC0008,ACDC,FALSE,""
AC0009,ACDC,TRUE,10.1007/s10705-017-9902-6
AC0010,ACDC,TRUE,10.1079/BER2005373
AC0011,ACDC,TRUE,10.1007/s10457-010-9324-9
AC0012,ACDC,TRUE,10.1111/j.1744-7348.2008.00268.x
AC0013,ACDC,TRUE,10.1007/s10705-018-9921-y
AC0014,ACDC,TRUE,10.1016/j.fcr.2017.07.020
AC0015,ACDC,TRUE,10.2134/agronj2018.05.0331
AC0016,ACDC,TRUE,10.1007/s42729-022-00942-5
AC0017,ACDC,TRUE,10.1016/j.heliyon.2021.e06636
AC0018,ACDC,TRUE,10.1007/s10457-019-00405-4
AC0019,ACDC,TRUE,10.1016/j.tfp.2022.100245
AC0020,ACDC,TRUE,10.3929/ethz-b-000504430
AC0021,ACDC,TRUE,10.1016/j.apsoil.2015.12.004
AC0022,ACDC,TRUE,""
AC0023,ACDC,TRUE,10.2134/agronj2016.01.0024
AC0024,ACDC,TRUE,10.1016/j.eja.2008.10.005
AC0025,ACDC,TRUE,10.3390/agronomy9120845
AC0026,ACDC,TRUE,10.1590/0100-67622016000400011
AC0027,ACDC,TRUE,10.3390/agronomy9040189
AC0028,ACDC,TRUE,10.1007/s10457-019-00450-z
AC0029,ACDC,TRUE,10.2134/agronj2009.0055
AC0030.1,ACDC,TRUE,10.1017/S0014479718000297
AC0030.2,ACDC,TRUE,10.1017/S0014479718000297
AC0031,ACDC,TRUE,10.3390/agronomy13051367
AC0032,ACDC,TRUE,10.1007/s11104-012-1332-2
AC0033,ACDC,TRUE,10.1080/14728028.2019.1685410
AC0034,ACDC,TRUE,10.1016/j.heliyon.2021.e06308
AC0035,ACDC,TRUE,10.1080/23311932.2020.1785778
AC0036,ACDC,TRUE,""
AC0037,ACDC,TRUE,10.1002/agj2.20016
AC0038,ACDC,TRUE,10.1080/01904167.2022.2064300
AC0039,ACDC,TRUE,10.1007/s10457-011-9452-x
AC0040,ACDC,TRUE,10.2134/agronj2010.0359
AC0041,ACDC,TRUE,10.1007/s10705-006-9033-y
AC0042,ACDC,TRUE,10.1007/s10457-009-9249-3
AC0043,ACDC,TRUE,10.1371/journal.pone.0257203
AC0044,ACDC,TRUE,""
AC0045,ACDC,TRUE,10.1111/j.1439-0418.2006.01053.x
AC0046,ACDC,TRUE,10.1080/03650340.2019.1669786
AC0047.1,ACDC,TRUE,10.1017/S1742170521000442
AC0047.2,ACDC,TRUE,10.1017/S1742170521000442
AC0048,ACDC,TRUE,10.1016/j.geoderma.2021.115523
AC0049,ACDC,FALSE,""
AC0050,ACDC,TRUE,10.1155/2023/1882121
AC0051,ACDC,TRUE,10.3390/su14116519
AC0052,ACDC,TRUE,10.1016/j.cropro.2012.08.016
AC0053,ACDC,TRUE,10.3390/insects12080665
AC0054,ACDC,TRUE,10.1016/j.fcr.2015.04.019
AC0055,ACDC,TRUE,10.5897/AJAR10.1135
AC0056,ACDC,TRUE,10.1016/j.agee.2018.09.012
AC0057,ACDC,TRUE,10.1007/s10841-021-00330-x
AC0058,ACDC,TRUE,10.1016/j.heliyon.2021.e06074
AC0059,ACDC,FALSE,""
AC0060,ACDC,TRUE,10.1071/SR20007
AC0061,ACDC,TRUE,10.1080/02571862.2021.1959660
AC0062,ACDC,TRUE,10.1155/2023/6307673
AC0063,ACDC,TRUE,10.1007/s11104-022-05325-4
AC0064,ACDC,TRUE,10.3390/agronomy12051118
AC0065,ACDC,TRUE,10.1080/00103624.2019.1648663
AC0066,ACDC,FALSE,""
AC0067,ACDC,TRUE,10.3390/agronomy11010017
AC0068,ACDC,TRUE,10.1111/1477-9552.12353
AC0069,ACDC,TRUE,10.1016/j.ecolecon.2017.05.033
AC0070,ACDC,TRUE,10.1017/S1742170521000028
AC0071,ACDC,FALSE,""
AC0072,ACDC,TRUE,10.2134/agronj2019.04.0292
AC0073,ACDC,TRUE,10.1016/j.sciaf.2019.e00129
