B.Code,F.Level.Name,F.Type,F.Type2,F.Amount,F.Amount_raw,F.I.Unit,F.Unit,F.Unit_raw,F.NPK,F.N,F.P,F.K,F.NI,N_sum,F.PI,F.P2O5,P_sum,F.KI,F.K2O,K_sum
DK0033,30N + 14P,Ammonium Nitrate,Ammonium Nitrate,12.4,30,kg/ha,kg/ha,% of Total,,0.335,0,0,30,29.8935,14,,14.002576,10.956,13.2,13.32814
DK0033,30N + 14P,Ammonium Nitrate,Ammonium Nitrate,16.5,40,kg/ha,kg/ha,% of Total,,0.335,0,0,30,29.8935,14,,14.002576,10.956,13.2,13.32814
DK0033,30N + 14P,Ammonium Nitrate,Ammonium Nitrate,12.4,30,kg/ha,kg/ha,% of Total,,0.335,0,0,30,29.8935,14,,14.002576,10.956,13.2,13.32814
EO0020,Maize fert-CP,Ammonium Nitrate,Ammonium Nitrate,100,100,kg/ha,kg/ha,kg/ha,,0.335,0,0,13,80.2,9.9,,10.0716,9.6,,9.5865
EO0020,Maize fert-CP,Ammonium Nitrate,Ammonium Nitrate,100,100,kg/ha,kg/ha,kg/ha,,0.335,0,0,13,80.2,9.9,,10.0716,9.6,,9.5865
NJ0107,Base,Ammonium Nitrate,Ammonium Nitrate,396,396,kg/ha,kg/ha,kg/ha,,0.335,0,0,132.66,132.66,37.6704,86.4,86.4,41.334,49.8,49.8
AG0118,50N + PK,Ammonium Phosphate,Diammonium Phosphte,,100,kg/ha,% of Total,% of Total,,,,,50,0,,,0,,,0
AG0118,100N + PK,Ammonium Phosphate,Diammonium Phosphte,,100,kg/ha,% of Total,% of Total,,,,,100,0,,,0,,,0
AG0118,150N + PK,Ammonium Phosphate,Diammonium Phosphte,,100,kg/ha,% of Total,% of Total,,,,,150,0,,,0,,,0
AG0118,200N + PK,Ammonium Phosphate,Diammonium Phosphte,,100,kg/ha,% of Total,% of Total,,,,,200,0,,,0,,,0
AN0108,50% Urea + 50% AS + PK,Ammonium Sulphate,Ammonium Sulphate,,,kg/ha,,,,0.21,0,0,60,0,26.16,60,0,49.8,60,0
AN0122,7.1,Ammonium Sulphate,Ammonium Sulphate,,,kg/ha,,,,0.21,0,0,7.1,0,33.6,,33.606,,,0
AN0122,14.1,Ammonium Sulphate,Ammonium Sulphate,,,kg/ha,,,,0.21,0,0,14.1,0,33.6,,33.588,,,0
