B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
HK0044,Base,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
HK0066,Base/0 MSK/50 MSK/100 MSK/150 MSK/200 MSK,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
HK0102,Base/Diet Con/PKM1/PKM2/PKM3/PKM4/PKM5,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
HK0346,HM Bundle3/FM Bundle3/FHM Bundle3,Animals.Out,A.Level.Name,"Possible error, there is more than 1 control present feed addition practice(s).",FALSE,"",""
JS0094,Base,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
JS0201,Base/NMMB/Con,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
JS0201,NMMB/NMMB,Animals.Out,A.Level.Name,"Possible error, there is more than 1 control present feed addition practice(s).",FALSE,"",""
JS0210,Base/No Marejea Hay/15% Marejea Hay/30% Marejea Hay/45% Marejea Hay,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
JS0215,Base,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
JS0215,Bundle 1 MB + FM/Bundle 1 MO + FM,Animals.Out,A.Level.Name,"Possible error, there is more than 1 control present feed addition practice(s).",FALSE,"",""
JS0269,Base,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
JS0289,Base/Teff + 150 g Wheat Bran/Teff + 200 g L. pallida/Teff + 400 g L. pallida/Teff + 200g S. Sesban/Teff + 400 g S. Sesban,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
LM0113,Base/1/2/3/4,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
LM0117,Base/Group 3,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
LM0117,Group 4 Feed Addition,Animals.Out,A.Level.Name,"Possible error, there is more than 1 control present feed addition practice(s).",FALSE,"",""
LM0136,Base/14% Crude Protein/16% Crude Protein/18% Crude Protein/20% Crude Protein,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
LM0151,Base/Stover Con/Gliricidia1/Gliricidia2,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
LM0151,Gliricidia1/Gliricidia2/Gliricidia1/Gliricidia2,Animals.Out,A.Level.Name,"Possible error, there is more than 1 control present feed addition practice(s).",FALSE,"",""
LM0227,Base,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
LM0228,Base/Napier Con,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
NN0092,Base,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
NN0107,Base,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
NN0109,Base,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
NN0137,Base/DGSM 0,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
NN0156,Whole-grain ,Animals.Out,A.Level.Name,"Possible error, an animal diet has no associated practices.",FALSE,"",""
NN0204,Untreated low/Untreated med/Untreated high,Animals.Out,A.Level.Name,"Possible error, an animal diet has no associated practices.",FALSE,"",""
NN0207,Base/25g Unchopped Sorghum Stover/25g Chopped Sorghum Stover/50g Unchopped Sorghum Stover/50g Chopped Sorghum Stover,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
NN0244,Base,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
NN0272.1,Base/Control/SEPD/SPVD/SEP + SPV,Animals.Out,A.Level.Name,Duplicate value in unique field.,FALSE,"",""
