B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
HK0026,Diet 1  Male...Diet 1 Female/Diet 2 Male...Diet 2 Female/Diet 3 Male...Diet 3 Female/Diet 4 Male...Diet 4 Female/Diet 5 Male...Diet 5 Female,MT.Out,T.Name,"Aggregated treatments appear to be not aggregated across any named practice level. Typically this is male/female or age stage groupings, which is acceptable. Check if names indicate the aggregation should be across practice levels indicating a issue. Errors can occur if structuring practices are not correctly defined.",FALSE,"",""
HK0044.1,T1 Barrows...T1 Gilt/T2 Barrows...T2  Gilt/T3 Barrows...T3  Gilt/T4 Barrows...T4  Gilt,MT.Out,T.Name,"Aggregated treatments appear to be not aggregated across any named practice level. Typically this is male/female or age stage groupings, which is acceptable. Check if names indicate the aggregation should be across practice levels indicating a issue. Errors can occur if structuring practices are not correctly defined.",FALSE,"",""
HK0118,TM4,MT.Out,T.Name,"Duplicate rows exist in table for cols: P.Product, T.Control, T.Reps, T.Animals, T.Start.Year, T.Start.Season, A.Level.Name, AF.Level.Name, V.Level.Name, O.Level.Name, C.Level.Name, B.Code.",FALSE,"",""
HK0260,T D1 Con Breed 1...T D1 Con Breed 2/T D2 Breed 1...T D2 Breed 2/T D3 Breed 1...T D3 Breed 2/T D4 Breed 1...T D4 Breed 2,MT.Out,T.Name,"Aggregated treatments appear to be not aggregated across any named practice level. Typically this is male/female or age stage groupings, which is acceptable. Check if names indicate the aggregation should be across practice levels indicating a issue. Errors can occur if structuring practices are not correctly defined.",FALSE,"",""
HK0270,T1  Nkole*Jersey..T1 Tuli* Jersey/T2  Nkone*Jersey..T2 Tuli*Jersey/T1 Nkole Control..T1 Tuli Control/T1. Nkone*Jersey Con..T1 Tuli*Jersey Con,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,FALSE,"",""
HK0270,T2 Nkone*Jersey Sup.,MT.Out,T.Name,"Duplicate rows exist in table for cols: P.Product, T.Control, T.Reps, T.Animals, T.Start.Year, T.Start.Season, A.Level.Name, AF.Level.Name, V.Level.Name, O.Level.Name, C.Level.Name, B.Code.",FALSE,"",""
HK0270,T2 Tuli*Jesey Sup...T2 Nkone*Jersey Sup.,MT.Out,T.Name,"Aggregated treatments appear to be not aggregated across any named practice level. Typically this is male/female or age stage groupings, which is acceptable. Check if names indicate the aggregation should be across practice levels indicating a issue. Errors can occur if structuring practices are not correctly defined.",FALSE,"",""
HK0337,T0 SEA*N..T66 SEA*N..T100 SEA*N/T 0 SEA..T0 SEA*N,MT.Out,T.Name,One or more component names of aggregated treatment name are missing.,FALSE,"",""
JS0094.1,T D1 Con Experiment1 FEMALE...T D1 Con Experiment1 MALE/T D2 SHC1 Experiment1 FEMALE...T D2 SHC1 Experiment1 MALE/T D3 SHC2 Experiment1 FEMALE...T D3 SHC2 Experiment1 MALE/T D4 SHC3 Experiment1 FEMALE...T D4 SHC3 Experiment1 MALE/T D5 SHC4 Experiment1 FEMALE...T D5 SHC4 Experiment1 MALE,MT.Out,T.Name,"Aggregated treatments appear to be not aggregated across any named practice level. Typically this is male/female or age stage groupings, which is acceptable. Check if names indicate the aggregation should be across practice levels indicating a issue. Errors can occur if structuring practices are not correctly defined.",FALSE,"",""
JS0094.2,T D1 Con Experiment2 Male...T D1 Con Experiment2 Female/T D2 SHC1 Experiment2 Male...T D2 SHC1 Experiment2 Female/T D3 SHC2 Experiment2 Male...T D3 SHC2 Experiment2 Female/T D4 SHC3 Experiment2 Male...T D4 SHC3 Experiment2 Female,MT.Out,T.Name,"Aggregated treatments appear to be not aggregated across any named practice level. Typically this is male/female or age stage groupings, which is acceptable. Check if names indicate the aggregation should be across practice levels indicating a issue. Errors can occur if structuring practices are not correctly defined.",FALSE,"",""
