value,B.Code,table,field,issue,issue_addressed,addressed_by_whom,notes
% DM,LM0227.2,Out.Out,Out.Unit,"Unexpected units, perhaps error or incomplete, used with feed intake outcome.",FALSE,"",""
%DM kg BW/individual/day,JS0115,Out.Out,Out.Unit,"Unexpected units, perhaps error or incomplete, used with feed intake outcome.",FALSE,"",""
Feed Intake..g/d/individual,JS0177,Out.Out,Out.Code.Joined,Duplicate value in unique field.,FALSE,"",""
Feed Intake..g/d/individual,JS0177,Out.Out,Out.Code.Joined,Exact Duplicate rows in table,FALSE,"",""
Feed Intake..g/day/individual,NN0201,Out.Out,Out.Code.Joined,Duplicate value in unique field.,FALSE,"",""
Feed Intake..g/day/individual,NN0201,Out.Out,Out.Code.Joined,Exact Duplicate rows in table,FALSE,"",""
Gross Return..ETB/individual/day,EO0041,Out.Out,Out.Code.Joined,Duplicate value in unique field.,FALSE,"",""
Gross Return..ETB/individual/day,EO0041,Out.Out,Out.Code.Joined,Exact Duplicate rows in table,FALSE,"",""
Meat Yield..kgt/individual..16/Weight Gain..g/individual/day..16,NN0236,Out.Out,Out.Code.Joined,Duplicate value in unique field.,FALSE,"",""
Meat Yield..kgt/individual..16/Weight Gain..g/individual/day..16,NN0236,Out.Out,Out.Code.Joined,Exact Duplicate rows in table,FALSE,"",""
Nitrogen (Apparent Efficiency),HK0006/HK0026/HK0033/HK0108/HK0143/HK0182/HK0329/JS0140/JS0197/JS0209/JS0210.1/JS0211/JS0215.1/JS0261/JS0263/JS0265/JS0269.1/JS0281/JS0289.1/JS0289.2/JS0292/JS0311/JS0343/JS0344/JS0349/JS0350/LM0163/LM0229/LM0297/NN0119.2/NN0189/NN0316,Out.Out,Out.Subind,Outcome not found in master codes.,FALSE,"",""
Reproductive Yield..Number of kids/all animals in the replicate,LM0024.1,Out.Out,Out.Code.Joined,Duplicate value in unique field.,FALSE,"",""
Reproductive Yield..Number of kids/all animals in the replicate,LM0024.1,Out.Out,Out.Code.Joined,Exact Duplicate rows in table,FALSE,"",""
Unspecifed,LM0138,Out.Out,Out.WG.Start,Non-numeric value in numeric field.,FALSE,"",""
Weight Gain..g/day..11.83/Weight Gain..g/day..12.33/Meat Yield..kg..11.83/Meat Yield..kg..12.33,NN0106,Out.Out,Out.Code.Joined,Duplicate value in unique field.,FALSE,"",""
Weight Gain..g/day..12.33/Weight Gain..g/day..11.83/Meat Yield..kg..12.33/Meat Yield..kg..11.83,NN0106,Out.Out,Out.Code.Joined,Exact Duplicate rows in table,FALSE,"",""
Weight Gain..g/day..15.4/Meat Yield..g..15.4,NN0110.1,Out.Out,Out.Code.Joined,Duplicate value in unique field.,FALSE,"",""
Weight Gain..g/day..15.4/Meat Yield..g..15.4,NN0110.1,Out.Out,Out.Code.Joined,Exact Duplicate rows in table,FALSE,"",""
Weight Gain..g/individual/d..21.75/Meat Yield..kg/individual..21.75,LM0016,Out.Out,Out.Code.Joined,Duplicate value in unique field.,FALSE,"",""
Weight Gain..g/individual/d..21.75/Meat Yield..kg/individual..21.75,LM0016,Out.Out,Out.Code.Joined,Non-unique Out.Code.Joined values due to Out.WG.Days values being missed in Out.Code.Joined name generation.,FALSE,"",""
Weight Gain..g/individual/day..15.5/Weight Gain..g/individual/day..15.6/Meat Yield..kg/individual..15.5/Meat Yield..kg/individual..15.6,NN0212,Out.Out,Out.Code.Joined,Duplicate value in unique field.,FALSE,"",""
