B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
HK0044,Pub.Out = HK0044 Filename = HK0044.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
HK0044,Pub.Out = HK0044 Filename = HK0044.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
HK0066,Pub.Out = HK0066 Filename = HK0066.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
HK0066,Pub.Out = HK0066 Filename = HK0066.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
HK0102,Pub.Out = HK0102 Filename = HK0102.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
HK0102,Pub.Out = HK0102 Filename = HK0102.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0094,Pub.Out = JS0094 Filename = JS0094.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0094,Pub.Out = JS0094 Filename = JS0094.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0201,Pub.Out = JS0201 Filename = JS0201.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0201,Pub.Out = JS0201 Filename = JS0201.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0210,Pub.Out = JS0210 Filename = JS0210.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0210,Pub.Out = JS0210 Filename = JS0210.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0215,Pub.Out = JS0215 Filename = JS0215.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0215,Pub.Out = JS0215 Filename = JS0215.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0269,Pub.Out = JS0269 Filename = JS0269.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0269,Pub.Out = JS0269 Filename = JS0269.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0289,Pub.Out = JS0289 Filename = JS0289.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
JS0289,Pub.Out = JS0289 Filename = JS0289.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0113,Pub.Out = LM0113 Filename = LM0113.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0113,Pub.Out = LM0113 Filename = LM0113.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0117,Pub.Out = LM0117 Filename = LM0117.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0117,Pub.Out = LM0117 Filename = LM0117.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0117,Pub.Out = LM0117 Filename = LM0117.3,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0136,Pub.Out = LM0136 Filename = LM0136.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0136,Pub.Out = LM0136 Filename = LM0136.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0151,Pub.Out = LM0151 Filename = LM0151.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0151,Pub.Out = LM0151 Filename = LM0151.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0227,Pub.Out = LM0227 Filename = LM0227.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0227,Pub.Out = LM0227 Filename = LM0227.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0228,Pub.Out = LM0228 Filename = LM0228.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0228,Pub.Out = LM0228 Filename = LM0228.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
LM0277,Pub.Out = LM0277 Filename = LM0277.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0092,Pub.Out = NN0092 Filename = NN0092.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0092,Pub.Out = NN0092 Filename = NN0092.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0107,Pub.Out = NN0107 Filename = NN0107.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0107,Pub.Out = NN0107 Filename = NN0107.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0109,Pub.Out = NN0109 Filename = NN0109.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0109,Pub.Out = NN0109 Filename = NN0109.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0137,Pub.Out = NN0137 Filename = NN0137.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0137,Pub.Out = NN0137 Filename = NN0137.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0137,Pub.Out = NN0137 Filename = NN0137.3,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0137,Pub.Out = NN0137 Filename = NN0137.4,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0191,Pub.Out = NN0191 Filename = NN0191.2,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
NN0207,Pub.Out = NN0207 Filename = NN0207.1,Pub.Out,B.Code,"Potential issues with study code, it does not match the filename.",FALSE,"",""
