B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AG0018,Makoholi,Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
AG0087,University of Gezira (RDEC),Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
AN0020,Idemili North LGA,Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
AN0027,"NRC, Dokki, Cairo/Cairo University, Agricultural Experimental Station",Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
AN0058,KALRO Naivasha,Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
EO0047,KALRO Naivasha,Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
HK0011,"University of Ibadan, Ibadan",Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
HK0029,"University of Ibadan, Ibadan",Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
HK0067,"University of Ibadan, Ibadan",Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
HK0210,LUANAR Bunda College Aquaculture Ponds,Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
JS0115,"Experimental Farm of Department of Animal Production, College of Agricultural Science, El-Arish",Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
JS0123,"NRC, Dokki, Cairo",Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
JS0201.1,"SUA Farm, Morogoro (Dairy)",Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
JS0214,"SUA Farm, Morogoro (Dairy)",Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
JS0249,Woreta TVET College,Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
JS0269.2,Demballa Wachu,Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
JS0270,Demballa Wachu,Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
JS0299,"Central Animal Service, Faculty of Health Sciences, University of the Witwatersrand.",Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
JS0301,"Zenzelima Campus, Bahir Dar University",Site.Out,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,FALSE,"",""
