B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AN0029,Growth Promotor-multivitamins,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
EO0057/EO0057/HK0108/HK0160/HK0177/HK0182/JS0076/JS0079.1/JS0176/JS0177/JS0292/JS0306/JS0309/JS0341/JS0343/JS0344/JS0418/LM0115/LM0289/LM0322/NN0108/NN0119.2/NN0394,Antibiotic-unspecified antibiotic,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
HK0177/HK0182/LM0019/LM0019/LM0019/NN0119.2,Unspecified-unspecified unspecified,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
JS0080,"Antibiotic-Bremer Pharma GMBH, Germany",Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
JS0176,2x/week,Chems.Out,C.Applications,Non-numeric value in numeric field.,FALSE,"",""
JS0176,Mastistis Infected Cattle,Chems.Code/Chems.Out,C.Level.Name,Mismatch in field value between parent and child tables.,FALSE,"",""
JS0211,Fortnightly,Chems.Out,C.Applications,Non-numeric value in numeric field.,FALSE,"",""
JS0231,Acaricide-Agricura,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
JS0231,Antihelmintic-Logos Agvet,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
JS0293,2-WeekInterval,Chems.Out,C.Amount,Non-numeric value in numeric field.,FALSE,"",""
JS0314,Acaricide-Zoetis Inc,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
LM0019/NN0108,Antiprotozoal-unspecified antiprotozoal,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
LM0227.1,Base,Chems.Out,C.Level.Name,"Amount is present, but unit is missing for C.Amount.",FALSE,"",""
LM0227.2,Base,Chems.Out,C.Level.Name,"Amount is present, but unit is missing for C.Amount.",FALSE,"",""
LM0238,3/1.5/0.385,Chems.Out,C.AI.Amount,Non-numeric value in numeric field.,FALSE,"",""
LM0294,Quaterly/biannually,Chems.Out,C.Applications,Non-numeric value in numeric field.,FALSE,"",""
LM0297,Acaricide-Ectoparasite 30,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
LM0339,Unspecified-Lacticon-S,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
NN0081,Base,Chems.Out,C.Level.Name,Missing value in compulsory field C.Name.,FALSE,"",""
NN0119.2,Glucose-unspecified glucose,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
NN0207.1,Base,Chems.Out,C.Level.Name,Missing value in compulsory field C.Name.,FALSE,"",""
NN0233,Growth Promotor-Multi-Vitamin-Unspecified,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
NN0233/NN0233/NN0233/NN0233/NN0233/NN0233/NN0233/NN0233/NN0233/NN0315,Vitamin Injection-unspecified vitamin injection,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
NN0374,Antiparasitic-GlaxoSmithKline,Chems.Out,C.Name,No match with master codes chems tab.,FALSE,"",""
