B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
HK0011,,Ani.Out,,Feed addition is present but there appears to be no valid comparisons.,FALSE,"",""
HK0011,,Ani.Out,,Feed addition is present but there appears to be no valid comparisons.,FALSE,"",""
HK0138,Urea Straw Bundle 1/Urea Straw + Haulms Bundle 3,MT.Out,T.Name,No Comparisons available in treatments that have no addition or substitution role (i.e. will not be used in comparisons).,FALSE,"",""
NN0021,,Ani.Out,,Feed addition is present but there appears to be no valid comparisons.,FALSE,"",""
NN0021,,Ani.Out,,Feed addition is present but there appears to be no valid comparisons.,FALSE,"",""
NN0107.2,Pure White Fulani Calves/White Fulani***Brown Swiss Cross bred Calves,MT.Out,T.Name,No Comparisons available in treatments that have no addition or substitution role (i.e. will not be used in comparisons).,FALSE,"",""
NN0207.1,T1 25g Unchopped/T2 50g Unchopped/T3 25g Chopped/T4 50g Chopped,MT.Out,T.Name,No Comparisons available in treatments that have no addition or substitution role (i.e. will not be used in comparisons).,FALSE,"",""
NN0207.2,T1 25g Unchopped/T2 50g Unchopped/T3 25g Chopped/T4 50g Chopped,MT.Out,T.Name,No Comparisons available in treatments that have no addition or substitution role (i.e. will not be used in comparisons).,FALSE,"",""
NN0280.2,,Ani.Out,,Feed addition is present but there appears to be no valid comparisons.,FALSE,"",""
NN0280.2,,Ani.Out,,Feed addition is present but there appears to be no valid comparisons.,FALSE,"",""
NN0293,T1/T2,MT.Out,T.Name,No Comparisons available in treatments that have no addition or substitution role (i.e. will not be used in comparisons).,FALSE,"",""
NN0376,T1/T2,MT.Out,T.Name,No Comparisons available in treatments that have no addition or substitution role (i.e. will not be used in comparisons).,FALSE,"",""
