B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
"",NA - NA,era_master_sheet/ani_diets,D.Item-D.Item.Root.Comp.Proc_Major,Multiple rows for unique value of D.Item exist.,FALSE,"",""
"",NA - NA,era_master_sheet/ani_diets,D.Item-D.Item.Root.Comp.Proc_Major,Multiple rows for unique value of D.Item exist.,FALSE,"",""
"",acacia dealbata - Acacia dealbata,era_master_sheet/ani_diets,D.Item-D.Item.Root.Comp.Proc_Major,Multiple rows for unique value of D.Item exist.,FALSE,"",""
"",acacia dealbata - Acacia dealbata Leaves,era_master_sheet/ani_diets,D.Item-D.Item.Root.Comp.Proc_Major,Multiple rows for unique value of D.Item exist.,FALSE,"",""
"",katambora hay - Chloris gayana Dried,era_master_sheet/ani_diets,D.Item-D.Item.Root.Comp.Proc_Major,Multiple rows for unique value of D.Item exist.,FALSE,"",""
"",katambora hay - Chloris gayana Dried,era_master_sheet/ani_diets,D.Item-D.Item.Root.Comp.Proc_Major,Multiple rows for unique value of D.Item exist.,FALSE,"",""
"",luscious pasture - Lupinus Pasture,era_master_sheet/ani_diets,D.Item-D.Item.Root.Comp.Proc_Major,Multiple rows for unique value of D.Item exist.,FALSE,"",""
"",luscious pasture - Pasture,era_master_sheet/ani_diets,D.Item-D.Item.Root.Comp.Proc_Major,Multiple rows for unique value of D.Item exist.,FALSE,"",""
"",morus alba - Morus alba,era_master_sheet/ani_diets,D.Item-D.Item.Root.Comp.Proc_Major,Multiple rows for unique value of D.Item exist.,FALSE,"",""
"",morus alba - Morus alba Leaves,era_master_sheet/ani_diets,D.Item-D.Item.Root.Comp.Proc_Major,Multiple rows for unique value of D.Item exist.,FALSE,"",""
AG0018,Salt = Salt Lick/Salt,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
AG0042,Gamba grass,Animals.Diet.Comp,D.Item,No matching value in diet description table.,FALSE,"",""
AG0042,Sweet orange peels = Orange Dried/Orange Peels Drained Dried Fermented Ground,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
AG0087,Sun-dried Fish Meal,Animals.Diet.Comp,D.Item,No matching value in diet description table.,FALSE,"",""
AN0021,Rice Husk = Rice Husk/Rice Husk Urea Treated(30d covered) Dried(3d),Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
DK0001,133..5/Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
DK0001,Sweet Potato Vine Wilted = Sweet Potato Vine Wilted/Sweet Potato Vine Ensiled Wilted,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
DK0037,MCC/MCM/Base,Animals.Diet,A.Level.Name,Rows in have no diet item selected and diet type is not Entire Diet or a diet group value.,FALSE,"",""
EO0032,Wheat straw,Animals.Diet.Comp,D.Item,No matching value in diet description table.,FALSE,"",""
EO0041,Maize stover,Animals.Diet.Comp,D.Item,No matching value in diet description table.,FALSE,"",""
EO0067,Unspecified(duringtheday),Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
EO0078,NA,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
HK0006,NA,Animals.Diet,D.Item,Exact Duplicate rows in table,FALSE,"",""
HK0029,Diet A (No Cassava Peals)/Diet B 50,Animals.Diet.Digest,D.Item,"Focus of digestibility is diet, but values across the diet item or diet sum to more than 100 for % units or more than 1 for g/kg units",FALSE,"",""
HK0045,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
