value,B.Code,field,field_alt,table,master_tab,issue_addressed,addressed_by_whom,notes
African Journal of Agricultural Science,JS0081,B.Journal,,Pub.Out,journals,FALSE,"",""
Agriculture and Natural Resources,EO0057,B.Journal,,Pub.Out,journals,FALSE,"",""
Animal Feed Science Technology,NN0201,B.Journal,,Pub.Out,journals,FALSE,"",""
Fisheries Society of Nigeria,NN0331,B.Journal,,Pub.Out,journals,FALSE,"",""
International Journal of Dairy Science,AN0027,B.Journal,,Pub.Out,journals,FALSE,"",""
Iranian Journal of Applied Animal Science,AG0087,B.Journal,,Pub.Out,journals,FALSE,"",""
Journal of Animal Science,NJ0052,B.Journal,,Pub.Out,journals,FALSE,"",""
Journal of Applied Ichthyology,NN0085/NN0115,B.Journal,,Pub.Out,journals,FALSE,"",""
"Journal of Food, Agriculture & Environment",NN0119.1,B.Journal,,Pub.Out,journals,FALSE,"",""
Journal of Insects as Food and Feed,AN0020,B.Journal,,Pub.Out,journals,FALSE,"",""
Journal of Range Management Archives,JS0270,B.Journal,,Pub.Out,journals,FALSE,"",""
Journal of Rangeland Science,AN0029,B.Journal,,Pub.Out,journals,FALSE,"",""
Pakistan Journal of Nutrition,AG0042,B.Journal,,Pub.Out,journals,FALSE,"",""
Renewable Agriculture and Food Sytems,HK0158,B.Journal,,Pub.Out,journals,FALSE,"",""
