value,B.Code,table,field,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
"NRC, Dokki, Cairo",AN0027/JS0123/NN0364/NN0368,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Cairo University, Agricultural Experimental Station",AN0027,Site.Out,Site.ID,,,site_list,FALSE,"",""
New Borg El-Arab City,JS0314,Site.Out,Site.ID,,,site_list,FALSE,"",""
Al Max Research Station (NIOF),NN0359,Site.Out,Site.ID,,,site_list,FALSE,"",""
Behera,NN0362,Site.Out,Site.ID,,,site_list,FALSE,"",""
Sharkia,NN0366,Site.Out,Site.ID,,,site_list,FALSE,"",""
Mataria,NN0370,Site.Out,Site.ID,,,site_list,FALSE,"",""
Konso Woreda office of Agriculture and Rural Development compound,EO0074,Site.Out,Site.ID,,,site_list,FALSE,"",""
Woreta TVET College,JS0249,Site.Out,Site.ID,,,site_list,FALSE,"",""
Demballa Wachu,JS0269/JS0270,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Zenzelima Campus, Bahir Dar University",JS0301,Site.Out,Site.ID,,,site_list,FALSE,"",""
KALRO Naivasha,AN0058/EO0047/LM0164/LM0227/LM0227/LM0277/NN0255,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Kimose, Sheep and Goat",LM0266,Site.Out,Site.ID,,,site_list,FALSE,"",""
Mwea,NN0384,Site.Out,Site.ID,,,site_list,FALSE,"",""
LUANAR Bunda College Aquaculture Ponds,HK0210/NN0242,Site.Out,Site.ID,,,site_list,FALSE,"",""
Idemili North LGA,AN0020,Site.Out,Site.ID,,,site_list,FALSE,"",""
"University of Ibadan, Ibadan",HK0011/HK0029/HK0067/NN0331,Site.Out,Site.ID,,,site_list,FALSE,"",""
Ramat Polytechnic Maiduguri ,LM0100,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Central Animal Service, Faculty of Health Sciences, University of the Witwatersrand.",JS0299,Site.Out,Site.ID,,,site_list,FALSE,"",""
Langgewens Experimental Farm,JS0421,Site.Out,Site.ID,,,site_list,FALSE,"",""
University of Gezira (RDEC),AG0087,Site.Out,Site.ID,,,site_list,FALSE,"",""
"SUA Farm, Morogoro (Dairy)",JS0201/JS0214,Site.Out,Site.ID,,,site_list,FALSE,"",""
INRAT Oueslatia,NN0092/NN0092,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Makerere University ARI, Kabanyolo",NN0272.1/NN0272.1/NN0272.2/NN0276.1/NN0279/NN0282,Site.Out,Site.ID,,,site_list,FALSE,"",""
Makoholi,AG0018/LM0351/NJ0016,Site.Out,Site.ID,,,site_list,FALSE,"",""
Makoholi Research station,NJ0025,Site.Out,Site.ID,,,site_list,FALSE,"",""
