value,B.Code,table,field,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
%,LM0294,Chems.Out,C.Unit,,,lookup_levels,FALSE,"",""
1,DK0037,Chems.Out,C.Unit,,,lookup_levels,FALSE,"",""
IU,NN0233,Chems.Out,C.Unit,,,lookup_levels,FALSE,"",""
Mcg,NN0280.2,Chems.Out,C.AI.Unit,,,lookup_levels,FALSE,"",""
Tablet,LM0289,Chems.Out,C.Unit,,,lookup_levels,FALSE,"",""
Unspecified,JS0301/JS0309/LM0116,Chems.Out,C.AI.Unit,,,lookup_levels,FALSE,"",""
g,LM0294,Chems.Out,C.AI.Unit,,,lookup_levels,FALSE,"",""
mcg,NN0233,Chems.Out,C.Unit,,,lookup_levels,FALSE,"",""
mg,JS0316/NN0375,Chems.Out,C.AI.Unit,,,lookup_levels,FALSE,"",""
mg,NN0233/NN0236,Chems.Out,C.Unit,,,lookup_levels,FALSE,"",""
ml AI,NN0165,Chems.Out,C.Unit,,,lookup_levels,FALSE,"",""
ppm,HK0160,Chems.Out,C.Unit,,,lookup_levels,FALSE,"",""
v/v,LM0016,Chems.Out,C.Unit,,,lookup_levels,FALSE,"",""
